date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,12,0.0,8.7,5,1,97,05:01 PM,06:01 AM,07:13 AM,05:36 PM,4,19,19,19,5,0,36,0.0,1014,13,10,260,4
2018-01-01 06:00:00,21,12,0.0,8.7,5,4,97,05:01 PM,06:01 AM,07:13 AM,05:36 PM,5,19,19,19,2,0,40,0.0,1015,13,10,329,2
2018-01-01 12:00:00,21,12,0.0,8.7,5,6,97,05:01 PM,06:01 AM,07:13 AM,05:36 PM,3,24,24,24,3,3,26,0.0,1013,21,10,294,3
2018-01-01 18:00:00,21,12,0.0,8.7,5,5,97,05:01 PM,06:01 AM,07:13 AM,05:36 PM,3,20,20,20,5,0,34,0.0,1013,15,10,352,4
2018-01-02 00:00:00,20,10,0.0,8.7,4,1,100,06:05 PM,07:06 AM,07:13 AM,05:36 PM,3,18,18,18,5,0,37,0.0,1014,12,10,341,4
2018-01-02 06:00:00,20,10,0.0,8.7,4,4,100,06:05 PM,07:06 AM,07:13 AM,05:36 PM,5,17,17,17,5,0,47,0.0,1015,11,10,301,5
2018-01-02 12:00:00,20,10,0.0,8.7,4,5,100,06:05 PM,07:06 AM,07:13 AM,05:36 PM,3,24,24,24,8,0,25,0.0,1014,20,10,15,7
2018-01-02 18:00:00,20,10,0.0,8.7,4,4,100,06:05 PM,07:06 AM,07:13 AM,05:36 PM,4,19,19,19,2,0,38,0.0,1015,14,10,276,2
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,07:12 PM,08:07 AM,07:14 AM,05:37 PM,6,18,18,18,6,0,47,0.0,1015,12,10,301,5
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,07:12 PM,08:07 AM,07:14 AM,05:37 PM,7,17,17,17,7,0,54,0.0,1016,12,10,274,6
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,07:12 PM,08:07 AM,07:14 AM,05:37 PM,4,25,24,25,9,0,27,0.0,1014,21,10,326,8
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,07:12 PM,08:07 AM,07:14 AM,05:37 PM,5,18,18,18,8,0,41,0.0,1014,15,10,296,6
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:18 PM,09:03 AM,07:14 AM,05:38 PM,5,17,17,17,7,0,47,0.0,1015,12,10,318,6
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:18 PM,09:03 AM,07:14 AM,05:38 PM,7,17,17,17,6,0,50,0.0,1016,12,10,256,5
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:18 PM,09:03 AM,07:14 AM,05:38 PM,2,26,25,26,5,0,21,0.0,1014,21,10,238,5
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,08:18 PM,09:03 AM,07:14 AM,05:38 PM,3,19,19,19,6,0,36,0.0,1014,15,10,129,5
