date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,11,0.0,8.7,5,1,97,04:59 PM,05:54 AM,07:06 AM,05:34 PM,10,19,19,19,2,2,57,0.0,1014,13,10,313,2
2018-01-01 06:00:00,22,11,0.0,8.7,5,4,97,04:59 PM,05:54 AM,07:06 AM,05:34 PM,9,16,16,16,5,3,63,0.0,1015,14,10,350,5
2018-01-01 12:00:00,22,11,0.0,8.7,5,6,97,04:59 PM,05:54 AM,07:06 AM,05:34 PM,7,24,24,24,3,4,32,0.0,1013,22,10,16,3
2018-01-01 18:00:00,22,11,0.0,8.7,5,5,97,04:59 PM,05:54 AM,07:06 AM,05:34 PM,5,17,17,17,16,9,46,0.0,1013,16,10,65,8
2018-01-02 00:00:00,20,11,0.0,8.7,4,1,100,06:03 PM,06:59 AM,07:06 AM,05:35 PM,3,14,14,14,8,15,50,0.0,1014,12,10,3,4
2018-01-02 06:00:00,20,11,0.0,8.7,4,4,100,06:03 PM,06:59 AM,07:06 AM,05:35 PM,5,16,16,16,8,0,48,0.0,1016,12,10,331,7
2018-01-02 12:00:00,20,11,0.0,8.7,4,5,100,06:03 PM,06:59 AM,07:06 AM,05:35 PM,6,24,24,24,6,0,31,0.0,1014,20,10,312,5
2018-01-02 18:00:00,20,11,0.0,8.7,4,4,100,06:03 PM,06:59 AM,07:06 AM,05:35 PM,0,16,16,16,15,0,34,0.0,1015,13,10,334,9
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,07:09 PM,08:00 AM,07:06 AM,05:35 PM,1,15,15,15,8,0,39,0.0,1015,11,10,332,7
2018-01-03 06:00:00,20,9,0.0,8.7,4,4,89,07:09 PM,08:00 AM,07:06 AM,05:35 PM,5,15,15,15,8,0,52,0.0,1017,11,10,262,7
2018-01-03 12:00:00,20,9,0.0,8.7,4,6,89,07:09 PM,08:00 AM,07:06 AM,05:35 PM,5,24,24,24,8,0,29,0.0,1014,20,10,318,7
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,07:09 PM,08:00 AM,07:06 AM,05:35 PM,6,16,16,16,10,0,50,0.0,1015,13,10,286,6
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:16 PM,08:56 AM,07:07 AM,05:36 PM,6,15,15,15,9,0,56,0.0,1015,10,10,313,7
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:16 PM,08:56 AM,07:07 AM,05:36 PM,7,16,16,16,6,0,54,0.0,1017,12,10,259,5
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,08:16 PM,08:56 AM,07:07 AM,05:36 PM,4,25,24,25,7,0,26,0.0,1014,21,10,247,6
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,08:16 PM,08:56 AM,07:07 AM,05:36 PM,4,18,18,18,4,0,40,0.0,1015,14,10,93,3
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:21 PM,09:46 AM,07:07 AM,05:37 PM,6,17,17,17,4,0,49,0.0,1016,11,10,36,4
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,09:21 PM,09:46 AM,07:07 AM,05:37 PM,5,15,15,15,6,0,53,0.0,1017,10,10,162,5
2018-01-05 12:00:00,20,9,0.0,8.7,4,6,74,09:21 PM,09:46 AM,07:07 AM,05:37 PM,7,25,25,25,5,0,31,0.0,1014,20,10,305,4
2018-01-05 18:00:00,20,9,0.0,8.7,4,4,74,09:21 PM,09:46 AM,07:07 AM,05:37 PM,6,17,17,17,5,0,47,0.0,1014,13,10,25,3
2018-01-06 00:00:00,21,10,0.0,8.7,4,1,67,10:22 PM,10:30 AM,07:07 AM,05:38 PM,7,17,17,17,4,0,54,0.0,1014,11,10,340,3
2018-01-06 06:00:00,21,10,0.0,8.7,4,4,67,10:22 PM,10:30 AM,07:07 AM,05:38 PM,6,16,16,16,7,0,54,0.0,1015,11,10,300,6
2018-01-06 12:00:00,21,10,0.0,8.7,4,6,67,10:22 PM,10:30 AM,07:07 AM,05:38 PM,7,25,25,25,10,0,32,0.0,1012,21,10,294,8
2018-01-06 18:00:00,21,10,0.0,8.7,4,4,67,10:22 PM,10:30 AM,07:07 AM,05:38 PM,7,18,18,18,9,0,51,0.0,1014,14,10,25,6
2018-01-07 00:00:00,21,10,0.0,8.7,4,1,59,11:21 PM,11:10 AM,07:07 AM,05:38 PM,6,14,14,14,11,3,56,0.0,1014,12,10,339,7
2018-01-07 06:00:00,21,10,0.0,8.7,4,4,59,11:21 PM,11:10 AM,07:07 AM,05:38 PM,6,14,15,14,10,0,58,0.0,1016,11,10,310,9
2018-01-07 12:00:00,21,10,0.0,8.7,4,6,59,11:21 PM,11:10 AM,07:07 AM,05:38 PM,5,23,24,23,15,0,31,0.0,1014,21,10,298,13
2018-01-07 18:00:00,21,10,0.0,8.7,4,4,59,11:21 PM,11:10 AM,07:07 AM,05:38 PM,6,17,17,17,9,0,48,0.0,1015,14,10,315,6
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,No moonrise,11:48 AM,07:07 AM,05:39 PM,4,14,14,14,11,0,50,0.0,1016,10,10,292,8
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,No moonrise,11:48 AM,07:07 AM,05:39 PM,3,13,14,13,11,0,48,0.0,1018,11,10,290,9
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,No moonrise,11:48 AM,07:07 AM,05:39 PM,4,23,24,23,12,0,28,0.0,1016,21,10,296,11
