date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,18,0.0,11.5,6,1,97,05:31 PM,05:46 AM,06:54 AM,06:08 PM,7,20,20,20,20,4,43,0.0,1011,19,10,78,10
2018-01-01 06:00:00,28,18,0.0,11.5,6,1,97,05:31 PM,05:46 AM,06:54 AM,06:08 PM,11,25,25,24,7,2,44,0.0,1012,22,10,97,6
2018-01-01 12:00:00,28,18,0.0,11.5,6,7,97,05:31 PM,05:46 AM,06:54 AM,06:08 PM,9,29,29,30,4,4,27,0.0,1008,28,10,240,4
2018-01-01 18:00:00,28,18,0.0,11.5,6,6,97,05:31 PM,05:46 AM,06:54 AM,06:08 PM,7,25,25,25,15,3,33,0.0,1010,23,10,0,8
2018-01-02 00:00:00,29,18,0.0,11.5,6,1,100,06:35 PM,06:50 AM,06:54 AM,06:08 PM,9,21,21,21,15,3,46,0.0,1010,20,10,314,9
2018-01-02 06:00:00,29,18,0.0,11.5,6,1,100,06:35 PM,06:50 AM,06:54 AM,06:08 PM,10,23,25,23,5,3,43,0.0,1012,21,10,32,5
2018-01-02 12:00:00,29,18,0.0,11.5,6,7,100,06:35 PM,06:50 AM,06:54 AM,06:08 PM,8,29,29,30,7,3,25,0.0,1009,29,10,135,6
2018-01-02 18:00:00,29,18,0.0,11.5,6,6,100,06:35 PM,06:50 AM,06:54 AM,06:08 PM,8,25,25,25,15,3,35,0.0,1010,24,10,97,8
2018-01-03 00:00:00,29,19,0.0,11.5,6,1,89,07:40 PM,07:52 AM,06:55 AM,06:09 PM,9,22,24,22,15,4,42,0.0,1011,21,10,38,8
2018-01-03 06:00:00,29,19,0.0,11.5,6,1,89,07:40 PM,07:52 AM,06:55 AM,06:09 PM,11,25,25,23,13,6,46,0.0,1013,22,10,106,10
2018-01-03 12:00:00,29,19,0.0,11.5,6,7,89,07:40 PM,07:52 AM,06:55 AM,06:09 PM,11,29,29,30,11,8,32,0.0,1010,29,10,130,10
2018-01-03 18:00:00,29,19,0.0,11.5,6,6,89,07:40 PM,07:52 AM,06:55 AM,06:09 PM,10,25,25,25,22,5,38,0.0,1012,25,10,81,12
