date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,15,0.0,10.8,6,1,97,05:30 PM,06:10 AM,07:21 AM,06:05 PM,5,19,19,19,21,0,39,0.0,1013,17,10,24,12
2018-01-01 06:00:00,27,15,0.0,10.8,6,1,97,05:30 PM,06:10 AM,07:21 AM,06:05 PM,5,19,19,19,13,0,40,0.0,1014,17,10,44,10
2018-01-01 12:00:00,27,15,0.0,10.8,6,7,97,05:30 PM,06:10 AM,07:21 AM,06:05 PM,6,28,28,30,8,0,22,0.0,1011,27,10,26,7
2018-01-01 18:00:00,27,15,0.0,10.8,6,6,97,05:30 PM,06:10 AM,07:21 AM,06:05 PM,5,22,23,22,19,0,32,0.0,1012,20,10,347,10
2018-01-02 00:00:00,28,15,0.0,10.8,6,1,100,06:34 PM,07:16 AM,07:21 AM,06:05 PM,3,18,18,18,21,0,36,0.0,1012,16,10,44,12
2018-01-02 06:00:00,28,15,0.0,10.8,6,1,100,06:34 PM,07:16 AM,07:21 AM,06:05 PM,3,17,17,17,37,0,40,0.0,1014,17,10,74,19
2018-01-02 12:00:00,28,15,0.0,10.8,6,7,100,06:34 PM,07:16 AM,07:21 AM,06:05 PM,3,27,27,29,14,0,19,0.0,1012,28,10,84,12
2018-01-02 18:00:00,28,15,0.0,10.8,6,5,100,06:34 PM,07:16 AM,07:21 AM,06:05 PM,-3,21,22,21,23,0,20,0.0,1013,20,10,43,11
2018-01-03 00:00:00,27,14,0.0,10.9,5,1,89,07:40 PM,08:17 AM,07:21 AM,06:06 PM,-3,16,16,16,33,0,26,0.0,1013,16,10,66,16
2018-01-03 06:00:00,27,14,0.0,10.9,5,1,89,07:40 PM,08:17 AM,07:21 AM,06:06 PM,-0,14,15,14,33,0,35,0.0,1015,15,10,73,17
2018-01-03 12:00:00,27,14,0.0,10.9,5,7,89,07:40 PM,08:17 AM,07:21 AM,06:06 PM,6,28,28,30,8,0,22,0.0,1013,27,10,97,7
2018-01-03 18:00:00,27,14,0.0,10.9,5,6,89,07:40 PM,08:17 AM,07:21 AM,06:06 PM,4,22,23,22,18,0,31,0.0,1013,20,10,3,9
2018-01-04 00:00:00,28,15,0.0,10.9,6,1,81,08:45 PM,09:14 AM,07:22 AM,06:07 PM,-3,19,19,19,20,0,23,0.0,1014,16,10,55,11
2018-01-04 06:00:00,28,15,0.0,10.9,6,1,81,08:45 PM,09:14 AM,07:22 AM,06:07 PM,-0,19,19,19,15,0,28,0.0,1015,16,10,66,10
2018-01-04 12:00:00,28,15,0.0,10.9,6,7,81,08:45 PM,09:14 AM,07:22 AM,06:07 PM,6,29,29,31,8,0,20,0.0,1013,28,10,268,7
2018-01-04 18:00:00,28,15,0.0,10.9,6,5,81,08:45 PM,09:14 AM,07:22 AM,06:07 PM,3,21,23,21,22,0,31,0.0,1013,20,10,336,11
2018-01-05 00:00:00,27,14,0.0,10.9,5,1,74,09:49 PM,10:05 AM,07:22 AM,06:07 PM,2,19,19,19,13,0,32,0.0,1013,15,10,359,8
2018-01-05 06:00:00,27,14,0.0,10.9,5,1,74,09:49 PM,10:05 AM,07:22 AM,06:07 PM,2,19,19,19,11,0,33,0.0,1015,16,10,37,9
2018-01-05 12:00:00,27,14,0.0,10.9,5,7,74,09:49 PM,10:05 AM,07:22 AM,06:07 PM,5,28,28,31,6,0,20,0.0,1012,27,10,22,5
2018-01-05 18:00:00,27,14,0.0,10.9,5,5,74,09:49 PM,10:05 AM,07:22 AM,06:07 PM,8,22,24,22,13,0,39,0.0,1013,20,10,330,7
2018-01-06 00:00:00,26,15,0.0,10.9,5,1,67,10:48 PM,10:50 AM,07:22 AM,06:08 PM,10,20,20,20,12,0,55,0.0,1013,16,10,10,8
2018-01-06 06:00:00,26,15,0.0,10.9,5,1,67,10:48 PM,10:50 AM,07:22 AM,06:08 PM,5,19,19,19,10,0,39,0.0,1014,16,10,49,8
2018-01-06 12:00:00,26,15,0.0,10.9,5,7,67,10:48 PM,10:50 AM,07:22 AM,06:08 PM,4,28,28,30,7,0,19,0.0,1012,26,10,342,6
2018-01-06 18:00:00,26,15,0.0,10.9,5,5,67,10:48 PM,10:50 AM,07:22 AM,06:08 PM,4,21,23,21,14,0,31,0.0,1013,19,10,334,8
2018-01-07 00:00:00,26,14,0.0,10.9,5,1,59,11:46 PM,11:33 AM,07:22 AM,06:09 PM,3,18,18,18,19,0,36,0.0,1014,15,10,8,11
2018-01-07 06:00:00,26,14,0.0,10.9,5,1,59,11:46 PM,11:33 AM,07:22 AM,06:09 PM,4,18,18,18,14,0,40,0.0,1016,15,10,48,10
2018-01-07 12:00:00,26,14,0.0,10.9,5,7,59,11:46 PM,11:33 AM,07:22 AM,06:09 PM,4,27,27,29,7,0,20,0.0,1014,26,10,11,6
2018-01-07 18:00:00,26,14,0.0,10.9,5,5,59,11:46 PM,11:33 AM,07:22 AM,06:09 PM,3,20,20,20,22,0,31,0.0,1015,19,10,340,11
2018-01-08 00:00:00,27,14,0.0,10.9,5,1,52,No moonrise,12:11 PM,07:23 AM,06:09 PM,1,17,17,17,21,0,33,0.0,1015,15,10,20,12
2018-01-08 06:00:00,27,14,0.0,10.9,5,1,52,No moonrise,12:11 PM,07:23 AM,06:09 PM,2,16,16,16,24,0,40,0.0,1016,15,10,63,14
2018-01-08 12:00:00,27,14,0.0,10.9,5,7,52,No moonrise,12:11 PM,07:23 AM,06:09 PM,5,27,27,28,11,2,23,0.0,1014,27,10,97,10
2018-01-08 18:00:00,27,14,0.0,10.9,5,6,52,No moonrise,12:11 PM,07:23 AM,06:09 PM,5,21,21,21,23,6,35,0.0,1015,20,10,40,11
2018-01-09 00:00:00,29,16,0.0,10.9,6,1,45,12:40 AM,12:49 PM,07:23 AM,06:10 PM,4,18,18,18,31,3,39,0.0,1016,17,10,63,15
2018-01-09 06:00:00,29,16,0.0,10.9,6,1,45,12:40 AM,12:49 PM,07:23 AM,06:10 PM,3,17,17,17,39,3,37,0.0,1017,17,10,78,21
2018-01-09 12:00:00,29,16,0.0,10.9,6,7,45,12:40 AM,12:49 PM,07:23 AM,06:10 PM,7,28,28,30,15,5,23,0.0,1015,29,10,102,13
2018-01-09 18:00:00,29,16,0.0,10.9,6,6,45,12:40 AM,12:49 PM,07:23 AM,06:10 PM,5,22,24,22,23,5,33,0.0,1016,22,10,62,11
2018-01-10 00:00:00,29,17,0.0,10.9,6,1,38,01:33 AM,01:27 PM,07:23 AM,06:11 PM,1,18,18,18,36,3,32,0.0,1017,18,10,78,17
2018-01-10 06:00:00,29,17,0.0,10.9,6,1,38,01:33 AM,01:27 PM,07:23 AM,06:11 PM,3,18,18,18,38,4,36,0.0,1018,18,10,78,20
2018-01-10 12:00:00,29,17,0.0,10.9,6,7,38,01:33 AM,01:27 PM,07:23 AM,06:11 PM,6,28,28,30,15,4,23,0.0,1016,29,10,86,13
2018-01-10 18:00:00,29,17,0.0,10.9,6,6,38,01:33 AM,01:27 PM,07:23 AM,06:11 PM,5,23,24,23,23,3,31,0.0,1017,22,10,67,11
2018-01-11 00:00:00,30,17,0.0,10.9,6,1,30,02:25 AM,02:05 PM,07:23 AM,06:12 PM,4,20,20,20,27,0,36,0.0,1017,18,10,69,14
2018-01-11 06:00:00,30,17,0.0,10.9,6,1,30,02:25 AM,02:05 PM,07:23 AM,06:12 PM,4,19,19,19,28,2,37,0.0,1018,18,10,70,15
2018-01-11 12:00:00,30,17,0.0,10.9,6,7,30,02:25 AM,02:05 PM,07:23 AM,06:12 PM,6,28,28,30,13,4,22,0.0,1015,30,10,72,12
2018-01-11 18:00:00,30,17,0.0,10.9,6,6,30,02:25 AM,02:05 PM,07:23 AM,06:12 PM,5,24,24,24,11,17,30,0.0,1015,23,10,32,5
2018-01-12 00:00:00,30,19,0.0,10.9,6,1,23,03:16 AM,02:44 PM,07:23 AM,06:12 PM,3,21,21,21,20,10,31,0.0,1015,20,10,55,10
2018-01-12 06:00:00,30,19,0.0,10.9,6,1,23,03:16 AM,02:44 PM,07:23 AM,06:12 PM,4,20,20,20,24,6,35,0.0,1016,19,10,66,13
2018-01-12 12:00:00,30,19,0.0,10.9,6,7,23,03:16 AM,02:44 PM,07:23 AM,06:12 PM,5,28,28,30,10,28,20,0.0,1013,30,10,68,9
2018-01-12 18:00:00,30,19,0.0,10.9,6,7,23,03:16 AM,02:44 PM,07:23 AM,06:12 PM,4,25,25,26,16,25,25,0.0,1015,25,10,39,8
2018-01-13 00:00:00,28,22,0.0,10.9,6,1,16,04:07 AM,03:26 PM,07:23 AM,06:13 PM,3,23,23,23,21,32,26,0.0,1014,23,10,54,11
2018-01-13 06:00:00,28,22,0.0,10.9,6,1,16,04:07 AM,03:26 PM,07:23 AM,06:13 PM,3,23,23,23,27,41,26,0.0,1015,23,10,67,15
2018-01-13 12:00:00,28,22,0.0,10.9,6,7,16,04:07 AM,03:26 PM,07:23 AM,06:13 PM,5,26,26,28,17,28,23,0.0,1014,28,10,107,14
2018-01-13 18:00:00,28,22,0.0,10.9,6,6,16,04:07 AM,03:26 PM,07:23 AM,06:13 PM,5,24,24,24,17,21,28,0.0,1014,24,10,64,8
2018-01-14 00:00:00,32,21,0.0,10.9,7,1,9,04:58 AM,04:10 PM,07:23 AM,06:14 PM,4,22,23,22,22,12,29,0.0,1014,22,10,67,10
2018-01-14 06:00:00,32,21,0.0,10.9,7,1,9,04:58 AM,04:10 PM,07:23 AM,06:14 PM,7,22,24,22,23,15,38,0.0,1015,21,10,60,12
