date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:36 PM,05:22 AM,06:34 AM,05:13 PM,7,15,15,15,11,3,57,0.0,1013,13,10,226,6
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:36 PM,05:22 AM,06:34 AM,05:13 PM,9,17,17,17,7,2,59,0.0,1016,14,10,242,6
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:36 PM,05:22 AM,06:34 AM,05:13 PM,8,23,24,23,10,0,37,0.0,1013,22,10,327,9
2018-01-01 18:00:00,22,10,0.0,8.7,5,4,97,04:36 PM,05:22 AM,06:34 AM,05:13 PM,9,17,17,17,7,0,58,0.0,1014,15,10,298,4
2018-01-02 00:00:00,22,10,0.0,8.7,5,1,100,05:40 PM,06:27 AM,06:35 AM,05:13 PM,8,15,15,15,9,0,62,0.0,1013,12,10,271,6
2018-01-02 06:00:00,22,10,0.0,8.7,5,4,100,05:40 PM,06:27 AM,06:35 AM,05:13 PM,5,15,15,15,7,5,53,0.0,1016,13,10,289,6
2018-01-02 12:00:00,22,10,0.0,8.7,5,6,100,05:40 PM,06:27 AM,06:35 AM,05:13 PM,4,23,24,23,12,2,30,0.0,1012,22,10,312,10
2018-01-02 18:00:00,22,10,0.0,8.7,5,4,100,05:40 PM,06:27 AM,06:35 AM,05:13 PM,4,15,15,15,17,2,45,0.0,1014,14,10,330,8
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,06:46 PM,07:29 AM,06:35 AM,05:14 PM,4,13,13,13,13,4,53,0.0,1014,12,10,227,6
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,06:46 PM,07:29 AM,06:35 AM,05:14 PM,5,14,15,14,14,0,53,0.0,1016,14,10,262,11
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,06:46 PM,07:29 AM,06:35 AM,05:14 PM,3,21,21,21,19,0,30,0.0,1013,21,10,301,17
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,06:46 PM,07:29 AM,06:35 AM,05:14 PM,4,16,16,16,11,0,47,0.0,1015,13,10,280,6
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,07:52 PM,08:25 AM,06:35 AM,05:15 PM,4,13,13,13,12,0,55,0.0,1016,11,10,231,7
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,07:52 PM,08:25 AM,06:35 AM,05:15 PM,6,16,16,16,9,0,54,0.0,1018,13,10,221,8
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,07:52 PM,08:25 AM,06:35 AM,05:15 PM,5,25,25,25,4,0,27,0.0,1015,22,10,349,4
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,07:52 PM,08:25 AM,06:35 AM,05:15 PM,4,17,17,17,8,0,43,0.0,1016,14,10,56,5
2018-01-05 00:00:00,21,9,0.0,8.7,4,1,74,08:55 PM,09:16 AM,06:35 AM,05:15 PM,6,15,15,15,5,0,52,0.0,1015,11,10,162,4
2018-01-05 06:00:00,21,9,0.0,8.7,4,4,74,08:55 PM,09:16 AM,06:35 AM,05:15 PM,5,16,16,16,7,0,49,0.0,1017,13,10,227,6
2018-01-05 12:00:00,21,9,0.0,8.7,4,6,74,08:55 PM,09:16 AM,06:35 AM,05:15 PM,3,23,23,23,10,0,28,0.0,1013,21,10,294,9
2018-01-05 18:00:00,21,9,0.0,8.7,4,4,74,08:55 PM,09:16 AM,06:35 AM,05:15 PM,4,15,15,15,11,0,46,0.0,1014,13,10,320,6
2018-01-06 00:00:00,21,8,0.0,8.7,4,1,67,09:56 PM,10:01 AM,06:36 AM,05:16 PM,4,12,13,12,11,0,57,0.0,1014,10,10,242,7
2018-01-06 06:00:00,21,8,0.0,8.7,4,4,67,09:56 PM,10:01 AM,06:36 AM,05:16 PM,2,10,12,10,18,0,51,0.0,1016,12,10,250,13
2018-01-06 12:00:00,21,8,0.0,8.7,4,6,67,09:56 PM,10:01 AM,06:36 AM,05:16 PM,2,21,21,21,14,0,28,0.0,1013,21,10,290,12
2018-01-06 18:00:00,21,8,0.0,8.7,4,4,67,09:56 PM,10:01 AM,06:36 AM,05:16 PM,3,14,14,14,12,0,48,0.0,1014,12,10,290,6
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,10:54 PM,10:42 AM,06:36 AM,05:17 PM,3,11,12,11,14,0,55,0.0,1014,10,10,239,8
2018-01-07 06:00:00,20,7,0.0,8.7,4,4,59,10:54 PM,10:42 AM,06:36 AM,05:17 PM,3,13,14,13,9,0,50,0.0,1017,12,10,230,8
2018-01-07 12:00:00,20,7,0.0,8.7,4,6,59,10:54 PM,10:42 AM,06:36 AM,05:17 PM,3,21,23,21,12,0,30,0.0,1014,20,10,295,10
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,10:54 PM,10:42 AM,06:36 AM,05:17 PM,6,16,16,16,3,0,52,0.0,1015,13,10,254,2
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,11:49 PM,11:21 AM,06:36 AM,05:17 PM,6,14,14,14,8,0,58,0.0,1016,11,10,224,5
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,11:49 PM,11:21 AM,06:36 AM,05:17 PM,5,16,16,16,6,0,50,0.0,1019,13,10,239,5
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,11:49 PM,11:21 AM,06:36 AM,05:17 PM,4,21,23,21,13,0,31,0.0,1016,21,10,310,12
2018-01-08 18:00:00,21,9,0.0,8.7,4,4,52,11:49 PM,11:21 AM,06:36 AM,05:17 PM,6,16,16,16,6,0,52,0.0,1018,13,10,305,4
2018-01-09 00:00:00,20,8,0.0,8.7,4,1,45,No moonrise,11:58 AM,06:36 AM,05:18 PM,6,14,13,14,7,0,61,0.0,1019,10,10,267,5
2018-01-09 06:00:00,20,8,0.0,8.7,4,4,45,No moonrise,11:58 AM,06:36 AM,05:18 PM,5,12,13,12,11,0,57,0.0,1020,12,10,250,10
2018-01-09 12:00:00,20,8,0.0,8.7,4,6,45,No moonrise,11:58 AM,06:36 AM,05:18 PM,4,20,20,20,15,0,34,0.0,1017,20,10,296,13
2018-01-09 18:00:00,20,8,0.0,8.7,4,4,45,No moonrise,11:58 AM,06:36 AM,05:18 PM,6,14,14,14,15,0,60,0.0,1018,12,10,286,8
2018-01-10 00:00:00,21,8,0.0,8.7,4,1,38,12:43 AM,12:35 PM,06:36 AM,05:19 PM,6,12,12,12,12,0,66,0.0,1019,10,10,237,7
2018-01-10 06:00:00,21,8,0.0,8.7,4,4,38,12:43 AM,12:35 PM,06:36 AM,05:19 PM,3,12,13,12,14,0,53,0.0,1020,12,10,254,11
2018-01-10 12:00:00,21,8,0.0,8.7,4,6,38,12:43 AM,12:35 PM,06:36 AM,05:19 PM,3,21,23,21,15,0,30,0.0,1016,21,10,293,13
2018-01-10 18:00:00,21,8,0.0,8.7,4,4,38,12:43 AM,12:35 PM,06:36 AM,05:19 PM,6,15,15,15,10,0,56,0.0,1018,12,10,317,5
2018-01-11 00:00:00,21,8,0.0,8.7,4,1,30,01:36 AM,01:13 PM,06:36 AM,05:20 PM,5,11,12,11,14,0,62,0.0,1018,10,10,230,8
2018-01-11 06:00:00,21,8,0.0,8.7,4,4,30,01:36 AM,01:13 PM,06:36 AM,05:20 PM,3,13,14,13,9,0,48,0.0,1019,12,10,237,8
2018-01-11 12:00:00,21,8,0.0,8.7,4,6,30,01:36 AM,01:13 PM,06:36 AM,05:20 PM,3,21,23,21,17,0,29,0.0,1015,21,10,275,15
2018-01-11 18:00:00,21,8,0.0,8.7,4,4,30,01:36 AM,01:13 PM,06:36 AM,05:20 PM,5,15,15,15,9,0,50,0.0,1016,13,10,324,5
2018-01-12 00:00:00,21,8,0.0,8.7,4,1,23,02:27 AM,01:52 PM,06:36 AM,05:20 PM,5,13,14,13,11,0,56,0.0,1015,11,10,216,7
