date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,05:00 PM,06:01 AM,07:13 AM,05:35 PM,5,19,19,19,5,0,39,0.0,1014,13,10,268,4
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,05:00 PM,06:01 AM,07:13 AM,05:35 PM,6,19,19,19,3,0,43,0.0,1015,13,10,347,3
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,05:00 PM,06:01 AM,07:13 AM,05:35 PM,4,26,25,26,4,0,23,0.0,1013,21,10,289,4
2018-01-01 18:00:00,21,11,0.0,8.7,5,4,97,05:00 PM,06:01 AM,07:13 AM,05:35 PM,2,19,19,19,5,0,33,0.0,1013,15,10,344,5
2018-01-02 00:00:00,20,10,0.0,8.7,4,1,100,06:04 PM,07:06 AM,07:14 AM,05:35 PM,4,18,18,18,5,0,41,0.0,1014,11,10,347,4
2018-01-02 06:00:00,20,10,0.0,8.7,4,4,100,06:04 PM,07:06 AM,07:14 AM,05:35 PM,7,17,17,17,5,0,50,0.0,1015,11,10,306,5
2018-01-02 12:00:00,20,10,0.0,8.7,4,5,100,06:04 PM,07:06 AM,07:14 AM,05:35 PM,3,25,24,25,7,0,25,0.0,1014,20,10,4,6
2018-01-02 18:00:00,20,10,0.0,8.7,4,4,100,06:04 PM,07:06 AM,07:14 AM,05:35 PM,5,19,19,19,4,0,40,0.0,1015,14,10,290,3
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,07:11 PM,08:07 AM,07:14 AM,05:36 PM,7,18,18,18,7,0,49,0.0,1015,12,10,306,6
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,07:11 PM,08:07 AM,07:14 AM,05:36 PM,8,17,17,17,7,0,56,0.0,1016,12,10,283,6
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,07:11 PM,08:07 AM,07:14 AM,05:36 PM,4,25,24,25,10,0,27,0.0,1014,21,10,317,9
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,07:11 PM,08:07 AM,07:14 AM,05:36 PM,5,18,18,18,9,0,43,0.0,1014,14,10,296,7
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:17 PM,09:03 AM,07:14 AM,05:37 PM,6,17,17,17,8,0,49,0.0,1015,11,10,317,7
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:17 PM,09:03 AM,07:14 AM,05:37 PM,7,17,17,17,6,0,52,0.0,1016,12,10,274,5
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:17 PM,09:03 AM,07:14 AM,05:37 PM,2,26,25,26,7,0,22,0.0,1014,21,10,264,6
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,08:17 PM,09:03 AM,07:14 AM,05:37 PM,3,19,19,19,3,0,35,0.0,1014,14,10,95,3
2018-01-05 00:00:00,20,10,0.0,8.7,4,1,74,09:23 PM,09:52 AM,07:14 AM,05:38 PM,5,18,18,18,5,0,42,0.0,1016,11,10,67,4
2018-01-05 06:00:00,20,10,0.0,8.7,4,4,74,09:23 PM,09:52 AM,07:14 AM,05:38 PM,3,15,14,15,6,3,47,0.0,1016,11,10,185,5
2018-01-05 12:00:00,20,10,0.0,8.7,4,6,74,09:23 PM,09:52 AM,07:14 AM,05:38 PM,5,24,24,24,3,3,29,0.0,1014,20,10,292,3
2018-01-05 18:00:00,20,10,0.0,8.7,4,4,74,09:23 PM,09:52 AM,07:14 AM,05:38 PM,6,19,19,19,3,0,42,0.0,1014,14,10,8,3
2018-01-06 00:00:00,21,10,0.0,8.7,4,1,67,10:25 PM,10:35 AM,07:14 AM,05:38 PM,6,18,18,18,5,0,47,0.0,1014,11,10,302,4
2018-01-06 06:00:00,21,10,0.0,8.7,4,4,67,10:25 PM,10:35 AM,07:14 AM,05:38 PM,6,17,17,17,6,0,50,0.0,1014,11,10,312,5
2018-01-06 12:00:00,21,10,0.0,8.7,4,6,67,10:25 PM,10:35 AM,07:14 AM,05:38 PM,4,24,24,24,12,0,26,0.0,1013,21,10,304,10
2018-01-06 18:00:00,21,10,0.0,8.7,4,4,67,10:25 PM,10:35 AM,07:14 AM,05:38 PM,6,18,18,18,10,0,45,0.0,1014,14,10,351,8
2018-01-07 00:00:00,20,10,0.0,8.7,4,1,59,11:25 PM,11:15 AM,07:14 AM,05:39 PM,7,17,17,17,8,0,53,0.0,1014,11,10,303,7
2018-01-07 06:00:00,20,10,0.0,8.7,4,4,59,11:25 PM,11:15 AM,07:14 AM,05:39 PM,5,14,15,14,12,0,53,0.0,1015,11,10,281,11
2018-01-07 12:00:00,20,10,0.0,8.7,4,6,59,11:25 PM,11:15 AM,07:14 AM,05:39 PM,3,23,23,23,17,0,28,0.0,1014,20,10,294,14
2018-01-07 18:00:00,20,10,0.0,8.7,4,4,59,11:25 PM,11:15 AM,07:14 AM,05:39 PM,3,18,18,18,11,0,39,0.0,1014,14,10,293,8
2018-01-08 00:00:00,21,10,0.0,8.7,4,1,52,No moonrise,11:52 AM,07:15 AM,05:40 PM,3,16,16,16,10,0,41,0.0,1014,11,10,279,9
2018-01-08 06:00:00,21,10,0.0,8.7,4,4,52,No moonrise,11:52 AM,07:15 AM,05:40 PM,3,15,15,15,10,0,44,0.0,1017,11,10,291,9
2018-01-08 12:00:00,21,10,0.0,8.7,4,6,52,No moonrise,11:52 AM,07:15 AM,05:40 PM,2,24,23,24,13,0,24,0.0,1016,21,10,298,11
2018-01-08 18:00:00,21,10,0.0,8.7,4,4,52,No moonrise,11:52 AM,07:15 AM,05:40 PM,2,18,18,18,8,0,35,0.0,1017,14,10,323,6
2018-01-09 00:00:00,21,9,0.0,8.7,4,1,45,12:21 AM,12:27 PM,07:15 AM,05:41 PM,3,17,17,17,7,0,40,0.0,1018,11,10,299,6
2018-01-09 06:00:00,21,9,0.0,8.7,4,4,45,12:21 AM,12:27 PM,07:15 AM,05:41 PM,3,15,15,15,9,0,42,0.0,1020,11,10,276,8
2018-01-09 12:00:00,21,9,0.0,8.7,4,6,45,12:21 AM,12:27 PM,07:15 AM,05:41 PM,3,24,24,24,13,0,25,0.0,1018,21,10,307,11
2018-01-09 18:00:00,21,9,0.0,8.7,4,4,45,12:21 AM,12:27 PM,07:15 AM,05:41 PM,4,18,18,18,10,0,39,0.0,1017,14,10,317,7
2018-01-10 00:00:00,23,10,0.0,8.7,4,1,38,01:17 AM,01:03 PM,07:15 AM,05:41 PM,1,15,15,15,12,0,38,0.0,1018,11,10,296,10
2018-01-10 06:00:00,23,10,0.0,8.7,4,4,38,01:17 AM,01:03 PM,07:15 AM,05:41 PM,-2,11,13,11,20,4,37,0.0,1019,11,10,281,13
2018-01-10 12:00:00,23,10,0.0,8.7,4,6,38,01:17 AM,01:03 PM,07:15 AM,05:41 PM,1,23,23,24,17,5,23,0.0,1017,23,10,288,15
2018-01-10 18:00:00,23,10,0.0,8.7,4,5,38,01:17 AM,01:03 PM,07:15 AM,05:41 PM,1,18,18,18,17,0,31,0.0,1017,15,10,291,10
2018-01-11 00:00:00,22,11,0.0,8.7,5,1,30,02:10 AM,01:39 PM,07:15 AM,05:42 PM,-3,16,16,16,13,0,27,0.0,1017,12,10,290,11
2018-01-11 06:00:00,22,11,0.0,8.7,5,4,30,02:10 AM,01:39 PM,07:15 AM,05:42 PM,-3,12,13,12,23,2,32,0.0,1018,12,10,286,15
2018-01-11 12:00:00,22,11,0.0,8.7,5,6,30,02:10 AM,01:39 PM,07:15 AM,05:42 PM,2,24,24,24,19,2,24,0.0,1015,22,10,286,16
2018-01-11 18:00:00,22,11,0.0,8.7,5,5,30,02:10 AM,01:39 PM,07:15 AM,05:42 PM,2,17,17,17,17,8,37,0.0,1015,15,10,299,8
2018-01-12 00:00:00,23,12,0.0,8.7,5,1,23,03:04 AM,02:17 PM,07:15 AM,05:43 PM,-2,14,14,14,20,10,32,0.0,1015,13,10,288,10
2018-01-12 06:00:00,23,12,0.0,8.7,5,4,23,03:04 AM,02:17 PM,07:15 AM,05:43 PM,-2,14,14,14,17,6,33,0.0,1016,13,10,268,10
2018-01-12 12:00:00,23,12,0.0,8.7,5,6,23,03:04 AM,02:17 PM,07:15 AM,05:43 PM,2,24,24,24,14,4,24,0.0,1015,23,10,290,12
2018-01-12 18:00:00,23,12,0.0,8.7,5,5,23,03:04 AM,02:17 PM,07:15 AM,05:43 PM,1,18,18,18,14,32,32,0.0,1015,17,10,260,7
2018-01-13 00:00:00,23,12,0.0,8.7,5,1,16,03:56 AM,02:57 PM,07:15 AM,05:44 PM,4,19,19,19,8,0,37,0.0,1015,14,10,268,7
