date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:40 PM,05:30 AM,06:42 AM,05:17 PM,8,15,15,15,8,8,63,0.0,1013,13,10,253,4
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:40 PM,05:30 AM,06:42 AM,05:17 PM,11,18,18,18,6,0,65,0.0,1016,13,10,261,5
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:40 PM,05:30 AM,06:42 AM,05:17 PM,9,26,25,26,7,0,35,0.0,1013,22,10,321,6
2018-01-01 18:00:00,22,10,0.0,8.7,5,4,97,04:40 PM,05:30 AM,06:42 AM,05:17 PM,7,18,18,18,10,0,50,0.0,1014,15,10,299,7
2018-01-02 00:00:00,21,9,0.0,8.7,4,1,100,05:44 PM,06:34 AM,06:42 AM,05:17 PM,8,16,16,16,8,0,57,0.0,1013,11,10,297,7
2018-01-02 06:00:00,21,9,0.0,8.7,4,4,100,05:44 PM,06:34 AM,06:42 AM,05:17 PM,8,18,18,18,5,0,53,0.0,1016,13,10,292,4
2018-01-02 12:00:00,21,9,0.0,8.7,4,6,100,05:44 PM,06:34 AM,06:42 AM,05:17 PM,6,24,24,24,11,0,30,0.0,1013,21,10,291,10
2018-01-02 18:00:00,21,9,0.0,8.7,4,4,100,05:44 PM,06:34 AM,06:42 AM,05:17 PM,6,17,17,17,16,0,50,0.0,1014,14,10,320,9
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,06:50 PM,07:36 AM,06:42 AM,05:18 PM,7,16,16,16,7,0,53,0.0,1014,11,10,263,6
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,06:50 PM,07:36 AM,06:42 AM,05:18 PM,6,14,15,14,13,0,56,0.0,1016,12,10,262,11
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,06:50 PM,07:36 AM,06:42 AM,05:18 PM,4,23,24,23,15,0,30,0.0,1014,21,10,293,13
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,06:50 PM,07:36 AM,06:42 AM,05:18 PM,5,17,17,17,14,0,46,0.0,1015,14,10,274,8
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,07:57 PM,08:32 AM,06:43 AM,05:19 PM,6,15,15,15,10,0,55,0.0,1015,11,10,265,8
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,07:57 PM,08:32 AM,06:43 AM,05:19 PM,8,17,17,17,8,0,57,0.0,1018,13,10,232,7
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,07:57 PM,08:32 AM,06:43 AM,05:19 PM,8,26,26,26,3,0,31,0.0,1015,22,10,264,3
2018-01-04 18:00:00,22,9,0.0,8.7,4,4,81,07:57 PM,08:32 AM,06:43 AM,05:19 PM,6,17,17,17,11,0,47,0.0,1015,14,10,15,7
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:01 PM,09:23 AM,06:43 AM,05:19 PM,8,17,17,17,2,0,57,0.0,1015,11,10,96,1
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,09:01 PM,09:23 AM,06:43 AM,05:19 PM,8,16,16,16,8,0,61,0.0,1017,12,10,242,7
