date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,14,0.0,8.7,5,1,97,04:10 PM,05:01 AM,06:15 AM,04:47 PM,14,20,20,20,4,0,69,0.0,1014,15,10,79,3
2018-01-01 06:00:00,26,14,0.0,8.7,5,5,97,04:10 PM,05:01 AM,06:15 AM,04:47 PM,13,22,25,22,9,2,54,0.0,1015,19,10,59,8
2018-01-01 12:00:00,26,14,0.0,8.7,5,7,97,04:10 PM,05:01 AM,06:15 AM,04:47 PM,15,29,29,29,7,0,43,0.0,1012,26,10,60,6
2018-01-01 18:00:00,26,14,0.0,8.7,5,1,97,04:10 PM,05:01 AM,06:15 AM,04:47 PM,14,22,24,22,3,2,63,0.0,1015,18,10,95,2
2018-01-02 00:00:00,25,15,0.0,8.7,5,1,100,05:14 PM,06:06 AM,06:15 AM,04:48 PM,12,18,18,18,7,6,70,0.0,1013,15,10,63,4
2018-01-02 06:00:00,25,15,0.0,8.7,5,5,100,05:14 PM,06:06 AM,06:15 AM,04:48 PM,10,21,21,21,7,6,50,0.0,1014,19,10,65,6
2018-01-02 12:00:00,25,15,0.0,8.7,5,7,100,05:14 PM,06:06 AM,06:15 AM,04:48 PM,13,27,27,27,8,7,44,0.2,1010,25,10,61,7
2018-01-02 18:00:00,25,15,0.0,8.7,5,1,100,05:14 PM,06:06 AM,06:15 AM,04:48 PM,13,19,19,19,2,11,68,1.1,1013,18,9,92,1
2018-01-03 00:00:00,24,14,0.0,8.7,5,1,89,06:20 PM,07:08 AM,06:15 AM,04:48 PM,12,17,17,17,3,8,71,0.2,1013,15,10,254,2
2018-01-03 06:00:00,24,14,0.0,8.7,5,5,89,06:20 PM,07:08 AM,06:15 AM,04:48 PM,12,19,19,19,3,16,66,0.1,1014,18,10,17,2
2018-01-03 12:00:00,24,14,0.0,8.7,5,6,89,06:20 PM,07:08 AM,06:15 AM,04:48 PM,12,25,25,24,14,9,46,0.0,1010,24,10,258,12
2018-01-03 18:00:00,24,14,0.0,8.7,5,1,89,06:20 PM,07:08 AM,06:15 AM,04:48 PM,10,18,18,18,10,6,62,0.0,1014,17,10,231,5
2018-01-04 00:00:00,22,12,0.0,8.7,5,1,81,07:26 PM,08:04 AM,06:16 AM,04:49 PM,9,18,18,18,3,0,56,0.0,1016,13,10,198,3
2018-01-04 06:00:00,22,12,0.0,8.7,5,5,81,07:26 PM,08:04 AM,06:16 AM,04:49 PM,9,18,18,18,7,5,55,0.0,1017,17,10,56,6
2018-01-04 12:00:00,22,12,0.0,8.7,5,6,81,07:26 PM,08:04 AM,06:16 AM,04:49 PM,14,27,27,27,3,2,46,0.0,1013,22,10,21,3
2018-01-04 18:00:00,22,12,0.0,8.7,5,1,81,07:26 PM,08:04 AM,06:16 AM,04:49 PM,12,18,18,18,2,3,72,0.0,1015,15,10,289,1
2018-01-05 00:00:00,23,14,0.0,8.7,5,1,74,08:30 PM,08:54 AM,06:16 AM,04:50 PM,11,15,15,15,5,23,78,0.0,1015,14,10,70,3
2018-01-05 06:00:00,23,14,0.0,8.7,5,5,74,08:30 PM,08:54 AM,06:16 AM,04:50 PM,12,19,19,19,8,7,64,0.0,1015,18,10,52,7
2018-01-05 12:00:00,23,14,0.0,8.7,5,6,74,08:30 PM,08:54 AM,06:16 AM,04:50 PM,13,26,26,25,5,5,47,0.0,1012,23,10,308,4
2018-01-05 18:00:00,23,14,0.0,8.7,5,1,74,08:30 PM,08:54 AM,06:16 AM,04:50 PM,12,17,17,17,8,16,71,0.0,1013,16,10,253,4
2018-01-06 00:00:00,22,12,0.0,8.7,5,1,67,09:32 PM,09:39 AM,06:16 AM,04:50 PM,12,16,16,16,6,5,78,0.0,1013,14,10,230,4
2018-01-06 06:00:00,22,12,0.0,8.7,5,5,67,09:32 PM,09:39 AM,06:16 AM,04:50 PM,10,19,19,19,4,4,55,0.0,1014,17,10,266,3
2018-01-06 12:00:00,22,12,0.0,8.7,5,6,67,09:32 PM,09:39 AM,06:16 AM,04:50 PM,8,23,24,23,14,0,39,0.0,1012,22,10,273,12
2018-01-06 18:00:00,22,12,0.0,8.7,5,1,67,09:32 PM,09:39 AM,06:16 AM,04:50 PM,9,17,17,17,4,0,57,0.0,1014,14,10,231,3
2018-01-07 00:00:00,20,9,0.0,8.7,4,1,59,10:30 PM,10:20 AM,06:16 AM,04:51 PM,8,16,16,16,2,0,58,0.0,1014,11,10,195,2
2018-01-07 06:00:00,20,9,0.0,8.7,4,4,59,10:30 PM,10:20 AM,06:16 AM,04:51 PM,8,19,19,19,2,0,51,0.0,1016,14,10,345,2
2018-01-07 12:00:00,20,9,0.0,8.7,4,6,59,10:30 PM,10:20 AM,06:16 AM,04:51 PM,7,23,24,23,8,0,36,0.0,1013,20,10,291,7
2018-01-07 18:00:00,20,9,0.0,8.7,4,1,59,10:30 PM,10:20 AM,06:16 AM,04:51 PM,7,16,16,16,1,0,54,0.0,1016,12,10,284,1
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,11:26 PM,10:58 AM,06:16 AM,04:52 PM,8,16,16,16,3,0,59,0.0,1016,10,10,67,3
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,11:26 PM,10:58 AM,06:16 AM,04:52 PM,8,18,18,18,7,0,53,0.0,1017,14,10,72,6
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,11:26 PM,10:58 AM,06:16 AM,04:52 PM,8,23,24,23,10,0,39,0.0,1015,21,10,77,9
2018-01-08 18:00:00,21,9,0.0,8.7,4,1,52,11:26 PM,10:58 AM,06:16 AM,04:52 PM,10,17,17,17,2,0,62,0.0,1017,13,10,309,1
2018-01-09 00:00:00,22,11,0.0,8.7,5,1,45,No moonrise,11:35 AM,06:16 AM,04:53 PM,11,17,17,17,1,0,70,0.0,1017,11,10,239,1
2018-01-09 06:00:00,22,11,0.0,8.7,5,5,45,No moonrise,11:35 AM,06:16 AM,04:53 PM,12,21,21,21,2,0,60,0.0,1018,16,10,64,2
2018-01-09 12:00:00,22,11,0.0,8.7,5,6,45,No moonrise,11:35 AM,06:16 AM,04:53 PM,11,25,26,25,5,0,42,0.0,1016,22,10,330,5
2018-01-09 18:00:00,22,11,0.0,8.7,5,1,45,No moonrise,11:35 AM,06:16 AM,04:53 PM,11,18,18,18,2,0,61,0.0,1017,15,10,306,1
2018-01-10 00:00:00,23,12,0.0,8.7,5,1,38,12:20 AM,12:11 PM,06:16 AM,04:53 PM,13,18,18,18,2,2,73,0.0,1017,13,10,265,2
2018-01-10 06:00:00,23,12,0.0,8.7,5,5,38,12:20 AM,12:11 PM,06:16 AM,04:53 PM,11,20,20,20,2,2,58,0.0,1017,17,10,3,2
2018-01-10 12:00:00,23,12,0.0,8.7,5,6,38,12:20 AM,12:11 PM,06:16 AM,04:53 PM,11,25,25,24,10,3,43,0.0,1015,23,10,286,8
2018-01-10 18:00:00,23,12,0.0,8.7,5,1,38,12:20 AM,12:11 PM,06:16 AM,04:53 PM,9,18,18,18,5,13,58,0.0,1016,17,10,292,3
2018-01-11 00:00:00,22,13,0.0,8.7,5,1,30,01:14 AM,12:48 PM,06:16 AM,04:54 PM,8,16,16,16,3,6,62,0.0,1016,14,10,236,2
2018-01-11 06:00:00,22,13,0.0,8.7,5,5,30,01:14 AM,12:48 PM,06:16 AM,04:54 PM,11,19,19,19,2,7,59,0.0,1017,17,10,297,2
2018-01-11 12:00:00,22,13,0.0,8.7,5,6,30,01:14 AM,12:48 PM,06:16 AM,04:54 PM,10,22,24,22,3,29,47,0.0,1014,22,10,255,3
2018-01-11 18:00:00,22,13,0.0,8.7,5,1,30,01:14 AM,12:48 PM,06:16 AM,04:54 PM,10,16,16,16,6,14,66,0.0,1015,15,10,251,3
2018-01-12 00:00:00,23,12,0.0,8.7,5,1,23,02:06 AM,01:27 PM,06:16 AM,04:55 PM,11,15,15,15,4,9,75,0.0,1014,13,10,196,2
2018-01-12 06:00:00,23,12,0.0,8.7,5,5,23,02:06 AM,01:27 PM,06:16 AM,04:55 PM,11,18,18,18,1,11,62,0.0,1016,17,10,310,1
2018-01-12 12:00:00,23,12,0.0,8.7,5,6,23,02:06 AM,01:27 PM,06:16 AM,04:55 PM,12,25,25,25,2,12,46,0.0,1014,23,10,249,2
2018-01-12 18:00:00,23,12,0.0,8.7,5,1,23,02:06 AM,01:27 PM,06:16 AM,04:55 PM,11,18,18,18,5,17,64,0.0,1015,17,10,243,3
2018-01-13 00:00:00,23,14,0.0,8.7,5,1,16,02:58 AM,02:07 PM,06:16 AM,04:56 PM,9,16,15,16,7,38,68,0.0,1015,14,10,228,4
2018-01-13 06:00:00,23,14,0.0,8.7,5,4,16,02:58 AM,02:07 PM,06:16 AM,04:56 PM,9,18,18,18,4,75,58,0.0,1016,17,10,274,3
2018-01-13 12:00:00,23,14,0.0,8.7,5,6,16,02:58 AM,02:07 PM,06:16 AM,04:56 PM,12,25,25,23,13,59,50,0.0,1013,23,10,266,12
2018-01-13 18:00:00,23,14,0.0,8.7,5,1,16,02:58 AM,02:07 PM,06:16 AM,04:56 PM,11,18,18,18,9,25,62,0.0,1015,18,10,252,5
2018-01-14 00:00:00,24,14,0.0,8.7,5,1,9,03:49 AM,02:50 PM,06:16 AM,04:57 PM,9,15,15,15,7,39,67,0.0,1015,14,10,238,4
2018-01-14 06:00:00,24,14,0.0,8.7,5,5,9,03:49 AM,02:50 PM,06:16 AM,04:57 PM,11,19,19,19,3,32,61,0.0,1017,18,10,47,3
2018-01-14 12:00:00,24,14,0.0,8.7,5,6,9,03:49 AM,02:50 PM,06:16 AM,04:57 PM,13,26,26,25,1,27,46,0.0,1015,24,10,308,1
2018-01-14 18:00:00,24,14,0.0,8.7,5,1,9,03:49 AM,02:50 PM,06:16 AM,04:57 PM,12,18,18,18,7,14,69,0.0,1016,17,10,245,4
2018-01-15 00:00:00,24,15,0.0,8.7,5,1,1,04:39 AM,03:37 PM,06:16 AM,04:57 PM,11,16,16,16,7,26,74,0.0,1016,15,10,236,4
