date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,13,0.0,8.7,5,1,97,03:55 PM,04:47 AM,06:02 AM,04:33 PM,12,17,17,17,2,2,75,0.0,1014,14,10,63,1
2018-01-01 06:00:00,24,13,0.0,8.7,5,5,97,03:55 PM,04:47 AM,06:02 AM,04:33 PM,13,20,20,20,7,0,63,0.0,1016,18,10,15,6
2018-01-01 12:00:00,24,13,0.0,8.7,5,6,97,03:55 PM,04:47 AM,06:02 AM,04:33 PM,11,25,25,24,12,9,43,0.0,1011,24,10,35,10
2018-01-01 18:00:00,24,13,0.0,8.7,5,1,97,03:55 PM,04:47 AM,06:02 AM,04:33 PM,9,17,17,17,5,8,59,0.0,1014,16,10,141,3
2018-01-02 00:00:00,24,15,0.0,8.7,5,1,100,04:59 PM,05:53 AM,06:03 AM,04:33 PM,9,16,16,16,3,32,65,0.0,1013,16,10,31,1
2018-01-02 06:00:00,24,15,0.0,8.7,5,4,100,04:59 PM,05:53 AM,06:03 AM,04:33 PM,13,18,18,18,1,29,71,0.3,1015,18,9,72,1
2018-01-02 12:00:00,24,15,0.0,8.7,5,6,100,04:59 PM,05:53 AM,06:03 AM,04:33 PM,11,25,25,24,6,24,45,0.0,1010,24,10,76,5
2018-01-02 18:00:00,24,15,0.0,8.7,5,1,100,04:59 PM,05:53 AM,06:03 AM,04:33 PM,13,17,17,17,8,29,78,0.1,1013,16,10,120,4
2018-01-03 00:00:00,23,14,0.0,8.7,5,1,89,06:05 PM,06:54 AM,06:03 AM,04:34 PM,13,16,15,16,6,23,90,0.0,1013,14,10,7,3
2018-01-03 06:00:00,23,14,0.0,8.7,5,4,89,06:05 PM,06:54 AM,06:03 AM,04:34 PM,14,18,18,18,6,33,77,0.0,1013,18,9,31,5
2018-01-03 12:00:00,23,14,0.0,8.7,5,5,89,06:05 PM,06:54 AM,06:03 AM,04:34 PM,14,25,25,24,5,31,56,0.0,1009,23,9,244,4
