date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,18,0.0,8.7,6,1,97,04:50 PM,05:28 AM,06:41 AM,05:28 PM,12,21,21,21,7,10,57,0.0,1012,20,10,245,4
2018-01-01 06:00:00,28,18,0.0,8.7,6,5,97,04:50 PM,05:28 AM,06:41 AM,05:28 PM,11,20,20,20,9,5,56,0.0,1012,18,10,350,5
2018-01-01 12:00:00,28,18,0.0,8.7,6,7,97,04:50 PM,05:28 AM,06:41 AM,05:28 PM,11,27,27,28,7,9,36,0.0,1013,27,10,2,6
2018-01-01 18:00:00,28,18,0.0,8.7,6,6,97,04:50 PM,05:28 AM,06:41 AM,05:28 PM,12,25,25,24,6,62,48,0.0,1011,23,10,119,4
2018-01-02 00:00:00,26,18,0.0,5.6,6,1,100,05:54 PM,06:33 AM,06:41 AM,05:29 PM,16,23,25,23,4,8,68,0.0,1012,21,10,240,3
2018-01-02 06:00:00,26,18,0.0,5.6,6,5,100,05:54 PM,06:33 AM,06:41 AM,05:29 PM,13,19,19,19,13,27,70,0.0,1011,18,10,332,8
2018-01-02 12:00:00,26,18,0.0,5.6,6,6,100,05:54 PM,06:33 AM,06:41 AM,05:29 PM,14,26,26,25,10,61,49,0.0,1012,25,10,340,9
2018-01-02 18:00:00,26,18,0.0,5.6,6,6,100,05:54 PM,06:33 AM,06:41 AM,05:29 PM,13,25,25,23,3,45,52,0.0,1010,23,10,122,2
2018-01-03 00:00:00,26,16,0.0,8.7,6,1,89,06:59 PM,07:35 AM,06:41 AM,05:29 PM,14,23,25,23,8,0,57,0.0,1012,19,10,310,6
2018-01-03 06:00:00,26,16,0.0,8.7,6,5,89,06:59 PM,07:35 AM,06:41 AM,05:29 PM,11,19,19,19,11,0,61,0.0,1012,16,10,324,10
2018-01-03 12:00:00,26,16,0.0,8.7,6,7,89,06:59 PM,07:35 AM,06:41 AM,05:29 PM,5,25,25,27,18,0,25,0.0,1013,26,10,350,16
2018-01-03 18:00:00,26,16,0.0,8.7,6,6,89,06:59 PM,07:35 AM,06:41 AM,05:29 PM,9,24,25,24,7,0,39,0.0,1011,20,10,323,5
2018-01-04 00:00:00,25,14,0.0,8.7,5,1,81,08:05 PM,08:32 AM,06:42 AM,05:30 PM,8,20,20,20,7,0,45,0.0,1014,17,10,355,5
2018-01-04 06:00:00,25,14,0.0,8.7,5,4,81,08:05 PM,08:32 AM,06:42 AM,05:30 PM,9,19,19,19,8,0,55,0.0,1014,14,10,351,7
2018-01-04 12:00:00,25,14,0.0,8.7,5,6,81,08:05 PM,08:32 AM,06:42 AM,05:30 PM,8,26,26,27,12,0,30,0.0,1015,24,10,347,10
2018-01-04 18:00:00,25,14,0.0,8.7,5,5,81,08:05 PM,08:32 AM,06:42 AM,05:30 PM,7,21,24,21,14,0,41,0.0,1012,19,10,334,10
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,09:08 PM,09:23 AM,06:42 AM,05:31 PM,8,18,18,18,12,0,50,0.0,1014,16,10,345,8
2018-01-05 06:00:00,25,13,0.0,8.7,5,4,74,09:08 PM,09:23 AM,06:42 AM,05:31 PM,9,16,16,16,9,0,59,0.0,1013,13,10,345,8
2018-01-05 12:00:00,25,13,0.0,8.7,5,6,74,09:08 PM,09:23 AM,06:42 AM,05:31 PM,9,26,26,27,12,0,32,0.0,1013,24,10,340,10
2018-01-05 18:00:00,25,13,0.0,8.7,5,5,74,09:08 PM,09:23 AM,06:42 AM,05:31 PM,11,23,25,23,9,0,48,0.0,1011,19,10,353,7
2018-01-06 00:00:00,25,14,0.0,8.7,5,1,67,10:07 PM,10:09 AM,06:42 AM,05:31 PM,10,19,19,19,7,0,54,0.0,1012,16,10,315,6
2018-01-06 06:00:00,25,14,0.0,8.7,5,4,67,10:07 PM,10:09 AM,06:42 AM,05:31 PM,11,18,18,18,8,0,61,0.0,1012,14,10,338,7
2018-01-06 12:00:00,25,14,0.0,8.7,5,6,67,10:07 PM,10:09 AM,06:42 AM,05:31 PM,9,26,26,26,11,0,34,0.0,1013,23,10,354,10
2018-01-06 18:00:00,25,14,0.0,8.7,5,5,67,10:07 PM,10:09 AM,06:42 AM,05:31 PM,9,22,24,22,12,0,43,0.0,1011,19,10,333,9
2018-01-07 00:00:00,24,13,0.0,8.7,5,1,59,11:05 PM,10:52 AM,06:42 AM,05:32 PM,8,19,19,19,11,0,50,0.0,1013,16,10,349,8
2018-01-07 06:00:00,24,13,0.0,8.7,5,4,59,11:05 PM,10:52 AM,06:42 AM,05:32 PM,8,17,17,17,9,0,56,0.0,1013,13,10,342,8
2018-01-07 12:00:00,24,13,0.0,8.7,5,6,59,11:05 PM,10:52 AM,06:42 AM,05:32 PM,4,24,24,24,16,0,27,0.0,1015,23,10,341,14
2018-01-07 18:00:00,24,13,0.0,8.7,5,5,59,11:05 PM,10:52 AM,06:42 AM,05:32 PM,5,21,21,21,18,0,35,0.0,1013,19,10,352,12
2018-01-08 00:00:00,24,12,0.0,8.7,5,1,52,11:59 PM,11:32 AM,06:43 AM,05:33 PM,4,17,17,17,17,0,42,0.0,1014,15,10,343,10
2018-01-08 06:00:00,24,12,0.0,8.7,5,4,52,11:59 PM,11:32 AM,06:43 AM,05:33 PM,7,16,16,16,8,0,53,0.0,1015,12,10,359,7
2018-01-08 12:00:00,24,12,0.0,8.7,5,6,52,11:59 PM,11:32 AM,06:43 AM,05:33 PM,3,24,24,24,17,0,26,0.0,1016,23,10,348,15
2018-01-08 18:00:00,24,12,0.0,8.7,5,5,52,11:59 PM,11:32 AM,06:43 AM,05:33 PM,5,20,20,20,18,0,37,0.0,1015,18,10,339,12
2018-01-09 00:00:00,24,12,0.0,8.7,5,1,45,No moonrise,12:09 PM,06:43 AM,05:33 PM,5,17,17,17,14,0,45,0.0,1016,14,10,341,9
2018-01-09 06:00:00,24,12,0.0,8.7,5,4,45,No moonrise,12:09 PM,06:43 AM,05:33 PM,6,15,15,15,13,0,55,0.0,1016,12,10,339,10
2018-01-09 12:00:00,24,12,0.0,8.7,5,6,45,No moonrise,12:09 PM,06:43 AM,05:33 PM,5,24,24,23,19,0,30,0.0,1018,22,10,339,16
2018-01-09 18:00:00,24,12,0.0,8.7,5,5,45,No moonrise,12:09 PM,06:43 AM,05:33 PM,6,22,24,22,13,0,36,0.0,1015,19,10,343,9
2018-01-10 00:00:00,25,13,0.0,8.7,5,1,38,12:52 AM,12:47 PM,06:43 AM,05:34 PM,6,18,18,18,11,0,44,0.0,1016,15,10,335,8
2018-01-10 06:00:00,25,13,0.0,8.7,5,4,38,12:52 AM,12:47 PM,06:43 AM,05:34 PM,7,17,17,17,10,0,54,0.0,1016,13,10,320,8
2018-01-10 12:00:00,25,13,0.0,8.7,5,6,38,12:52 AM,12:47 PM,06:43 AM,05:34 PM,5,25,25,25,15,0,28,0.0,1017,23,10,333,13
2018-01-10 18:00:00,25,13,0.0,8.7,5,5,38,12:52 AM,12:47 PM,06:43 AM,05:34 PM,8,23,24,23,8,0,37,0.0,1015,20,10,336,6
2018-01-11 00:00:00,24,13,0.0,8.7,5,1,30,01:44 AM,01:25 PM,06:43 AM,05:35 PM,7,19,19,19,10,0,47,0.0,1016,16,10,336,7
