date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,14,0.0,8.7,5,1,97,05:02 PM,05:36 AM,06:47 AM,05:39 PM,7,19,19,19,5,0,48,0.0,1013,15,10,67,4
2018-01-01 06:00:00,28,14,0.0,8.7,5,5,97,05:02 PM,05:36 AM,06:47 AM,05:39 PM,6,21,24,21,6,1,38,0.0,1014,18,10,48,5
2018-01-01 12:00:00,28,14,0.0,8.7,5,7,97,05:02 PM,05:36 AM,06:47 AM,05:39 PM,5,28,28,31,4,2,20,0.0,1010,28,10,298,4
2018-01-01 18:00:00,28,14,0.0,8.7,5,5,97,05:02 PM,05:36 AM,06:47 AM,05:39 PM,5,20,20,20,16,3,39,0.0,1012,19,10,58,8
2018-01-02 00:00:00,28,14,0.0,8.7,5,1,100,06:06 PM,06:41 AM,06:47 AM,05:39 PM,6,16,16,16,11,3,51,0.0,1012,15,10,51,5
2018-01-02 06:00:00,28,14,0.0,8.7,5,5,100,06:06 PM,06:41 AM,06:47 AM,05:39 PM,6,19,19,19,7,4,43,0.0,1014,18,10,36,6
2018-01-02 12:00:00,28,14,0.0,8.7,5,7,100,06:06 PM,06:41 AM,06:47 AM,05:39 PM,5,27,27,29,7,3,21,0.0,1011,28,10,257,6
2018-01-02 18:00:00,28,14,0.0,8.7,5,5,100,06:06 PM,06:41 AM,06:47 AM,05:39 PM,6,20,20,20,8,5,42,0.0,1013,18,10,22,4
2018-01-03 00:00:00,27,13,0.0,8.7,5,1,89,07:11 PM,07:43 AM,06:48 AM,05:40 PM,6,16,16,16,13,4,51,0.0,1013,15,10,22,6
2018-01-03 06:00:00,27,13,0.0,8.7,5,5,89,07:11 PM,07:43 AM,06:48 AM,05:40 PM,9,20,20,20,6,0,47,0.0,1015,17,10,49,5
2018-01-03 12:00:00,27,13,0.0,8.7,5,7,89,07:11 PM,07:43 AM,06:48 AM,05:40 PM,2,26,26,28,13,0,19,0.0,1012,27,10,293,12
2018-01-03 18:00:00,27,13,0.0,8.7,5,5,89,07:11 PM,07:43 AM,06:48 AM,05:40 PM,-0,19,19,19,14,0,27,0.0,1014,17,10,25,7
2018-01-04 00:00:00,27,11,0.0,8.7,5,1,81,08:16 PM,08:40 AM,06:48 AM,05:41 PM,1,16,16,16,12,0,36,0.0,1015,13,10,16,6
2018-01-04 06:00:00,27,11,0.0,8.7,5,5,81,08:16 PM,08:40 AM,06:48 AM,05:41 PM,1,18,18,18,8,0,32,0.0,1017,16,10,28,7
2018-01-04 12:00:00,27,11,0.0,8.7,5,7,81,08:16 PM,08:40 AM,06:48 AM,05:41 PM,-3,27,27,30,6,0,12,0.0,1013,27,10,316,5
2018-01-04 18:00:00,27,11,0.0,8.7,5,5,81,08:16 PM,08:40 AM,06:48 AM,05:41 PM,-1,18,18,18,17,0,27,0.0,1015,16,10,48,8
2018-01-05 00:00:00,27,11,0.0,8.7,5,1,74,09:19 PM,09:32 AM,06:48 AM,05:41 PM,2,16,16,16,10,0,37,0.0,1014,13,10,18,6
2018-01-05 06:00:00,27,11,0.0,8.7,5,5,74,09:19 PM,09:32 AM,06:48 AM,05:41 PM,3,19,19,19,7,0,34,0.0,1016,16,10,59,6
2018-01-05 12:00:00,27,11,0.0,8.7,5,7,74,09:19 PM,09:32 AM,06:48 AM,05:41 PM,4,27,27,29,9,1,20,0.0,1012,27,10,295,8
2018-01-05 18:00:00,27,11,0.0,8.7,5,5,74,09:19 PM,09:32 AM,06:48 AM,05:41 PM,4,19,19,19,13,4,38,0.0,1013,18,10,47,6
2018-01-06 00:00:00,27,13,0.0,8.7,5,1,67,10:18 PM,10:18 AM,06:48 AM,05:42 PM,4,15,15,15,13,5,46,0.0,1013,14,10,29,6
2018-01-06 06:00:00,27,13,0.0,8.7,5,5,67,10:18 PM,10:18 AM,06:48 AM,05:42 PM,4,19,19,19,6,4,38,0.0,1014,17,10,58,5
2018-01-06 12:00:00,27,13,0.0,8.7,5,7,67,10:18 PM,10:18 AM,06:48 AM,05:42 PM,4,26,26,28,12,3,21,0.0,1011,27,10,274,10
2018-01-06 18:00:00,27,13,0.0,8.7,5,5,67,10:18 PM,10:18 AM,06:48 AM,05:42 PM,6,20,20,20,4,4,42,0.0,1013,18,10,258,2
2018-01-07 00:00:00,27,13,0.0,8.7,5,1,59,11:15 PM,11:01 AM,06:49 AM,05:42 PM,5,16,16,16,12,5,49,0.0,1013,15,10,25,6
2018-01-07 06:00:00,27,13,0.0,8.7,5,5,59,11:15 PM,11:01 AM,06:49 AM,05:42 PM,5,18,18,18,8,7,40,0.0,1015,17,10,73,7
2018-01-07 12:00:00,27,13,0.0,8.7,5,7,59,11:15 PM,11:01 AM,06:49 AM,05:42 PM,6,26,26,28,10,5,24,0.0,1012,27,10,272,9
2018-01-07 18:00:00,27,13,0.0,8.7,5,5,59,11:15 PM,11:01 AM,06:49 AM,05:42 PM,6,19,19,19,11,4,42,0.0,1014,18,10,62,5
2018-01-08 00:00:00,28,13,0.0,8.7,5,1,52,No moonrise,11:41 AM,06:49 AM,05:43 PM,3,16,16,16,16,4,43,0.0,1014,15,10,32,8
2018-01-08 06:00:00,28,13,0.0,8.7,5,5,52,No moonrise,11:41 AM,06:49 AM,05:43 PM,5,19,19,19,8,0,38,0.0,1017,17,10,70,7
2018-01-08 12:00:00,28,13,0.0,8.7,5,7,52,No moonrise,11:41 AM,06:49 AM,05:43 PM,4,28,28,30,4,2,20,0.0,1014,28,10,78,3
2018-01-08 18:00:00,28,13,0.0,8.7,5,5,52,No moonrise,11:41 AM,06:49 AM,05:43 PM,4,18,18,18,17,1,38,0.0,1017,17,10,80,8
2018-01-09 00:00:00,28,12,0.0,8.7,5,1,45,12:08 AM,12:19 PM,06:49 AM,05:44 PM,5,16,16,16,10,0,45,0.0,1017,13,10,34,6
2018-01-09 06:00:00,28,12,0.0,8.7,5,5,45,12:08 AM,12:19 PM,06:49 AM,05:44 PM,5,19,19,19,7,0,39,0.0,1019,17,10,48,6
2018-01-09 12:00:00,28,12,0.0,8.7,5,7,45,12:08 AM,12:19 PM,06:49 AM,05:44 PM,2,27,27,30,8,0,17,0.0,1016,28,10,310,7
2018-01-09 18:00:00,28,12,0.0,8.7,5,5,45,12:08 AM,12:19 PM,06:49 AM,05:44 PM,2,19,19,19,14,0,31,0.0,1018,17,10,31,6
2018-01-10 00:00:00,28,12,0.0,8.7,5,1,38,01:01 AM,12:57 PM,06:49 AM,05:44 PM,3,16,16,16,13,0,40,0.0,1018,13,10,12,7
2018-01-10 06:00:00,28,12,0.0,8.7,5,5,38,01:01 AM,12:57 PM,06:49 AM,05:44 PM,3,19,19,19,7,0,35,0.0,1020,17,10,21,6
2018-01-10 12:00:00,28,12,0.0,8.7,5,7,38,01:01 AM,12:57 PM,06:49 AM,05:44 PM,-0,27,27,30,9,0,14,0.0,1016,28,10,303,8
2018-01-10 18:00:00,28,12,0.0,8.7,5,5,38,01:01 AM,12:57 PM,06:49 AM,05:44 PM,-0,19,19,19,20,0,27,0.0,1017,18,10,5,9
2018-01-11 00:00:00,29,13,0.0,8.7,5,1,30,01:52 AM,01:36 PM,06:49 AM,05:45 PM,0,17,17,17,16,0,33,0.0,1017,14,10,16,8
2018-01-11 06:00:00,29,13,0.0,8.7,5,5,30,01:52 AM,01:36 PM,06:49 AM,05:45 PM,1,21,21,21,5,0,27,0.0,1019,17,10,32,4
2018-01-11 12:00:00,29,13,0.0,8.7,5,7,30,01:52 AM,01:36 PM,06:49 AM,05:45 PM,-3,27,27,30,11,0,12,0.0,1015,29,10,295,10
2018-01-11 18:00:00,29,13,0.0,8.7,5,5,30,01:52 AM,01:36 PM,06:49 AM,05:45 PM,-2,21,22,21,17,0,21,0.0,1015,20,10,4,8
2018-01-12 00:00:00,30,14,0.0,8.7,6,1,23,02:43 AM,02:15 PM,06:49 AM,05:46 PM,-2,18,18,18,10,0,25,0.0,1015,15,10,7,6
2018-01-12 06:00:00,30,14,0.0,8.7,6,5,23,02:43 AM,02:15 PM,06:49 AM,05:46 PM,-1,21,21,21,8,0,23,0.0,1017,19,10,19,7
2018-01-12 12:00:00,30,14,0.0,8.7,6,8,23,02:43 AM,02:15 PM,06:49 AM,05:46 PM,-0,28,28,31,11,2,13,0.0,1013,30,10,310,10
2018-01-12 18:00:00,30,14,0.0,8.7,6,6,23,02:43 AM,02:15 PM,06:49 AM,05:46 PM,1,21,21,21,21,2,27,0.0,1015,20,10,359,10
2018-01-13 00:00:00,31,15,0.0,8.7,6,1,16,03:34 AM,02:58 PM,06:49 AM,05:47 PM,2,17,17,17,16,4,37,0.0,1015,16,10,6,8
2018-01-13 06:00:00,31,15,0.0,8.7,6,5,16,03:34 AM,02:58 PM,06:49 AM,05:47 PM,2,20,20,20,11,5,29,0.0,1017,19,10,28,8
2018-01-13 12:00:00,31,15,0.0,8.7,6,8,16,03:34 AM,02:58 PM,06:49 AM,05:47 PM,3,30,30,32,7,12,16,0.0,1014,31,10,26,6
2018-01-13 18:00:00,31,15,0.0,8.7,6,6,16,03:34 AM,02:58 PM,06:49 AM,05:47 PM,4,22,23,22,13,6,31,0.0,1015,21,10,53,6
2018-01-14 00:00:00,31,17,0.0,8.7,6,1,9,04:24 AM,03:42 PM,06:49 AM,05:47 PM,4,19,19,19,13,9,37,0.0,1015,18,10,9,6
2018-01-14 06:00:00,31,17,0.0,8.7,6,6,9,04:24 AM,03:42 PM,06:49 AM,05:47 PM,6,22,24,22,8,13,35,0.0,1017,21,10,39,6
2018-01-14 12:00:00,31,17,0.0,8.7,6,8,9,04:24 AM,03:42 PM,06:49 AM,05:47 PM,8,30,30,32,6,10,23,0.0,1014,31,10,311,5
2018-01-14 18:00:00,31,17,0.0,8.7,6,6,9,04:24 AM,03:42 PM,06:49 AM,05:47 PM,9,24,24,23,14,10,41,0.0,1015,22,10,9,7
2018-01-15 00:00:00,31,17,0.0,8.7,6,1,1,05:13 AM,04:28 PM,06:49 AM,05:48 PM,8,20,20,20,14,13,47,0.0,1016,19,10,27,7
2018-01-15 06:00:00,31,17,0.0,8.7,6,6,1,05:13 AM,04:28 PM,06:49 AM,05:48 PM,6,23,24,23,6,4,34,0.0,1018,21,10,61,5
2018-01-15 12:00:00,31,17,0.0,8.7,6,8,1,05:13 AM,04:28 PM,06:49 AM,05:48 PM,6,29,29,31,15,3,21,0.0,1014,31,10,312,13
2018-01-15 18:00:00,31,17,0.0,8.7,6,6,1,05:13 AM,04:28 PM,06:49 AM,05:48 PM,4,22,23,22,20,3,32,0.0,1014,21,10,15,9
2018-01-16 00:00:00,30,14,0.0,8.7,6,1,0,06:02 AM,05:17 PM,06:49 AM,05:49 PM,7,20,20,20,6,0,41,0.0,1014,16,10,40,4
2018-01-16 06:00:00,30,14,0.0,8.7,6,5,0,06:02 AM,05:17 PM,06:49 AM,05:49 PM,5,22,24,22,5,0,33,0.0,1016,19,10,18,5
2018-01-16 12:00:00,30,14,0.0,8.7,6,7,0,06:02 AM,05:17 PM,06:49 AM,05:49 PM,-1,31,31,33,5,0,11,0.0,1012,30,10,321,4
2018-01-16 18:00:00,30,14,0.0,8.7,6,5,0,06:02 AM,05:17 PM,06:49 AM,05:49 PM,-0,20,20,20,18,0,25,0.0,1014,19,10,27,9
2018-01-17 00:00:00,30,13,0.0,8.7,6,1,0,06:48 AM,06:07 PM,06:49 AM,05:49 PM,3,19,19,19,8,0,36,0.0,1013,15,10,35,5
2018-01-17 06:00:00,30,13,0.0,8.7,6,5,0,06:48 AM,06:07 PM,06:49 AM,05:49 PM,4,21,21,21,7,0,32,0.0,1016,18,10,57,6
