date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,11.5,6,1,97,05:23 PM,05:44 AM,06:53 AM,06:00 PM,7,20,20,20,8,4,41,0.0,1012,18,10,66,4
2018-01-01 06:00:00,29,17,0.0,11.5,6,1,97,05:23 PM,05:44 AM,06:53 AM,06:00 PM,8,23,24,23,7,3,37,0.0,1013,22,10,87,6
2018-01-01 12:00:00,29,17,0.0,11.5,6,7,97,05:23 PM,05:44 AM,06:53 AM,06:00 PM,8,29,29,31,5,4,25,0.0,1009,29,10,236,4
2018-01-01 18:00:00,29,17,0.0,11.5,6,6,97,05:23 PM,05:44 AM,06:53 AM,06:00 PM,9,25,25,25,6,3,36,0.0,1010,23,10,26,3
2018-01-02 00:00:00,29,18,0.0,11.5,6,1,100,06:27 PM,06:48 AM,06:53 AM,06:00 PM,5,20,20,20,27,3,37,0.0,1010,20,10,46,13
2018-01-02 06:00:00,29,18,0.0,11.5,6,1,100,06:27 PM,06:48 AM,06:53 AM,06:00 PM,8,21,24,21,19,3,41,0.0,1013,21,10,82,13
2018-01-02 12:00:00,29,18,0.0,11.5,6,7,100,06:27 PM,06:48 AM,06:53 AM,06:00 PM,8,31,31,33,2,2,21,0.0,1009,29,10,119,1
2018-01-02 18:00:00,29,18,0.0,11.5,6,6,100,06:27 PM,06:48 AM,06:53 AM,06:00 PM,8,25,25,26,4,0,32,0.0,1011,23,10,56,3
2018-01-03 00:00:00,29,18,0.0,11.5,6,1,89,07:32 PM,07:50 AM,06:53 AM,06:01 PM,5,20,20,20,31,3,38,0.0,1012,20,10,56,15
2018-01-03 06:00:00,29,18,0.0,11.5,6,1,89,07:32 PM,07:50 AM,06:53 AM,06:01 PM,10,21,24,21,24,4,47,0.0,1014,21,10,92,17
2018-01-03 12:00:00,29,18,0.0,11.5,6,7,89,07:32 PM,07:50 AM,06:53 AM,06:01 PM,10,29,29,30,5,6,28,0.0,1011,29,10,171,4
2018-01-03 18:00:00,29,18,0.0,11.5,6,6,89,07:32 PM,07:50 AM,06:53 AM,06:01 PM,9,25,25,25,5,4,36,0.0,1013,23,10,29,3
2018-01-04 00:00:00,29,19,0.0,11.5,6,1,81,08:35 PM,08:48 AM,06:54 AM,06:01 PM,7,20,20,20,31,6,42,0.0,1013,20,10,58,15
2018-01-04 06:00:00,29,19,0.0,11.5,6,1,81,08:35 PM,08:48 AM,06:54 AM,06:01 PM,8,22,24,22,22,7,41,0.0,1016,21,10,97,16
2018-01-04 12:00:00,29,19,0.0,11.5,6,7,81,08:35 PM,08:48 AM,06:54 AM,06:01 PM,9,29,29,30,3,6,27,0.0,1012,29,10,134,3
2018-01-04 18:00:00,29,19,0.0,11.5,6,6,81,08:35 PM,08:48 AM,06:54 AM,06:01 PM,10,25,25,24,3,5,39,0.0,1013,23,10,64,1
2018-01-05 00:00:00,28,18,0.0,11.5,6,1,74,09:37 PM,09:41 AM,06:54 AM,06:02 PM,7,21,21,21,24,6,42,0.0,1013,20,10,75,12
2018-01-05 06:00:00,28,18,0.0,11.5,6,1,74,09:37 PM,09:41 AM,06:54 AM,06:02 PM,7,21,24,21,18,6,40,0.0,1014,21,10,131,13
2018-01-05 12:00:00,28,18,0.0,11.5,6,7,74,09:37 PM,09:41 AM,06:54 AM,06:02 PM,8,28,28,30,4,4,25,0.0,1011,28,10,132,4
2018-01-05 18:00:00,28,18,0.0,11.5,6,6,74,09:37 PM,09:41 AM,06:54 AM,06:02 PM,7,25,25,25,11,3,32,0.0,1012,23,10,194,6
2018-01-06 00:00:00,28,18,0.0,11.5,6,1,67,10:34 PM,10:29 AM,06:54 AM,06:03 PM,9,21,24,21,7,5,44,0.0,1011,19,10,64,4
2018-01-06 06:00:00,28,18,0.0,11.5,6,1,67,10:34 PM,10:29 AM,06:54 AM,06:03 PM,7,22,24,22,14,4,39,0.0,1013,21,10,94,10
2018-01-06 12:00:00,28,18,0.0,11.5,6,7,67,10:34 PM,10:29 AM,06:54 AM,06:03 PM,7,28,28,30,6,3,23,0.0,1010,28,10,137,5
2018-01-06 18:00:00,28,18,0.0,11.5,6,6,67,10:34 PM,10:29 AM,06:54 AM,06:03 PM,7,25,25,24,9,3,34,0.0,1012,23,10,190,5
2018-01-07 00:00:00,28,17,0.0,11.5,6,1,59,11:30 PM,11:13 AM,06:54 AM,06:03 PM,8,22,24,22,8,3,41,0.0,1012,19,10,65,5
2018-01-07 06:00:00,28,17,0.0,11.5,6,1,59,11:30 PM,11:13 AM,06:54 AM,06:03 PM,9,23,24,23,5,4,41,0.0,1014,21,10,112,5
