date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,19,0.0,8.7,6,1,97,05:10 PM,05:27 AM,06:36 AM,05:47 PM,13,21,24,21,9,42,60,0.0,1011,21,10,18,5
2018-01-01 06:00:00,31,19,0.0,8.7,6,6,97,05:10 PM,05:27 AM,06:36 AM,05:47 PM,11,25,25,24,12,45,45,0.0,1012,23,10,355,9
2018-01-01 12:00:00,31,19,0.0,8.7,6,8,97,05:10 PM,05:27 AM,06:36 AM,05:47 PM,15,32,32,32,11,27,36,0.0,1008,31,10,353,10
2018-01-01 18:00:00,31,19,0.0,8.7,6,6,97,05:10 PM,05:27 AM,06:36 AM,05:47 PM,16,25,25,23,21,10,64,0.0,1010,23,10,104,11
2018-01-02 00:00:00,31,19,0.0,8.7,6,1,100,06:13 PM,06:31 AM,06:36 AM,05:48 PM,19,21,21,21,10,11,88,0.0,1010,20,10,67,6
2018-01-02 06:00:00,31,19,0.0,8.7,6,6,100,06:13 PM,06:31 AM,06:36 AM,05:48 PM,19,26,26,24,10,7,73,0.0,1012,23,10,15,9
2018-01-02 12:00:00,31,19,0.0,8.7,6,8,100,06:13 PM,06:31 AM,06:36 AM,05:48 PM,15,32,32,31,9,27,39,0.0,1009,31,10,76,8
2018-01-02 18:00:00,31,19,0.0,8.7,6,6,100,06:13 PM,06:31 AM,06:36 AM,05:48 PM,19,25,25,23,20,17,77,0.0,1011,23,10,135,10
2018-01-03 00:00:00,31,19,0.0,8.7,6,1,89,07:18 PM,07:34 AM,06:37 AM,05:48 PM,19,20,20,20,13,29,92,0.0,1012,20,10,67,7
2018-01-03 06:00:00,31,19,0.0,8.7,6,6,89,07:18 PM,07:34 AM,06:37 AM,05:48 PM,18,25,25,23,10,15,75,0.0,1014,22,10,32,9
2018-01-03 12:00:00,31,19,0.0,8.7,6,8,89,07:18 PM,07:34 AM,06:37 AM,05:48 PM,13,31,31,31,12,9,32,0.0,1011,31,10,20,10
2018-01-03 18:00:00,31,19,0.0,8.7,6,6,89,07:18 PM,07:34 AM,06:37 AM,05:48 PM,14,26,26,25,10,3,52,0.0,1012,23,10,65,5
2018-01-04 00:00:00,30,17,0.0,8.7,6,1,81,08:22 PM,08:31 AM,06:37 AM,05:49 PM,18,23,25,23,5,2,72,0.0,1013,18,10,89,4
2018-01-04 06:00:00,30,17,0.0,8.7,6,6,81,08:22 PM,08:31 AM,06:37 AM,05:49 PM,15,23,25,23,7,6,59,0.0,1016,22,10,5,6
2018-01-04 12:00:00,30,17,0.0,8.7,6,7,81,08:22 PM,08:31 AM,06:37 AM,05:49 PM,10,30,30,31,11,3,26,0.0,1012,30,10,9,9
2018-01-04 18:00:00,30,17,0.0,8.7,6,6,81,08:22 PM,08:31 AM,06:37 AM,05:49 PM,13,25,26,25,4,0,48,0.0,1013,21,10,138,2
2018-01-05 00:00:00,30,17,0.0,8.7,6,1,74,09:23 PM,09:25 AM,06:37 AM,05:50 PM,21,23,25,23,5,0,88,0.0,1013,18,10,79,4
2018-01-05 06:00:00,30,17,0.0,8.7,6,6,74,09:23 PM,09:25 AM,06:37 AM,05:50 PM,20,26,27,26,5,0,72,0.0,1014,21,10,39,4
2018-01-05 12:00:00,30,17,0.0,8.7,6,7,74,09:23 PM,09:25 AM,06:37 AM,05:50 PM,13,32,32,33,9,0,30,0.0,1011,30,10,27,8
