date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:01 PM,06:15 AM,07:29 AM,05:35 PM,-3,12,12,12,2,7,36,0.0,1017,10,10,86,1
2018-01-01 06:00:00,20,9,0.0,8.7,4,3,97,05:01 PM,06:15 AM,07:29 AM,05:35 PM,2,15,14,15,4,0,43,0.0,1016,10,10,120,4
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:01 PM,06:15 AM,07:29 AM,05:35 PM,3,23,23,23,9,0,27,0.0,1014,20,10,231,8
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:01 PM,06:15 AM,07:29 AM,05:35 PM,4,16,16,16,7,0,46,0.0,1016,12,10,84,4
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:05 PM,07:21 AM,07:29 AM,05:35 PM,3,14,14,14,6,0,49,0.0,1017,9,10,88,4
2018-01-02 06:00:00,20,8,0.0,8.7,4,3,100,06:05 PM,07:21 AM,07:29 AM,05:35 PM,3,14,14,14,3,0,47,0.0,1017,10,10,106,3
2018-01-02 12:00:00,20,8,0.0,8.7,4,6,100,06:05 PM,07:21 AM,07:29 AM,05:35 PM,2,22,23,22,9,5,27,0.0,1015,20,10,254,8
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:05 PM,07:21 AM,07:29 AM,05:35 PM,1,13,13,13,5,15,46,0.0,1017,12,10,46,2
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:12 PM,08:22 AM,07:29 AM,05:36 PM,2,14,14,14,6,1,45,0.0,1017,9,10,85,4
2018-01-03 06:00:00,20,8,0.0,8.7,4,3,89,07:12 PM,08:22 AM,07:29 AM,05:36 PM,3,14,14,14,1,1,47,0.0,1017,9,10,223,1
2018-01-03 12:00:00,20,8,0.0,8.7,4,6,89,07:12 PM,08:22 AM,07:29 AM,05:36 PM,2,22,23,22,9,3,27,0.0,1015,20,10,272,8
2018-01-03 18:00:00,20,8,0.0,8.7,4,4,89,07:12 PM,08:22 AM,07:29 AM,05:36 PM,3,16,15,16,6,0,46,0.0,1017,11,10,11,3
2018-01-04 00:00:00,20,8,0.0,7.1,4,1,81,08:20 PM,09:16 AM,07:29 AM,05:37 PM,2,14,14,14,3,0,45,0.0,1017,9,10,33,2
2018-01-04 06:00:00,20,8,0.0,7.1,4,3,81,08:20 PM,09:16 AM,07:29 AM,05:37 PM,2,14,14,14,1,0,44,0.0,1017,9,10,139,1
2018-01-04 12:00:00,20,8,0.0,7.1,4,5,81,08:20 PM,09:16 AM,07:29 AM,05:37 PM,-0,20,20,20,8,17,25,0.0,1014,20,10,249,7
2018-01-04 18:00:00,20,8,0.0,7.1,4,3,81,08:20 PM,09:16 AM,07:29 AM,05:37 PM,-4,14,14,14,14,95,29,0.0,1017,14,10,312,6
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:27 PM,10:04 AM,07:30 AM,05:38 PM,-7,11,11,11,14,13,27,0.0,1018,10,10,60,7
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,09:27 PM,10:04 AM,07:30 AM,05:38 PM,-2,12,12,12,1,10,38,0.0,1019,10,10,124,1
2018-01-05 12:00:00,20,9,0.0,8.7,4,5,74,09:27 PM,10:04 AM,07:30 AM,05:38 PM,-0,21,22,21,10,4,24,0.0,1016,20,10,287,8
2018-01-05 18:00:00,20,9,0.0,8.7,4,4,74,09:27 PM,10:04 AM,07:30 AM,05:38 PM,1,15,15,15,8,1,40,0.0,1019,11,10,339,4
2018-01-06 00:00:00,20,7,0.0,8.7,4,1,67,10:31 PM,10:46 AM,07:30 AM,05:38 PM,-0,14,14,14,5,0,39,0.0,1018,9,10,26,4
2018-01-06 06:00:00,20,7,0.0,8.7,4,3,67,10:31 PM,10:46 AM,07:30 AM,05:38 PM,-1,13,13,13,3,0,37,0.0,1017,9,10,31,3
2018-01-06 12:00:00,20,7,0.0,8.7,4,5,67,10:31 PM,10:46 AM,07:30 AM,05:38 PM,0,21,22,21,13,0,24,0.0,1014,20,10,276,12
2018-01-06 18:00:00,20,7,0.0,8.7,4,4,67,10:31 PM,10:46 AM,07:30 AM,05:38 PM,0,14,14,14,8,0,39,0.0,1018,10,10,334,4
2018-01-07 00:00:00,20,7,0.0,8.7,4,1,59,11:32 PM,11:25 AM,07:30 AM,05:39 PM,-1,12,12,12,4,0,39,0.0,1018,7,10,1,3
2018-01-07 06:00:00,20,7,0.0,8.7,4,3,59,11:32 PM,11:25 AM,07:30 AM,05:39 PM,-0,13,13,13,2,0,41,0.0,1018,8,10,342,2
2018-01-07 12:00:00,20,7,0.0,8.7,4,6,59,11:32 PM,11:25 AM,07:30 AM,05:39 PM,0,21,22,21,15,0,25,0.0,1015,20,10,276,13
2018-01-07 18:00:00,20,7,0.0,8.7,4,4,59,11:32 PM,11:25 AM,07:30 AM,05:39 PM,1,15,14,15,8,0,41,0.0,1019,11,10,5,4
2018-01-08 00:00:00,21,7,0.0,8.7,4,1,52,No moonrise,12:00 PM,07:30 AM,05:40 PM,-1,13,13,13,5,0,37,0.0,1018,8,10,321,3
2018-01-08 06:00:00,21,7,0.0,8.7,4,3,52,No moonrise,12:00 PM,07:30 AM,05:40 PM,0,13,13,13,4,0,42,0.0,1019,8,10,306,3
2018-01-08 12:00:00,21,7,0.0,8.7,4,6,52,No moonrise,12:00 PM,07:30 AM,05:40 PM,0,22,23,22,14,0,23,0.0,1017,21,10,276,12
2018-01-08 18:00:00,21,7,0.0,8.7,4,4,52,No moonrise,12:00 PM,07:30 AM,05:40 PM,0,14,14,14,5,0,40,0.0,1021,10,10,296,3
2018-01-09 00:00:00,22,7,0.0,8.7,4,1,45,12:30 AM,12:34 PM,07:30 AM,05:41 PM,-2,13,13,13,5,0,36,0.0,1021,8,10,314,3
2018-01-09 06:00:00,22,7,0.0,8.7,4,3,45,12:30 AM,12:34 PM,07:30 AM,05:41 PM,-2,13,13,13,4,0,35,0.0,1022,8,10,294,3
2018-01-09 12:00:00,22,7,0.0,8.7,4,6,45,12:30 AM,12:34 PM,07:30 AM,05:41 PM,-0,24,23,24,12,0,20,0.0,1019,22,10,269,11
2018-01-09 18:00:00,22,7,0.0,8.7,4,4,45,12:30 AM,12:34 PM,07:30 AM,05:41 PM,-0,16,15,16,8,0,35,0.0,1021,12,10,306,4
2018-01-10 00:00:00,23,7,0.0,8.7,4,1,38,01:27 AM,01:08 PM,07:30 AM,05:42 PM,-4,14,13,14,6,0,29,0.0,1022,8,10,281,3
2018-01-10 06:00:00,23,7,0.0,8.7,4,3,38,01:27 AM,01:08 PM,07:30 AM,05:42 PM,-3,13,13,13,8,0,33,0.0,1021,9,10,294,5
2018-01-10 12:00:00,23,7,0.0,8.7,4,6,38,01:27 AM,01:08 PM,07:30 AM,05:42 PM,0,23,23,24,15,1,21,0.0,1018,23,10,271,13
2018-01-10 18:00:00,23,7,0.0,8.7,4,4,38,01:27 AM,01:08 PM,07:30 AM,05:42 PM,-2,14,13,14,8,6,34,0.0,1020,12,10,286,4
2018-01-11 00:00:00,22,7,0.0,7.1,4,1,30,02:22 AM,01:43 PM,07:30 AM,05:43 PM,-5,9,9,9,10,54,37,0.0,1019,9,10,271,5
2018-01-11 06:00:00,22,7,0.0,7.1,4,2,30,02:22 AM,01:43 PM,07:30 AM,05:43 PM,-3,9,9,9,9,75,43,0.0,1019,8,10,274,4
2018-01-11 12:00:00,22,7,0.0,7.1,4,6,30,02:22 AM,01:43 PM,07:30 AM,05:43 PM,0,22,23,22,12,18,23,0.0,1017,22,10,265,10
2018-01-11 18:00:00,22,7,0.0,7.1,4,3,30,02:22 AM,01:43 PM,07:30 AM,05:43 PM,-2,15,14,15,8,100,31,0.0,1018,14,10,293,4
2018-01-12 00:00:00,22,10,0.0,7.1,3,1,23,03:17 AM,02:19 PM,07:30 AM,05:43 PM,-6,12,12,12,11,100,28,0.0,1016,11,10,284,5
2018-01-12 06:00:00,22,10,0.0,7.1,3,3,23,03:17 AM,02:19 PM,07:30 AM,05:43 PM,-3,11,11,11,10,100,37,0.0,1016,11,10,268,5
2018-01-12 12:00:00,22,10,0.0,7.1,3,6,23,03:17 AM,02:19 PM,07:30 AM,05:43 PM,0,23,23,23,13,5,23,0.0,1015,22,10,264,12
2018-01-12 18:00:00,22,10,0.0,7.1,3,4,23,03:17 AM,02:19 PM,07:30 AM,05:43 PM,1,16,16,16,4,0,38,0.0,1018,12,10,175,2
2018-01-13 00:00:00,21,7,0.0,8.7,4,1,16,04:10 AM,02:59 PM,07:29 AM,05:44 PM,2,14,14,14,5,0,44,0.0,1018,9,10,146,3
2018-01-13 06:00:00,21,7,0.0,8.7,4,3,16,04:10 AM,02:59 PM,07:29 AM,05:44 PM,3,13,13,13,3,0,50,0.0,1018,9,10,107,3
2018-01-13 12:00:00,21,7,0.0,8.7,4,6,16,04:10 AM,02:59 PM,07:29 AM,05:44 PM,3,23,23,23,11,0,26,0.0,1015,21,10,272,10
2018-01-13 18:00:00,21,7,0.0,8.7,4,4,16,04:10 AM,02:59 PM,07:29 AM,05:44 PM,1,15,15,15,8,0,38,0.0,1018,11,10,331,4
2018-01-14 00:00:00,22,8,0.0,8.7,4,1,9,05:02 AM,03:42 PM,07:29 AM,05:45 PM,-0,14,14,14,4,0,39,0.0,1017,9,10,268,3
2018-01-14 06:00:00,22,8,0.0,8.7,4,3,9,05:02 AM,03:42 PM,07:29 AM,05:45 PM,2,14,14,14,4,0,45,0.0,1017,9,10,232,3
2018-01-14 12:00:00,22,8,0.0,8.7,4,6,9,05:02 AM,03:42 PM,07:29 AM,05:45 PM,2,24,23,24,12,0,24,0.0,1016,22,10,281,10
2018-01-14 18:00:00,22,8,0.0,8.7,4,4,9,05:02 AM,03:42 PM,07:29 AM,05:45 PM,-1,15,15,15,12,0,33,0.0,1020,12,10,328,6
2018-01-15 00:00:00,22,8,0.0,8.7,4,1,1,05:53 AM,04:27 PM,07:29 AM,05:46 PM,-3,11,11,11,5,3,37,0.0,1020,8,10,347,2
2018-01-15 06:00:00,22,8,0.0,8.7,4,3,1,05:53 AM,04:27 PM,07:29 AM,05:46 PM,-2,13,13,13,7,0,35,0.0,1019,9,10,290,5
2018-01-15 12:00:00,22,8,0.0,8.7,4,6,1,05:53 AM,04:27 PM,07:29 AM,05:46 PM,0,23,23,24,12,0,22,0.0,1015,22,10,262,11
2018-01-15 18:00:00,22,8,0.0,8.7,4,4,1,05:53 AM,04:27 PM,07:29 AM,05:46 PM,0,15,15,15,5,0,38,0.0,1016,11,10,328,2
2018-01-16 00:00:00,23,7,0.0,8.7,4,1,0,06:41 AM,05:16 PM,07:29 AM,05:47 PM,-1,14,13,14,8,0,37,0.0,1016,8,10,309,4
2018-01-16 06:00:00,23,7,0.0,8.7,4,3,0,06:41 AM,05:16 PM,07:29 AM,05:47 PM,1,14,13,14,5,0,42,0.0,1015,9,10,292,4
2018-01-16 12:00:00,23,7,0.0,8.7,4,6,0,06:41 AM,05:16 PM,07:29 AM,05:47 PM,2,24,24,24,14,0,23,0.0,1012,23,10,271,12
2018-01-16 18:00:00,23,7,0.0,8.7,4,4,0,06:41 AM,05:16 PM,07:29 AM,05:47 PM,-2,14,13,14,8,5,35,0.0,1015,12,10,127,4
2018-01-17 00:00:00,23,9,0.0,8.7,4,1,0,07:27 AM,06:07 PM,07:29 AM,05:48 PM,3,12,13,12,20,0,51,0.0,1016,10,10,113,9
2018-01-17 06:00:00,23,9,0.0,8.7,4,4,0,07:27 AM,06:07 PM,07:29 AM,05:48 PM,-0,10,11,10,18,9,45,0.0,1017,10,10,125,9
2018-01-17 12:00:00,23,9,0.0,8.7,4,6,0,07:27 AM,06:07 PM,07:29 AM,05:48 PM,4,24,24,23,17,7,29,0.0,1015,23,10,157,14
2018-01-17 18:00:00,23,9,0.0,8.7,4,4,0,07:27 AM,06:07 PM,07:29 AM,05:48 PM,4,15,15,15,15,16,48,0.0,1019,14,10,87,7
2018-01-18 00:00:00,24,11,0.0,8.7,5,1,6,08:09 AM,07:00 PM,07:29 AM,05:49 PM,-9,14,14,14,11,7,20,0.0,1019,12,10,66,5
2018-01-18 06:00:00,24,11,0.0,8.7,5,3,6,08:09 AM,07:00 PM,07:29 AM,05:49 PM,-6,13,13,13,11,82,26,0.0,1019,12,10,313,5
2018-01-18 12:00:00,24,11,0.0,8.7,5,6,6,08:09 AM,07:00 PM,07:29 AM,05:49 PM,2,24,24,25,15,14,22,0.0,1016,24,10,285,13
2018-01-18 18:00:00,24,11,0.0,8.7,5,4,6,08:09 AM,07:00 PM,07:29 AM,05:49 PM,2,16,16,16,12,0,37,0.0,1018,14,10,297,6
