date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,12,0.0,8.7,5,1,97,05:02 PM,06:02 AM,07:14 AM,05:37 PM,2,19,19,19,6,0,32,0.0,1014,14,10,251,5
2018-01-01 06:00:00,21,12,0.0,8.7,5,4,97,05:02 PM,06:02 AM,07:14 AM,05:37 PM,3,19,19,19,2,0,36,0.0,1015,13,10,284,2
2018-01-01 12:00:00,21,12,0.0,8.7,5,6,97,05:02 PM,06:02 AM,07:14 AM,05:37 PM,4,26,25,26,3,0,24,0.0,1013,21,10,299,3
2018-01-01 18:00:00,21,12,0.0,8.7,5,5,97,05:02 PM,06:02 AM,07:14 AM,05:37 PM,1,20,20,20,5,0,28,0.0,1013,16,10,339,5
2018-01-02 00:00:00,20,11,0.0,8.7,4,1,100,06:06 PM,07:08 AM,07:15 AM,05:37 PM,3,19,19,19,4,0,35,0.0,1014,12,10,324,4
2018-01-02 06:00:00,20,11,0.0,8.7,4,4,100,06:06 PM,07:08 AM,07:15 AM,05:37 PM,5,17,17,17,6,0,45,0.0,1015,12,10,295,5
2018-01-02 12:00:00,20,11,0.0,8.7,4,5,100,06:06 PM,07:08 AM,07:15 AM,05:37 PM,2,24,24,24,8,0,25,0.0,1014,20,10,11,7
2018-01-02 18:00:00,20,11,0.0,8.7,4,5,100,06:06 PM,07:08 AM,07:15 AM,05:37 PM,5,20,20,20,3,0,37,0.0,1015,15,10,291,3
2018-01-03 00:00:00,21,11,0.0,8.7,5,1,89,07:13 PM,08:08 AM,07:15 AM,05:38 PM,6,18,18,18,6,0,45,0.0,1015,13,10,287,5
2018-01-03 06:00:00,21,11,0.0,8.7,5,4,89,07:13 PM,08:08 AM,07:15 AM,05:38 PM,7,17,17,17,7,0,51,0.0,1016,12,10,269,6
2018-01-03 12:00:00,21,11,0.0,8.7,5,6,89,07:13 PM,08:08 AM,07:15 AM,05:38 PM,3,25,24,25,9,0,25,0.0,1015,21,10,335,8
2018-01-03 18:00:00,21,11,0.0,8.7,5,5,89,07:13 PM,08:08 AM,07:15 AM,05:38 PM,5,19,19,19,7,0,39,0.0,1014,15,10,291,6
2018-01-04 00:00:00,22,11,0.0,8.7,5,1,81,08:19 PM,09:04 AM,07:15 AM,05:39 PM,5,18,18,18,6,0,43,0.0,1015,12,10,316,5
2018-01-04 06:00:00,22,11,0.0,8.7,5,4,81,08:19 PM,09:04 AM,07:15 AM,05:39 PM,6,18,18,18,5,0,46,0.0,1016,12,10,246,5
2018-01-04 12:00:00,22,11,0.0,8.7,5,6,81,08:19 PM,09:04 AM,07:15 AM,05:39 PM,1,27,25,27,5,0,19,0.0,1014,22,10,218,4
2018-01-04 18:00:00,22,11,0.0,8.7,5,5,81,08:19 PM,09:04 AM,07:15 AM,05:39 PM,3,20,20,20,7,0,32,0.0,1014,16,10,128,6
2018-01-05 00:00:00,21,11,0.0,8.7,5,1,74,09:25 PM,09:53 AM,07:15 AM,05:40 PM,5,19,19,19,4,0,39,0.0,1015,13,10,113,4
2018-01-05 06:00:00,21,11,0.0,8.7,5,4,74,09:25 PM,09:53 AM,07:15 AM,05:40 PM,2,14,14,14,9,4,45,0.0,1016,12,10,171,8
2018-01-05 12:00:00,21,11,0.0,8.7,5,6,74,09:25 PM,09:53 AM,07:15 AM,05:40 PM,5,26,25,26,1,1,27,0.0,1014,21,10,49,1
2018-01-05 18:00:00,21,11,0.0,8.7,5,5,74,09:25 PM,09:53 AM,07:15 AM,05:40 PM,5,20,20,20,3,0,38,0.0,1013,16,10,54,3
2018-01-06 00:00:00,21,12,0.0,8.7,5,1,67,10:27 PM,10:37 AM,07:15 AM,05:40 PM,7,19,19,19,3,0,45,0.0,1013,13,10,298,3
2018-01-06 06:00:00,21,12,0.0,8.7,5,4,67,10:27 PM,10:37 AM,07:15 AM,05:40 PM,6,18,18,18,5,0,45,0.0,1014,12,10,302,4
2018-01-06 12:00:00,21,12,0.0,8.7,5,6,67,10:27 PM,10:37 AM,07:15 AM,05:40 PM,3,25,24,25,10,0,24,0.0,1013,21,10,309,9
2018-01-06 18:00:00,21,12,0.0,8.7,5,5,67,10:27 PM,10:37 AM,07:15 AM,05:40 PM,5,19,19,19,8,0,39,0.0,1014,16,10,1,7
2018-01-07 00:00:00,21,10,0.0,8.7,4,1,59,11:27 PM,11:17 AM,07:16 AM,05:41 PM,7,18,18,18,7,0,50,0.0,1014,12,10,287,6
2018-01-07 06:00:00,21,10,0.0,8.7,4,4,59,11:27 PM,11:17 AM,07:16 AM,05:41 PM,4,14,14,14,12,0,49,0.0,1016,11,10,277,10
2018-01-07 12:00:00,21,10,0.0,8.7,4,6,59,11:27 PM,11:17 AM,07:16 AM,05:41 PM,2,23,23,23,16,0,26,0.0,1014,21,10,301,14
2018-01-07 18:00:00,21,10,0.0,8.7,4,5,59,11:27 PM,11:17 AM,07:16 AM,05:41 PM,2,18,18,18,10,0,35,0.0,1014,15,10,285,8
2018-01-08 00:00:00,21,10,0.0,8.7,4,1,52,No moonrise,11:54 AM,07:16 AM,05:42 PM,-0,16,16,16,10,0,33,0.0,1015,12,10,273,9
2018-01-08 06:00:00,21,10,0.0,8.7,4,4,52,No moonrise,11:54 AM,07:16 AM,05:42 PM,-0,14,15,14,10,0,37,0.0,1017,11,10,278,9
2018-01-08 12:00:00,21,10,0.0,8.7,4,6,52,No moonrise,11:54 AM,07:16 AM,05:42 PM,1,24,23,24,11,0,22,0.0,1016,21,10,302,10
2018-01-08 18:00:00,21,10,0.0,8.7,4,5,52,No moonrise,11:54 AM,07:16 AM,05:42 PM,2,20,20,20,5,0,31,0.0,1017,15,10,303,4
2018-01-09 00:00:00,21,10,0.0,8.7,4,1,45,12:23 AM,12:29 PM,07:16 AM,05:43 PM,2,18,18,18,6,0,34,0.0,1019,12,10,282,5
2018-01-09 06:00:00,21,10,0.0,8.7,4,4,45,12:23 AM,12:29 PM,07:16 AM,05:43 PM,0,15,15,15,9,0,36,0.0,1020,11,10,260,8
2018-01-09 12:00:00,21,10,0.0,8.7,4,6,45,12:23 AM,12:29 PM,07:16 AM,05:43 PM,2,24,24,24,12,0,23,0.0,1018,21,10,318,10
2018-01-09 18:00:00,21,10,0.0,8.7,4,5,45,12:23 AM,12:29 PM,07:16 AM,05:43 PM,3,19,19,19,6,0,34,0.0,1018,15,10,308,5
2018-01-10 00:00:00,23,11,0.0,8.7,5,1,38,01:18 AM,01:05 PM,07:16 AM,05:43 PM,-1,16,16,16,11,0,32,0.0,1019,12,10,290,9
2018-01-10 06:00:00,23,11,0.0,8.7,5,4,38,01:18 AM,01:05 PM,07:16 AM,05:43 PM,-3,12,13,12,18,3,32,0.0,1020,11,10,276,12
2018-01-10 12:00:00,23,11,0.0,8.7,5,6,38,01:18 AM,01:05 PM,07:16 AM,05:43 PM,0,23,23,24,17,3,20,0.0,1017,23,10,290,14
2018-01-10 18:00:00,23,11,0.0,8.7,5,5,38,01:18 AM,01:05 PM,07:16 AM,05:43 PM,-3,18,18,18,20,0,23,0.0,1018,16,10,281,12
2018-01-11 00:00:00,22,11,0.0,8.7,5,1,30,02:12 AM,01:41 PM,07:16 AM,05:44 PM,-7,16,16,16,15,0,21,0.0,1017,13,10,286,12
2018-01-11 06:00:00,22,11,0.0,8.7,5,4,30,02:12 AM,01:41 PM,07:16 AM,05:44 PM,-5,12,13,12,22,2,27,0.0,1018,12,10,280,14
2018-01-11 12:00:00,22,11,0.0,8.7,5,6,30,02:12 AM,01:41 PM,07:16 AM,05:44 PM,0,23,23,24,17,2,21,0.0,1015,22,10,290,15
2018-01-11 18:00:00,22,11,0.0,8.7,5,5,30,02:12 AM,01:41 PM,07:16 AM,05:44 PM,-0,17,17,17,17,9,30,0.0,1015,16,10,289,9
2018-01-12 00:00:00,23,12,0.0,8.7,5,1,23,03:05 AM,02:19 PM,07:16 AM,05:45 PM,-5,14,15,14,19,11,24,0.0,1015,14,10,286,10
2018-01-12 06:00:00,23,12,0.0,8.7,5,4,23,03:05 AM,02:19 PM,07:16 AM,05:45 PM,-4,14,14,14,16,6,28,0.0,1016,13,10,257,10
2018-01-12 12:00:00,23,12,0.0,8.7,5,6,23,03:05 AM,02:19 PM,07:16 AM,05:45 PM,1,24,24,25,12,4,21,0.0,1015,23,10,292,10
2018-01-12 18:00:00,23,12,0.0,8.7,5,5,23,03:05 AM,02:19 PM,07:16 AM,05:45 PM,0,18,18,18,10,27,30,0.0,1015,18,10,242,5
2018-01-13 00:00:00,23,13,0.0,8.7,5,1,16,03:58 AM,02:59 PM,07:16 AM,05:46 PM,3,19,19,19,7,0,33,0.0,1015,14,10,241,6
2018-01-13 06:00:00,23,13,0.0,8.7,5,4,16,03:58 AM,02:59 PM,07:16 AM,05:46 PM,4,19,19,19,6,0,37,0.0,1017,14,10,275,5
2018-01-13 12:00:00,23,13,0.0,8.7,5,6,16,03:58 AM,02:59 PM,07:16 AM,05:46 PM,4,25,25,26,12,0,23,0.0,1014,23,10,298,10
2018-01-13 18:00:00,23,13,0.0,8.7,5,5,16,03:58 AM,02:59 PM,07:16 AM,05:46 PM,5,21,21,21,5,0,36,0.0,1015,17,10,335,4
2018-01-14 00:00:00,23,12,0.0,8.7,5,1,9,04:49 AM,03:42 PM,07:16 AM,05:47 PM,4,18,18,18,9,0,39,0.0,1016,14,10,262,8
2018-01-14 06:00:00,23,12,0.0,8.7,5,4,9,04:49 AM,03:42 PM,07:16 AM,05:47 PM,4,17,17,17,7,0,40,0.0,1017,12,10,268,6
2018-01-14 12:00:00,23,12,0.0,8.7,5,6,9,04:49 AM,03:42 PM,07:16 AM,05:47 PM,3,24,24,25,15,0,23,0.0,1015,23,10,291,13
2018-01-14 18:00:00,23,12,0.0,8.7,5,5,9,04:49 AM,03:42 PM,07:16 AM,05:47 PM,3,21,21,21,8,0,32,0.0,1015,17,10,297,6
2018-01-15 00:00:00,22,12,0.0,8.7,5,1,1,05:40 AM,04:28 PM,07:16 AM,05:47 PM,2,19,19,19,8,0,32,0.0,1017,14,10,270,7
2018-01-15 06:00:00,22,12,0.0,8.7,5,4,1,05:40 AM,04:28 PM,07:16 AM,05:47 PM,1,16,16,16,10,0,36,0.0,1018,13,10,289,9
2018-01-15 12:00:00,22,12,0.0,8.7,5,6,1,05:40 AM,04:28 PM,07:16 AM,05:47 PM,4,24,24,24,16,0,27,0.0,1016,22,10,301,14
2018-01-15 18:00:00,22,12,0.0,8.7,5,5,1,05:40 AM,04:28 PM,07:16 AM,05:47 PM,3,18,18,18,18,0,35,0.0,1015,16,10,278,11
2018-01-16 00:00:00,22,10,0.0,8.7,5,1,0,06:28 AM,05:17 PM,07:16 AM,05:48 PM,-5,15,15,15,15,0,24,0.0,1014,12,10,290,12
2018-01-16 06:00:00,22,10,0.0,8.7,5,4,0,06:28 AM,05:17 PM,07:16 AM,05:48 PM,-4,14,15,14,12,0,27,0.0,1015,11,10,286,10
2018-01-16 12:00:00,22,10,0.0,8.7,5,6,0,06:28 AM,05:17 PM,07:16 AM,05:48 PM,0,25,25,27,6,0,17,0.0,1013,22,10,322,5
2018-01-16 18:00:00,22,10,0.0,8.7,5,5,0,06:28 AM,05:17 PM,07:16 AM,05:48 PM,-0,20,20,20,12,0,26,0.0,1012,17,10,80,8
2018-01-17 00:00:00,23,12,0.0,8.7,5,1,0,07:14 AM,06:08 PM,07:15 AM,05:49 PM,4,19,19,19,8,0,37,0.0,1013,14,10,130,7
2018-01-17 06:00:00,23,12,0.0,8.7,5,4,0,07:14 AM,06:08 PM,07:15 AM,05:49 PM,4,16,16,16,12,0,46,0.0,1016,12,10,151,10
2018-01-17 12:00:00,23,12,0.0,8.7,5,6,0,07:14 AM,06:08 PM,07:15 AM,05:49 PM,7,25,25,26,13,0,30,0.0,1014,23,10,133,12
2018-01-17 18:00:00,23,12,0.0,8.7,5,5,0,07:14 AM,06:08 PM,07:15 AM,05:49 PM,8,19,19,19,13,3,50,0.0,1014,17,10,144,8
2018-01-18 00:00:00,26,13,0.0,8.7,5,1,6,07:57 AM,07:00 PM,07:15 AM,05:50 PM,8,18,18,18,2,4,51,0.0,1015,14,10,103,2
2018-01-18 06:00:00,26,13,0.0,8.7,5,4,6,07:57 AM,07:00 PM,07:15 AM,05:50 PM,7,18,18,18,6,4,51,0.0,1016,15,10,233,5
2018-01-18 12:00:00,26,13,0.0,8.7,5,7,6,07:57 AM,07:00 PM,07:15 AM,05:50 PM,11,29,29,30,6,0,30,0.0,1014,26,10,306,5
2018-01-18 18:00:00,26,13,0.0,8.7,5,5,6,07:57 AM,07:00 PM,07:15 AM,05:50 PM,10,23,24,23,12,0,46,0.0,1014,20,10,359,9
2018-01-19 00:00:00,25,14,0.0,8.7,5,1,13,08:37 AM,07:54 PM,07:15 AM,05:51 PM,12,21,24,21,7,0,57,0.0,1015,16,10,269,6
2018-01-19 06:00:00,25,14,0.0,8.7,5,5,13,08:37 AM,07:54 PM,07:15 AM,05:51 PM,12,20,20,20,7,0,61,0.0,1016,15,10,280,6
2018-01-19 12:00:00,25,14,0.0,8.7,5,6,13,08:37 AM,07:54 PM,07:15 AM,05:51 PM,10,27,27,28,11,0,33,0.0,1015,25,10,307,9
2018-01-19 18:00:00,25,14,0.0,8.7,5,5,13,08:37 AM,07:54 PM,07:15 AM,05:51 PM,10,22,24,22,8,0,48,0.0,1016,18,10,318,7
2018-01-20 00:00:00,22,12,0.0,8.7,5,1,20,09:16 AM,08:47 PM,07:15 AM,05:51 PM,6,17,17,17,11,0,46,0.0,1016,13,10,293,10
2018-01-20 06:00:00,22,12,0.0,8.7,5,4,20,09:16 AM,08:47 PM,07:15 AM,05:51 PM,4,15,15,15,12,0,47,0.0,1016,12,10,277,11
2018-01-20 12:00:00,22,12,0.0,8.7,5,6,20,09:16 AM,08:47 PM,07:15 AM,05:51 PM,3,24,24,25,13,0,24,0.0,1014,22,10,291,11
