date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,15,0.0,8.7,6,1,97,04:04 PM,04:50 AM,06:04 AM,04:42 PM,13,18,18,18,6,2,73,0.0,1013,15,10,35,3
2018-01-01 06:00:00,27,15,0.0,8.7,6,6,97,04:04 PM,04:50 AM,06:04 AM,04:42 PM,13,22,24,22,4,13,59,0.0,1015,21,10,70,4
2018-01-01 12:00:00,27,15,0.0,8.7,6,7,97,04:04 PM,04:50 AM,06:04 AM,04:42 PM,12,27,27,27,4,6,39,0.0,1010,26,10,240,3
2018-01-01 18:00:00,27,15,0.0,8.7,6,1,97,04:04 PM,04:50 AM,06:04 AM,04:42 PM,11,19,19,19,8,49,60,0.0,1013,19,10,29,4
2018-01-02 00:00:00,25,16,0.0,8.7,5,1,100,05:08 PM,05:55 AM,06:04 AM,04:43 PM,13,19,19,19,6,53,71,0.0,1012,18,10,30,3
2018-01-02 06:00:00,25,16,0.0,8.7,5,5,100,05:08 PM,05:55 AM,06:04 AM,04:43 PM,16,21,24,21,4,31,73,0.7,1013,21,9,56,3
2018-01-02 12:00:00,25,16,0.0,8.7,5,5,100,05:08 PM,05:55 AM,06:04 AM,04:43 PM,17,27,27,25,5,27,60,0.5,1009,25,9,197,4
2018-01-02 18:00:00,25,16,0.0,8.7,5,1,100,05:08 PM,05:55 AM,06:04 AM,04:43 PM,16,17,17,17,2,60,93,1.4,1012,17,10,70,1
2018-01-03 00:00:00,24,14,0.0,8.7,4,1,89,06:14 PM,06:57 AM,06:05 AM,04:44 PM,15,16,16,16,6,19,95,0.7,1012,15,9,49,4
2018-01-03 06:00:00,24,14,0.0,8.7,4,4,89,06:14 PM,06:57 AM,06:05 AM,04:44 PM,16,20,20,20,0,28,80,0.5,1013,19,9,250,0
2018-01-03 12:00:00,24,14,0.0,8.7,4,6,89,06:14 PM,06:57 AM,06:05 AM,04:44 PM,15,25,25,23,8,6,58,0.0,1010,23,10,255,7
2018-01-03 18:00:00,24,14,0.0,8.7,4,1,89,06:14 PM,06:57 AM,06:05 AM,04:44 PM,14,16,16,16,7,7,85,0.0,1014,15,10,47,3
2018-01-04 00:00:00,24,12,0.0,8.7,5,1,81,07:20 PM,07:54 AM,06:05 AM,04:44 PM,13,16,15,16,7,4,87,0.0,1016,13,10,38,4
2018-01-04 06:00:00,24,12,0.0,8.7,5,5,81,07:20 PM,07:54 AM,06:05 AM,04:44 PM,16,22,24,22,3,0,70,0.0,1017,18,10,72,3
2018-01-04 12:00:00,24,12,0.0,8.7,5,6,81,07:20 PM,07:54 AM,06:05 AM,04:44 PM,14,27,27,27,3,2,45,0.0,1012,24,10,308,3
2018-01-04 18:00:00,24,12,0.0,8.7,5,1,81,07:20 PM,07:54 AM,06:05 AM,04:44 PM,13,16,16,16,6,4,82,0.0,1015,15,10,21,3
2018-01-05 00:00:00,25,12,0.0,8.7,5,1,74,08:24 PM,08:44 AM,06:05 AM,04:45 PM,14,15,15,15,5,2,91,0.0,1015,13,10,47,3
2018-01-05 06:00:00,25,12,0.0,8.7,5,5,74,08:24 PM,08:44 AM,06:05 AM,04:45 PM,15,22,25,22,3,0,65,0.0,1015,19,10,69,3
2018-01-05 12:00:00,25,12,0.0,8.7,5,6,74,08:24 PM,08:44 AM,06:05 AM,04:45 PM,13,26,26,26,6,0,44,0.0,1010,24,10,248,5
2018-01-05 18:00:00,25,12,0.0,8.7,5,1,74,08:24 PM,08:44 AM,06:05 AM,04:45 PM,11,16,16,16,6,3,72,0.0,1012,14,10,13,3
2018-01-06 00:00:00,23,11,0.0,8.7,5,1,67,09:25 PM,09:30 AM,06:05 AM,04:46 PM,11,15,15,15,4,0,76,0.0,1013,12,10,30,3
2018-01-06 06:00:00,23,11,0.0,8.7,5,5,67,09:25 PM,09:30 AM,06:05 AM,04:46 PM,13,21,24,21,2,0,58,0.0,1014,18,10,90,2
2018-01-06 12:00:00,23,11,0.0,8.7,5,6,67,09:25 PM,09:30 AM,06:05 AM,04:46 PM,11,24,25,24,6,0,43,0.0,1010,22,10,263,5
2018-01-06 18:00:00,23,11,0.0,8.7,5,1,67,09:25 PM,09:30 AM,06:05 AM,04:46 PM,9,15,15,15,8,0,69,0.0,1013,12,10,29,4
2018-01-07 00:00:00,22,10,0.0,8.7,4,1,59,10:22 PM,10:11 AM,06:05 AM,04:46 PM,10,15,14,15,5,0,79,0.0,1014,10,10,42,3
2018-01-07 06:00:00,22,10,0.0,8.7,4,5,59,10:22 PM,10:11 AM,06:05 AM,04:46 PM,11,20,20,20,2,0,59,0.0,1015,16,10,116,1
2018-01-07 12:00:00,22,10,0.0,8.7,4,6,59,10:22 PM,10:11 AM,06:05 AM,04:46 PM,7,23,24,23,5,0,36,0.0,1012,21,10,261,5
2018-01-07 18:00:00,22,10,0.0,8.7,4,1,59,10:22 PM,10:11 AM,06:05 AM,04:46 PM,6,14,13,14,7,0,59,0.0,1016,11,10,38,4
2018-01-08 00:00:00,22,8,0.0,8.7,4,1,52,11:18 PM,10:50 AM,06:06 AM,04:47 PM,7,13,12,13,6,0,69,0.0,1017,9,10,42,4
2018-01-08 06:00:00,22,8,0.0,8.7,4,5,52,11:18 PM,10:50 AM,06:06 AM,04:47 PM,11,19,19,19,3,0,60,0.0,1018,16,10,59,3
2018-01-08 12:00:00,22,8,0.0,8.7,4,6,52,11:18 PM,10:50 AM,06:06 AM,04:47 PM,7,23,24,23,6,0,34,0.0,1014,21,10,243,5
2018-01-08 18:00:00,22,8,0.0,8.7,4,1,52,11:18 PM,10:50 AM,06:06 AM,04:47 PM,8,14,14,14,5,0,66,0.0,1017,11,10,36,3
2018-01-09 00:00:00,23,9,0.0,8.7,4,1,45,No moonrise,11:27 AM,06:06 AM,04:48 PM,8,13,13,13,4,0,73,0.0,1018,9,10,35,3
2018-01-09 06:00:00,23,9,0.0,8.7,4,5,45,No moonrise,11:27 AM,06:06 AM,04:48 PM,11,20,20,20,3,0,58,0.0,1018,17,10,62,3
2018-01-09 12:00:00,23,9,0.0,8.7,4,6,45,No moonrise,11:27 AM,06:06 AM,04:48 PM,10,23,25,23,7,0,43,0.0,1015,22,10,248,6
2018-01-09 18:00:00,23,9,0.0,8.7,4,1,45,No moonrise,11:27 AM,06:06 AM,04:48 PM,11,15,15,15,7,0,79,0.0,1017,12,10,35,4
2018-01-10 00:00:00,23,10,0.0,8.7,4,1,38,12:11 AM,12:04 PM,06:06 AM,04:49 PM,10,14,14,14,4,0,79,0.0,1018,10,10,33,3
2018-01-10 06:00:00,23,10,0.0,8.7,4,5,38,12:11 AM,12:04 PM,06:06 AM,04:49 PM,12,20,20,20,1,0,60,0.0,1018,17,10,145,1
2018-01-10 12:00:00,23,10,0.0,8.7,4,6,38,12:11 AM,12:04 PM,06:06 AM,04:49 PM,11,24,25,24,7,0,45,0.0,1015,22,10,221,6
2018-01-10 18:00:00,23,10,0.0,8.7,4,1,38,12:11 AM,12:04 PM,06:06 AM,04:49 PM,11,16,15,16,6,0,78,0.0,1017,12,10,42,3
2018-01-11 00:00:00,22,10,0.0,8.7,4,1,30,01:04 AM,12:41 PM,06:06 AM,04:49 PM,11,14,14,14,4,0,83,0.0,1017,11,10,59,3
2018-01-11 06:00:00,22,10,0.0,8.7,4,5,30,01:04 AM,12:41 PM,06:06 AM,04:49 PM,12,20,20,20,2,0,60,0.0,1017,17,10,185,1
2018-01-11 12:00:00,22,10,0.0,8.7,4,6,30,01:04 AM,12:41 PM,06:06 AM,04:49 PM,11,24,25,24,6,0,46,0.0,1014,21,10,242,5
