date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,4,1,97,04:58 PM,05:59 AM,07:12 AM,05:33 PM,4,16,16,16,6,0,46,0.0,1014,12,10,288,5
2018-01-01 06:00:00,21,11,0.0,8.7,4,4,97,04:58 PM,05:59 AM,07:12 AM,05:33 PM,5,16,16,16,5,0,49,0.0,1015,12,10,342,4
2018-01-01 12:00:00,21,11,0.0,8.7,4,6,97,04:58 PM,05:59 AM,07:12 AM,05:33 PM,2,23,23,23,6,0,24,0.0,1013,21,10,298,5
2018-01-01 18:00:00,21,11,0.0,8.7,4,4,97,04:58 PM,05:59 AM,07:12 AM,05:33 PM,1,16,16,16,9,0,36,0.0,1014,14,10,332,5
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:02 PM,07:05 AM,07:12 AM,05:34 PM,2,14,14,14,8,0,45,0.0,1014,10,10,342,5
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:02 PM,07:05 AM,07:12 AM,05:34 PM,4,13,13,13,7,0,53,0.0,1015,11,10,303,6
2018-01-02 12:00:00,20,9,0.0,8.7,4,5,100,06:02 PM,07:05 AM,07:12 AM,05:34 PM,2,23,23,23,5,0,26,0.0,1014,20,10,359,4
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:02 PM,07:05 AM,07:12 AM,05:34 PM,3,16,16,16,7,0,42,0.0,1015,13,10,291,4
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:09 PM,08:06 AM,07:12 AM,05:35 PM,4,13,13,13,11,0,53,0.0,1015,11,10,305,7
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:09 PM,08:06 AM,07:12 AM,05:35 PM,5,13,13,13,9,0,59,0.0,1016,11,10,288,7
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:09 PM,08:06 AM,07:12 AM,05:35 PM,3,22,23,22,12,0,28,0.0,1014,21,10,307,10
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:09 PM,08:06 AM,07:12 AM,05:35 PM,3,14,14,14,18,0,47,0.0,1015,13,10,293,9
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:16 PM,09:01 AM,07:13 AM,05:35 PM,3,11,12,11,15,0,54,0.0,1015,10,10,314,9
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:16 PM,09:01 AM,07:13 AM,05:35 PM,5,13,13,13,9,0,57,0.0,1016,11,10,285,7
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,08:16 PM,09:01 AM,07:13 AM,05:35 PM,1,23,23,23,9,0,24,0.0,1014,21,10,277,8
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,08:16 PM,09:01 AM,07:13 AM,05:35 PM,2,16,16,16,1,0,39,0.0,1015,13,10,10,1
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:22 PM,09:50 AM,07:13 AM,05:36 PM,3,14,14,14,7,0,46,0.0,1016,10,10,39,5
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,09:22 PM,09:50 AM,07:13 AM,05:36 PM,3,14,13,14,5,2,50,0.0,1016,11,10,210,4
2018-01-05 12:00:00,20,9,0.0,8.7,4,5,74,09:22 PM,09:50 AM,07:13 AM,05:36 PM,3,21,23,21,6,3,30,0.0,1014,20,10,288,5
2018-01-05 18:00:00,20,9,0.0,8.7,4,4,74,09:22 PM,09:50 AM,07:13 AM,05:36 PM,4,16,16,16,7,0,45,0.0,1014,13,10,334,4
2018-01-06 00:00:00,21,9,0.0,8.7,4,1,67,10:24 PM,10:34 AM,07:13 AM,05:37 PM,3,13,13,13,9,0,50,0.0,1014,10,10,303,6
2018-01-06 06:00:00,21,9,0.0,8.7,4,4,67,10:24 PM,10:34 AM,07:13 AM,05:37 PM,4,13,13,13,8,0,53,0.0,1014,10,10,308,6
2018-01-06 12:00:00,21,9,0.0,8.7,4,6,67,10:24 PM,10:34 AM,07:13 AM,05:37 PM,2,21,21,21,14,0,29,0.0,1012,21,10,299,12
2018-01-06 18:00:00,21,9,0.0,8.7,4,4,67,10:24 PM,10:34 AM,07:13 AM,05:37 PM,4,14,15,14,17,0,49,0.0,1014,13,10,331,8
