date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,04:52 PM,05:47 AM,06:59 AM,05:27 PM,9,18,18,18,7,0,57,0.0,1012,13,10,277,6
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,04:52 PM,05:47 AM,06:59 AM,05:27 PM,12,18,18,18,5,0,67,0.0,1014,14,10,337,4
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,04:52 PM,05:47 AM,06:59 AM,05:27 PM,7,24,24,24,10,0,34,0.0,1012,21,10,340,8
2018-01-01 18:00:00,21,11,0.0,8.7,5,5,97,04:52 PM,05:47 AM,06:59 AM,05:27 PM,7,19,19,19,1,2,48,0.0,1012,15,10,304,1
2018-01-02 00:00:00,20,11,0.0,8.7,4,1,100,05:56 PM,06:52 AM,06:59 AM,05:28 PM,5,15,15,15,1,5,52,0.0,1012,13,10,100,0
2018-01-02 06:00:00,20,11,0.0,8.7,4,4,100,05:56 PM,06:52 AM,06:59 AM,05:28 PM,5,15,14,15,5,18,53,0.0,1014,13,10,334,4
2018-01-02 12:00:00,20,11,0.0,8.7,4,6,100,05:56 PM,06:52 AM,06:59 AM,05:28 PM,4,21,23,21,8,11,33,0.0,1013,20,10,321,7
2018-01-02 18:00:00,20,11,0.0,8.7,4,4,100,05:56 PM,06:52 AM,06:59 AM,05:28 PM,6,17,17,17,14,0,49,0.0,1014,15,10,352,8
2018-01-03 00:00:00,20,10,0.0,8.7,4,1,89,07:02 PM,07:53 AM,06:59 AM,05:29 PM,5,15,15,15,12,0,51,0.0,1014,12,10,328,9
2018-01-03 06:00:00,20,10,0.0,8.7,4,4,89,07:02 PM,07:53 AM,06:59 AM,05:29 PM,4,14,15,14,10,0,50,0.0,1015,12,10,269,8
2018-01-03 12:00:00,20,10,0.0,8.7,4,6,89,07:02 PM,07:53 AM,06:59 AM,05:29 PM,4,23,23,23,11,0,29,0.0,1013,20,10,298,10
2018-01-03 18:00:00,20,10,0.0,8.7,4,4,89,07:02 PM,07:53 AM,06:59 AM,05:29 PM,4,16,16,16,15,0,45,0.0,1014,14,10,273,9
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:08 PM,08:49 AM,07:00 AM,05:29 PM,6,14,14,14,13,0,57,0.0,1014,11,10,295,9
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:08 PM,08:49 AM,07:00 AM,05:29 PM,7,15,15,15,9,0,58,0.0,1016,12,10,256,8
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:08 PM,08:49 AM,07:00 AM,05:29 PM,4,24,24,24,8,0,29,0.0,1014,21,10,284,7
