date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,4,1,97,05:00 PM,05:56 AM,07:08 AM,05:35 PM,7,18,18,18,3,2,51,0.0,1014,12,10,310,3
2018-01-01 06:00:00,21,11,0.0,8.7,4,4,97,05:00 PM,05:56 AM,07:08 AM,05:35 PM,7,16,16,16,5,3,56,0.0,1015,13,10,343,4
2018-01-01 12:00:00,21,11,0.0,8.7,4,6,97,05:00 PM,05:56 AM,07:08 AM,05:35 PM,5,23,24,23,2,5,31,0.0,1013,21,10,15,2
2018-01-01 18:00:00,21,11,0.0,8.7,4,4,97,05:00 PM,05:56 AM,07:08 AM,05:35 PM,4,16,16,16,16,9,46,0.0,1013,15,10,36,8
2018-01-02 00:00:00,19,10,0.0,8.7,4,1,100,06:03 PM,07:02 AM,07:09 AM,05:35 PM,0,13,13,13,9,17,43,0.0,1014,11,10,2,5
2018-01-02 06:00:00,19,10,0.0,8.7,4,4,100,06:03 PM,07:02 AM,07:09 AM,05:35 PM,4,14,14,14,9,0,49,0.0,1015,10,10,318,8
2018-01-02 12:00:00,19,10,0.0,8.7,4,5,100,06:03 PM,07:02 AM,07:09 AM,05:35 PM,2,23,23,23,5,0,25,0.0,1014,19,10,332,4
2018-01-02 18:00:00,19,10,0.0,8.7,4,4,100,06:03 PM,07:02 AM,07:09 AM,05:35 PM,1,16,16,16,6,0,34,0.0,1015,13,10,320,4
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:10 PM,08:03 AM,07:09 AM,05:36 PM,3,15,15,15,9,0,46,0.0,1015,10,10,325,7
2018-01-03 06:00:00,20,8,0.0,8.7,4,4,89,07:10 PM,08:03 AM,07:09 AM,05:36 PM,6,14,14,14,8,0,56,0.0,1016,10,10,263,7
