date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,9,0.0,8.7,4,1,97,05:06 PM,06:09 AM,07:21 AM,05:40 PM,-2,15,15,15,9,0,32,0.0,1014,11,10,144,6
2018-01-01 06:00:00,21,9,0.0,8.7,4,4,97,05:06 PM,06:09 AM,07:21 AM,05:40 PM,0,16,16,16,2,0,35,0.0,1015,12,10,355,1
2018-01-01 12:00:00,21,9,0.0,8.7,4,6,97,05:06 PM,06:09 AM,07:21 AM,05:40 PM,-1,23,23,23,7,0,19,0.0,1013,21,10,337,6
2018-01-01 18:00:00,21,9,0.0,8.7,4,4,97,05:06 PM,06:09 AM,07:21 AM,05:40 PM,2,17,17,17,7,0,37,0.0,1013,14,10,18,4
2018-01-02 00:00:00,21,9,0.0,8.7,4,1,100,06:10 PM,07:15 AM,07:22 AM,05:41 PM,4,15,15,15,4,0,49,0.0,1014,10,10,86,3
2018-01-02 06:00:00,21,9,0.0,8.7,4,4,100,06:10 PM,07:15 AM,07:22 AM,05:41 PM,4,16,16,16,2,0,47,0.0,1015,11,10,148,2
2018-01-02 12:00:00,21,9,0.0,8.7,4,6,100,06:10 PM,07:15 AM,07:22 AM,05:41 PM,1,24,23,24,7,0,23,0.0,1014,21,10,331,6
2018-01-02 18:00:00,21,9,0.0,8.7,4,4,100,06:10 PM,07:15 AM,07:22 AM,05:41 PM,2,17,17,17,1,0,35,0.0,1015,14,10,29,1
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:17 PM,08:15 AM,07:22 AM,05:42 PM,3,16,16,16,4,0,42,0.0,1015,11,10,117,3
2018-01-03 06:00:00,22,9,0.0,8.7,4,4,89,07:17 PM,08:15 AM,07:22 AM,05:42 PM,5,16,16,16,3,0,49,0.0,1017,12,10,219,3
