date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,17,0.0,8.7,6,1,97,04:25 PM,05:04 AM,06:17 AM,05:03 PM,13,24,25,24,8,0,52,0.0,1012,19,10,341,7
2018-01-01 06:00:00,27,17,0.0,8.7,6,6,97,04:25 PM,05:04 AM,06:17 AM,05:03 PM,11,22,24,22,12,5,51,0.0,1014,20,10,3,11
2018-01-01 12:00:00,27,17,0.0,8.7,6,7,97,04:25 PM,05:04 AM,06:17 AM,05:03 PM,9,27,27,28,12,4,30,0.0,1011,27,10,328,10
2018-01-01 18:00:00,27,17,0.0,8.7,6,1,97,04:25 PM,05:04 AM,06:17 AM,05:03 PM,10,23,25,23,6,3,43,0.0,1013,21,10,339,4
2018-01-02 00:00:00,26,15,0.0,8.7,6,1,100,05:29 PM,06:09 AM,06:17 AM,05:03 PM,12,22,25,22,10,0,52,0.0,1012,18,10,347,8
2018-01-02 06:00:00,26,15,0.0,8.7,6,5,100,05:29 PM,06:09 AM,06:17 AM,05:03 PM,12,21,24,21,16,0,56,0.0,1014,19,10,336,14
2018-01-02 12:00:00,26,15,0.0,8.7,6,7,100,05:29 PM,06:09 AM,06:17 AM,05:03 PM,9,28,28,29,12,0,30,0.0,1010,26,10,317,11
2018-01-02 18:00:00,26,15,0.0,8.7,6,1,100,05:29 PM,06:09 AM,06:17 AM,05:03 PM,11,23,25,23,8,0,46,0.0,1013,20,10,346,7
2018-01-03 00:00:00,26,14,0.0,8.7,5,1,89,06:34 PM,07:11 AM,06:17 AM,05:04 PM,7,19,19,19,21,0,48,0.0,1013,16,10,347,14
2018-01-03 06:00:00,26,14,0.0,8.7,5,5,89,06:34 PM,07:11 AM,06:17 AM,05:04 PM,6,20,20,20,15,4,42,0.0,1015,18,10,332,13
2018-01-03 12:00:00,26,14,0.0,8.7,5,7,89,06:34 PM,07:11 AM,06:17 AM,05:04 PM,8,27,27,28,11,2,29,0.0,1011,26,10,310,9
2018-01-03 18:00:00,26,14,0.0,8.7,5,1,89,06:34 PM,07:11 AM,06:17 AM,05:04 PM,9,24,25,24,5,0,40,0.0,1014,19,10,235,4
2018-01-04 00:00:00,24,13,0.0,8.7,5,1,81,07:40 PM,08:08 AM,06:18 AM,05:05 PM,6,18,18,18,14,0,44,0.0,1015,15,10,0,12
2018-01-04 06:00:00,24,13,0.0,8.7,5,5,81,07:40 PM,08:08 AM,06:18 AM,05:05 PM,7,20,20,20,13,0,44,0.0,1017,17,10,357,12
2018-01-04 12:00:00,24,13,0.0,8.7,5,6,81,07:40 PM,08:08 AM,06:18 AM,05:05 PM,4,25,25,25,17,0,25,0.0,1013,24,10,340,14
2018-01-04 18:00:00,24,13,0.0,8.7,5,1,81,07:40 PM,08:08 AM,06:18 AM,05:05 PM,6,20,20,20,8,0,39,0.0,1015,16,10,1,7
2018-01-05 00:00:00,25,12,0.0,8.7,5,1,74,08:43 PM,08:59 AM,06:18 AM,05:05 PM,7,18,18,18,11,0,48,0.0,1014,14,10,344,9
2018-01-05 06:00:00,25,12,0.0,8.7,5,5,74,08:43 PM,08:59 AM,06:18 AM,05:05 PM,7,19,19,19,13,0,45,0.0,1016,16,10,347,12
2018-01-05 12:00:00,25,12,0.0,8.7,5,6,74,08:43 PM,08:59 AM,06:18 AM,05:05 PM,3,25,25,27,15,0,22,0.0,1012,25,10,326,13
2018-01-05 18:00:00,25,12,0.0,8.7,5,1,74,08:43 PM,08:59 AM,06:18 AM,05:05 PM,5,22,23,22,4,0,33,0.0,1013,17,10,314,4
2018-01-06 00:00:00,24,13,0.0,8.7,5,1,67,09:43 PM,09:46 AM,06:18 AM,05:06 PM,7,18,18,18,11,0,47,0.0,1013,14,10,2,9
2018-01-06 06:00:00,24,13,0.0,8.7,5,5,67,09:43 PM,09:46 AM,06:18 AM,05:06 PM,7,21,24,21,9,0,40,0.0,1015,17,10,342,8
2018-01-06 12:00:00,24,13,0.0,8.7,5,6,67,09:43 PM,09:46 AM,06:18 AM,05:06 PM,4,25,25,27,14,0,24,0.0,1011,24,10,321,12
2018-01-06 18:00:00,24,13,0.0,8.7,5,1,67,09:43 PM,09:46 AM,06:18 AM,05:06 PM,4,21,21,21,7,0,34,0.0,1013,17,10,6,6
2018-01-07 00:00:00,23,12,0.0,8.7,5,1,59,10:40 PM,10:27 AM,06:18 AM,05:07 PM,8,18,18,18,10,0,52,0.0,1013,13,10,10,9
2018-01-07 06:00:00,23,12,0.0,8.7,5,5,59,10:40 PM,10:27 AM,06:18 AM,05:07 PM,7,20,20,20,11,0,43,0.0,1016,16,10,337,10
2018-01-07 12:00:00,23,12,0.0,8.7,5,6,59,10:40 PM,10:27 AM,06:18 AM,05:07 PM,2,24,24,26,15,0,22,0.0,1013,23,10,331,13
2018-01-07 18:00:00,23,12,0.0,8.7,5,1,59,10:40 PM,10:27 AM,06:18 AM,05:07 PM,4,21,21,21,3,0,33,0.0,1015,17,10,29,3
2018-01-08 00:00:00,23,12,0.0,8.7,5,1,52,11:35 PM,11:07 AM,06:19 AM,05:07 PM,5,17,17,17,16,0,45,0.0,1015,13,10,8,12
2018-01-08 06:00:00,23,12,0.0,8.7,5,5,52,11:35 PM,11:07 AM,06:19 AM,05:07 PM,8,20,20,20,10,0,45,0.0,1018,16,10,7,9
