date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,13,0.0,8.7,5,1,97,05:10 PM,05:49 AM,07:00 AM,05:46 PM,5,15,15,15,12,3,54,0.0,1013,15,10,72,6
2018-01-01 06:00:00,26,13,0.0,8.7,5,5,97,05:10 PM,05:49 AM,07:00 AM,05:46 PM,6,16,16,16,17,3,52,0.0,1014,16,10,71,9
2018-01-01 12:00:00,26,13,0.0,8.7,5,7,97,05:10 PM,05:49 AM,07:00 AM,05:46 PM,8,26,26,26,4,5,31,0.0,1010,26,10,58,3
2018-01-01 18:00:00,26,13,0.0,8.7,5,5,97,05:10 PM,05:49 AM,07:00 AM,05:46 PM,7,18,18,18,17,5,49,0.0,1012,18,10,57,8
2018-01-02 00:00:00,24,12,0.0,8.7,5,1,100,06:14 PM,06:54 AM,07:00 AM,05:47 PM,5,13,14,13,17,4,56,0.0,1012,14,10,57,8
2018-01-02 06:00:00,24,12,0.0,8.7,5,4,100,06:14 PM,06:54 AM,07:00 AM,05:47 PM,5,14,15,14,14,2,52,0.0,1014,15,10,55,8
2018-01-02 12:00:00,24,12,0.0,8.7,5,6,100,06:14 PM,06:54 AM,07:00 AM,05:47 PM,6,24,24,24,9,4,31,0.0,1011,24,10,331,8
2018-01-02 18:00:00,24,12,0.0,8.7,5,5,100,06:14 PM,06:54 AM,07:00 AM,05:47 PM,4,17,17,17,15,0,44,0.0,1013,17,10,28,7
2018-01-03 00:00:00,24,11,0.0,8.7,5,1,89,07:20 PM,07:56 AM,07:00 AM,05:47 PM,2,12,13,12,15,0,47,0.0,1014,13,10,42,7
2018-01-03 06:00:00,24,11,0.0,8.7,5,4,89,07:20 PM,07:56 AM,07:00 AM,05:47 PM,3,13,13,13,13,0,48,0.0,1016,13,10,48,7
2018-01-03 12:00:00,24,11,0.0,8.7,5,6,89,07:20 PM,07:56 AM,07:00 AM,05:47 PM,1,23,23,24,7,0,23,0.0,1013,24,10,6,6
2018-01-03 18:00:00,24,11,0.0,8.7,5,5,89,07:20 PM,07:56 AM,07:00 AM,05:47 PM,1,16,16,16,8,0,35,0.0,1014,15,10,54,4
2018-01-04 00:00:00,25,11,0.0,8.7,5,1,81,08:25 PM,08:52 AM,07:00 AM,05:48 PM,-1,13,13,13,11,0,39,0.0,1015,12,10,69,5
2018-01-04 06:00:00,25,11,0.0,8.7,5,4,81,08:25 PM,08:52 AM,07:00 AM,05:48 PM,0,14,14,14,11,0,40,0.0,1016,14,10,80,6
2018-01-04 12:00:00,25,11,0.0,8.7,5,6,81,08:25 PM,08:52 AM,07:00 AM,05:48 PM,4,25,25,26,4,0,25,0.0,1013,25,10,359,4
2018-01-04 18:00:00,25,11,0.0,8.7,5,5,81,08:25 PM,08:52 AM,07:00 AM,05:48 PM,3,16,16,16,16,2,41,0.0,1014,16,10,106,8
2018-01-05 00:00:00,26,12,0.0,8.7,5,1,74,09:28 PM,09:43 AM,07:01 AM,05:49 PM,1,13,14,13,13,0,43,0.0,1014,14,10,82,6
2018-01-05 06:00:00,26,12,0.0,8.7,5,5,74,09:28 PM,09:43 AM,07:01 AM,05:49 PM,3,15,15,15,9,2,44,0.0,1015,15,10,77,5
2018-01-05 12:00:00,26,12,0.0,8.7,5,7,74,09:28 PM,09:43 AM,07:01 AM,05:49 PM,6,25,25,26,8,3,29,0.0,1012,26,10,273,7
2018-01-05 18:00:00,26,12,0.0,8.7,5,5,74,09:28 PM,09:43 AM,07:01 AM,05:49 PM,6,17,17,17,11,3,47,0.0,1013,17,10,87,5
2018-01-06 00:00:00,25,12,0.0,8.7,5,1,67,10:28 PM,10:29 AM,07:01 AM,05:49 PM,6,13,13,13,14,2,59,0.0,1013,13,10,82,6
2018-01-06 06:00:00,25,12,0.0,8.7,5,4,67,10:28 PM,10:29 AM,07:01 AM,05:49 PM,6,15,15,15,10,0,54,0.0,1014,15,10,77,6
2018-01-06 12:00:00,25,12,0.0,8.7,5,7,67,10:28 PM,10:29 AM,07:01 AM,05:49 PM,6,25,25,25,13,4,28,0.0,1011,25,10,260,12
2018-01-06 18:00:00,25,12,0.0,8.7,5,5,67,10:28 PM,10:29 AM,07:01 AM,05:49 PM,7,18,18,18,7,3,48,0.0,1013,17,10,241,3
2018-01-07 00:00:00,25,13,0.0,8.7,5,1,59,11:25 PM,11:12 AM,07:01 AM,05:50 PM,6,15,15,15,6,3,56,0.0,1013,14,10,86,3
