date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,8,0.0,8.7,4,1,97,05:00 PM,06:13 AM,07:26 AM,05:34 PM,-3,12,12,12,10,2,34,0.0,1017,9,10,69,5
2018-01-01 06:00:00,20,8,0.0,8.7,4,3,97,05:00 PM,06:13 AM,07:26 AM,05:34 PM,-2,13,13,13,8,0,34,0.0,1017,10,10,79,5
2018-01-01 12:00:00,20,8,0.0,8.7,4,5,97,05:00 PM,06:13 AM,07:26 AM,05:34 PM,2,22,23,22,9,0,27,0.0,1014,20,10,234,8
2018-01-01 18:00:00,20,8,0.0,8.7,4,4,97,05:00 PM,06:13 AM,07:26 AM,05:34 PM,4,15,15,15,8,0,50,0.0,1016,12,10,30,4
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:04 PM,07:19 AM,07:26 AM,05:35 PM,2,12,13,12,9,0,48,0.0,1017,9,10,74,5
2018-01-02 06:00:00,20,8,0.0,8.7,4,3,100,06:04 PM,07:19 AM,07:26 AM,05:35 PM,-2,13,13,13,6,0,36,0.0,1018,9,10,59,5
2018-01-02 12:00:00,20,8,0.0,8.7,4,5,100,06:04 PM,07:19 AM,07:26 AM,05:35 PM,1,21,23,21,11,0,26,0.0,1015,20,10,257,9
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:19 AM,07:26 AM,05:35 PM,2,12,12,12,11,11,51,0.0,1018,11,10,27,5
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:12 PM,08:19 AM,07:26 AM,05:36 PM,2,12,12,12,11,1,49,0.0,1017,9,10,59,6
2018-01-03 06:00:00,20,8,0.0,8.7,4,3,89,07:12 PM,08:19 AM,07:26 AM,05:36 PM,2,14,14,14,4,0,43,0.0,1017,10,10,27,4
2018-01-03 12:00:00,20,8,0.0,8.7,4,5,89,07:12 PM,08:19 AM,07:26 AM,05:36 PM,2,21,21,21,12,3,29,0.0,1015,20,10,290,10
2018-01-03 18:00:00,20,8,0.0,8.7,4,4,89,07:12 PM,08:19 AM,07:26 AM,05:36 PM,3,12,13,12,17,0,49,0.0,1018,11,10,10,8
2018-01-04 00:00:00,19,8,0.0,8.7,4,1,81,08:19 PM,09:14 AM,07:27 AM,05:36 PM,1,12,12,12,10,0,45,0.0,1018,9,10,38,6
2018-01-04 06:00:00,19,8,0.0,8.7,4,3,81,08:19 PM,09:14 AM,07:27 AM,05:36 PM,-1,13,13,13,6,0,39,0.0,1018,9,10,54,5
2018-01-04 12:00:00,19,8,0.0,8.7,4,5,81,08:19 PM,09:14 AM,07:27 AM,05:36 PM,0,20,20,20,8,3,27,0.0,1015,19,10,242,7
2018-01-04 18:00:00,19,8,0.0,8.7,4,3,81,08:19 PM,09:14 AM,07:27 AM,05:36 PM,1,13,13,13,12,96,43,0.0,1018,13,10,344,6
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:26 PM,10:02 AM,07:27 AM,05:37 PM,-4,11,11,11,5,9,36,0.0,1018,9,10,92,2
2018-01-05 06:00:00,20,8,0.0,8.7,4,3,74,09:26 PM,10:02 AM,07:27 AM,05:37 PM,-1,12,12,12,6,4,41,0.0,1019,10,10,75,4
