date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,17,0.0,8.7,6,1,97,04:26 PM,05:04 AM,06:17 AM,05:04 PM,13,25,25,25,7,0,48,0.0,1012,19,10,347,6
2018-01-01 06:00:00,27,17,0.0,8.7,6,6,97,04:26 PM,05:04 AM,06:17 AM,05:04 PM,11,22,24,22,12,7,50,0.0,1014,21,10,14,11
2018-01-01 12:00:00,27,17,0.0,8.7,6,7,97,04:26 PM,05:04 AM,06:17 AM,05:04 PM,8,27,27,28,13,5,29,0.0,1011,27,10,338,11
2018-01-01 18:00:00,27,17,0.0,8.7,6,1,97,04:26 PM,05:04 AM,06:17 AM,05:04 PM,9,23,24,23,9,7,42,0.0,1013,22,10,348,6
2018-01-02 00:00:00,26,16,0.0,8.7,6,1,100,05:30 PM,06:09 AM,06:17 AM,05:04 PM,12,24,25,24,7,0,48,0.0,1012,19,10,349,6
2018-01-02 06:00:00,26,16,0.0,8.7,6,5,100,05:30 PM,06:09 AM,06:17 AM,05:04 PM,12,22,24,22,15,0,54,0.0,1014,19,10,340,13
2018-01-02 12:00:00,26,16,0.0,8.7,6,7,100,05:30 PM,06:09 AM,06:17 AM,05:04 PM,8,27,27,29,14,0,28,0.0,1011,26,10,325,12
2018-01-02 18:00:00,26,16,0.0,8.7,6,1,100,05:30 PM,06:09 AM,06:17 AM,05:04 PM,11,24,25,24,7,0,43,0.0,1013,21,10,346,6
2018-01-03 00:00:00,26,15,0.0,8.7,6,1,89,06:35 PM,07:11 AM,06:17 AM,05:05 PM,8,19,19,19,20,0,47,0.0,1013,17,10,351,14
2018-01-03 06:00:00,26,15,0.0,8.7,6,5,89,06:35 PM,07:11 AM,06:17 AM,05:05 PM,7,21,21,21,15,2,39,0.0,1015,19,10,340,13
2018-01-03 12:00:00,26,15,0.0,8.7,6,7,89,06:35 PM,07:11 AM,06:17 AM,05:05 PM,9,28,28,29,12,0,28,0.0,1011,26,10,322,10
2018-01-03 18:00:00,26,15,0.0,8.7,6,1,89,06:35 PM,07:11 AM,06:17 AM,05:05 PM,9,24,25,24,4,0,39,0.0,1014,20,10,273,4
2018-01-04 00:00:00,24,14,0.0,8.7,5,1,81,07:41 PM,08:08 AM,06:18 AM,05:06 PM,5,18,18,18,15,0,43,0.0,1015,16,10,4,13
2018-01-04 06:00:00,24,14,0.0,8.7,5,5,81,07:41 PM,08:08 AM,06:18 AM,05:06 PM,6,20,20,20,14,0,40,0.0,1017,17,10,2,12
2018-01-04 12:00:00,24,14,0.0,8.7,5,6,81,07:41 PM,08:08 AM,06:18 AM,05:06 PM,3,24,24,25,17,0,23,0.0,1013,24,10,340,15
2018-01-04 18:00:00,24,14,0.0,8.7,5,1,81,07:41 PM,08:08 AM,06:18 AM,05:06 PM,5,20,20,20,9,0,37,0.0,1015,17,10,359,8
2018-01-05 00:00:00,25,13,0.0,8.7,5,1,74,08:44 PM,08:59 AM,06:18 AM,05:06 PM,6,19,19,19,12,0,44,0.0,1014,15,10,352,10
2018-01-05 06:00:00,25,13,0.0,8.7,5,5,74,08:44 PM,08:59 AM,06:18 AM,05:06 PM,7,20,20,20,12,0,43,0.0,1016,17,10,348,10
2018-01-05 12:00:00,25,13,0.0,8.7,5,6,74,08:44 PM,08:59 AM,06:18 AM,05:06 PM,3,25,25,27,15,0,22,0.0,1012,25,10,332,13
2018-01-05 18:00:00,25,13,0.0,8.7,5,1,74,08:44 PM,08:59 AM,06:18 AM,05:06 PM,5,22,24,22,4,0,32,0.0,1013,18,10,315,3
2018-01-06 00:00:00,25,13,0.0,8.7,5,1,67,09:44 PM,09:46 AM,06:18 AM,05:07 PM,5,19,19,19,10,0,41,0.0,1013,15,10,360,9
2018-01-06 06:00:00,25,13,0.0,8.7,5,5,67,09:44 PM,09:46 AM,06:18 AM,05:07 PM,6,21,24,21,10,0,37,0.0,1014,17,10,349,8
2018-01-06 12:00:00,25,13,0.0,8.7,5,6,67,09:44 PM,09:46 AM,06:18 AM,05:07 PM,4,25,25,27,14,0,23,0.0,1011,25,10,330,12
2018-01-06 18:00:00,25,13,0.0,8.7,5,1,67,09:44 PM,09:46 AM,06:18 AM,05:07 PM,4,22,23,22,6,0,32,0.0,1013,18,10,19,5
2018-01-07 00:00:00,24,13,0.0,8.7,5,1,59,10:40 PM,10:28 AM,06:18 AM,05:08 PM,6,18,18,18,11,0,46,0.0,1013,14,10,9,10
2018-01-07 06:00:00,24,13,0.0,8.7,5,5,59,10:40 PM,10:28 AM,06:18 AM,05:08 PM,6,20,20,20,11,0,41,0.0,1016,17,10,350,10
2018-01-07 12:00:00,24,13,0.0,8.7,5,6,59,10:40 PM,10:28 AM,06:18 AM,05:08 PM,2,24,24,26,15,0,21,0.0,1013,24,10,335,13
