date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,19,0.0,11.6,6,1,97,05:35 PM,05:31 AM,06:39 AM,06:12 PM,17,20,20,20,1,13,81,0.0,1010,19,10,129,1
2018-01-01 06:00:00,29,19,0.0,11.6,6,1,97,05:35 PM,05:31 AM,06:39 AM,06:12 PM,19,26,26,24,0,4,73,0.0,1011,23,10,343,0
2018-01-01 12:00:00,29,19,0.0,11.6,6,7,97,05:35 PM,05:31 AM,06:39 AM,06:12 PM,16,29,29,29,4,19,44,0.0,1008,29,10,140,3
2018-01-01 18:00:00,29,19,0.0,11.6,6,6,97,05:35 PM,05:31 AM,06:39 AM,06:12 PM,18,22,25,22,1,39,78,0.1,1009,22,10,349,1
2018-01-02 00:00:00,28,19,0.0,11.6,6,1,100,06:38 PM,06:35 AM,06:39 AM,06:13 PM,19,20,20,20,3,11,89,0.0,1009,19,10,34,1
2018-01-02 06:00:00,28,19,0.0,11.6,6,1,100,06:38 PM,06:35 AM,06:39 AM,06:13 PM,19,26,26,24,3,10,73,0.1,1011,23,10,85,3
2018-01-02 12:00:00,28,19,0.0,11.6,6,6,100,06:38 PM,06:35 AM,06:39 AM,06:13 PM,17,30,30,29,2,30,50,0.2,1008,28,9,156,2
2018-01-02 18:00:00,28,19,0.0,11.6,6,5,100,06:38 PM,06:35 AM,06:39 AM,06:13 PM,19,22,25,22,6,36,81,0.5,1009,22,9,117,3
2018-01-03 00:00:00,28,20,0.0,11.6,5,1,89,07:42 PM,07:38 AM,06:39 AM,06:13 PM,19,21,21,21,4,34,90,0.2,1010,20,9,91,3
2018-01-03 06:00:00,28,20,0.0,11.6,5,1,89,07:42 PM,07:38 AM,06:39 AM,06:13 PM,19,26,26,24,3,20,76,0.1,1012,23,10,59,3
2018-01-03 12:00:00,28,20,0.0,11.6,5,7,89,07:42 PM,07:38 AM,06:39 AM,06:13 PM,17,30,30,29,3,24,48,0.0,1009,28,10,112,3
2018-01-03 18:00:00,28,20,0.0,11.6,5,6,89,07:42 PM,07:38 AM,06:39 AM,06:13 PM,18,25,25,22,1,47,77,0.0,1011,22,10,355,1
2018-01-04 00:00:00,28,19,0.0,11.6,6,1,81,08:44 PM,08:37 AM,06:40 AM,06:14 PM,18,20,20,20,7,37,86,0.0,1012,20,10,77,4
2018-01-04 06:00:00,28,19,0.0,11.6,6,1,81,08:44 PM,08:37 AM,06:40 AM,06:14 PM,18,25,25,23,6,9,72,0.0,1013,22,10,43,5
2018-01-04 12:00:00,28,19,0.0,11.6,6,7,81,08:44 PM,08:37 AM,06:40 AM,06:14 PM,16,29,29,29,5,23,47,0.0,1010,28,10,76,5
2018-01-04 18:00:00,28,19,0.0,11.6,6,6,81,08:44 PM,08:37 AM,06:40 AM,06:14 PM,17,22,25,22,5,36,72,0.0,1011,22,10,25,3
2018-01-05 00:00:00,26,18,0.0,11.6,6,1,74,09:43 PM,09:33 AM,06:40 AM,06:14 PM,16,20,20,20,5,12,79,0.0,1011,19,10,66,3
2018-01-05 06:00:00,26,18,0.0,11.6,6,1,74,09:43 PM,09:33 AM,06:40 AM,06:14 PM,16,22,24,22,6,23,72,0.0,1013,21,10,74,5
2018-01-05 12:00:00,26,18,0.0,11.6,6,7,74,09:43 PM,09:33 AM,06:40 AM,06:14 PM,17,28,28,27,7,14,54,0.0,1009,26,10,68,6
2018-01-05 18:00:00,26,18,0.0,11.6,6,6,74,09:43 PM,09:33 AM,06:40 AM,06:14 PM,16,21,24,21,5,21,73,0.1,1010,21,10,9,3
2018-01-06 00:00:00,26,17,0.0,10.2,6,1,67,10:38 PM,10:23 AM,06:40 AM,06:15 PM,15,19,19,19,4,14,78,0.0,1010,18,10,72,2
2018-01-06 06:00:00,26,17,0.0,10.2,6,1,67,10:38 PM,10:23 AM,06:40 AM,06:15 PM,16,21,21,21,5,18,71,0.0,1012,20,10,67,4
