date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,12,0.0,10.8,5,1,97,03:58 PM,04:44 AM,05:59 AM,04:36 PM,11,14,13,14,7,11,87,0.0,1014,12,10,51,3
2018-01-01 06:00:00,22,12,0.0,10.8,5,5,97,03:58 PM,04:44 AM,05:59 AM,04:36 PM,13,19,19,19,3,8,67,0.0,1015,18,10,91,3
2018-01-01 12:00:00,22,12,0.0,10.8,5,6,97,03:58 PM,04:44 AM,05:59 AM,04:36 PM,13,21,24,21,9,11,58,0.1,1011,21,10,147,8
2018-01-01 18:00:00,22,12,0.0,10.8,5,1,97,03:58 PM,04:44 AM,05:59 AM,04:36 PM,13,14,14,14,7,37,94,0.0,1014,13,2,90,4
2018-01-02 00:00:00,18,13,0.0,8.5,3,1,100,05:02 PM,05:50 AM,05:59 AM,04:37 PM,13,15,14,15,6,46,92,0.0,1012,13,9,78,3
2018-01-02 06:00:00,18,13,0.0,8.5,3,4,100,05:02 PM,05:50 AM,05:59 AM,04:37 PM,14,17,17,17,5,84,86,0.8,1014,16,10,117,4
2018-01-02 12:00:00,18,13,0.0,8.5,3,4,100,05:02 PM,05:50 AM,05:59 AM,04:37 PM,15,17,17,17,11,38,86,2.9,1010,17,7,140,7
2018-01-02 18:00:00,18,13,0.0,8.5,3,1,100,05:02 PM,05:50 AM,05:59 AM,04:37 PM,13,14,13,14,6,76,97,0.8,1013,13,10,123,3
2018-01-03 00:00:00,20,9,0.0,10.8,3,1,89,06:08 PM,06:51 AM,05:59 AM,04:38 PM,12,13,13,13,1,75,98,1.2,1012,12,10,142,1
2018-01-03 06:00:00,20,9,0.0,10.8,3,4,89,06:08 PM,06:51 AM,05:59 AM,04:38 PM,14,16,16,16,3,52,87,0.3,1013,16,10,162,2
2018-01-03 12:00:00,20,9,0.0,10.8,3,4,89,06:08 PM,06:51 AM,05:59 AM,04:38 PM,12,20,20,20,9,19,61,0.3,1009,19,9,231,7
2018-01-03 18:00:00,20,9,0.0,10.8,3,1,89,06:08 PM,06:51 AM,05:59 AM,04:38 PM,11,12,12,12,6,11,94,0.0,1013,11,10,309,3
2018-01-04 00:00:00,19,8,0.0,10.4,4,1,81,07:14 PM,07:48 AM,06:00 AM,04:38 PM,9,10,10,10,7,12,93,0.0,1016,9,10,10,3
2018-01-04 06:00:00,19,8,0.0,10.4,4,5,81,07:14 PM,07:48 AM,06:00 AM,04:38 PM,11,16,16,16,5,7,71,0.0,1018,15,10,107,4
2018-01-04 12:00:00,19,8,0.0,10.4,4,5,81,07:14 PM,07:48 AM,06:00 AM,04:38 PM,9,20,20,20,7,11,51,0.0,1012,19,10,151,6
2018-01-04 18:00:00,19,8,0.0,10.4,4,1,81,07:14 PM,07:48 AM,06:00 AM,04:38 PM,10,11,11,11,7,7,93,0.0,1015,10,10,72,3
2018-01-05 00:00:00,21,7,0.0,10.4,4,1,74,08:18 PM,08:38 AM,06:00 AM,04:39 PM,8,9,9,9,7,13,94,0.0,1015,8,10,52,3
2018-01-05 06:00:00,21,7,0.0,10.4,4,5,74,08:18 PM,08:38 AM,06:00 AM,04:39 PM,10,17,17,17,6,2,65,0.0,1015,15,10,114,5
2018-01-05 12:00:00,21,7,0.0,10.4,4,6,74,08:18 PM,08:38 AM,06:00 AM,04:39 PM,9,21,24,21,5,8,46,0.0,1010,20,10,172,5
2018-01-05 18:00:00,21,7,0.0,10.4,4,1,74,08:18 PM,08:38 AM,06:00 AM,04:39 PM,9,11,11,11,4,10,90,0.0,1012,10,10,80,2
2018-01-06 00:00:00,20,7,0.0,10.4,4,1,67,09:19 PM,09:24 AM,06:00 AM,04:40 PM,9,10,10,10,4,4,91,0.0,1012,8,10,330,2
2018-01-06 06:00:00,20,7,0.0,10.4,4,5,67,09:19 PM,09:24 AM,06:00 AM,04:40 PM,11,19,19,19,2,0,61,0.0,1013,16,10,300,2
2018-01-06 12:00:00,20,7,0.0,10.4,4,5,67,09:19 PM,09:24 AM,06:00 AM,04:40 PM,7,21,21,21,8,2,41,0.0,1009,19,10,253,7
2018-01-06 18:00:00,20,7,0.0,10.4,4,1,67,09:19 PM,09:24 AM,06:00 AM,04:40 PM,6,10,10,10,7,7,80,0.0,1012,9,10,326,3
2018-01-07 00:00:00,19,6,0.0,10.4,4,1,59,10:17 PM,10:05 AM,06:00 AM,04:40 PM,7,10,10,10,5,0,77,0.0,1013,7,10,341,3
2018-01-07 06:00:00,19,6,0.0,10.4,4,4,59,10:17 PM,10:05 AM,06:00 AM,04:40 PM,8,18,18,18,4,0,52,0.0,1014,14,10,291,3
2018-01-07 12:00:00,19,6,0.0,10.4,4,5,59,10:17 PM,10:05 AM,06:00 AM,04:40 PM,4,20,20,20,10,0,35,0.0,1010,19,10,272,9
2018-01-07 18:00:00,19,6,0.0,10.4,4,1,59,10:17 PM,10:05 AM,06:00 AM,04:40 PM,3,10,10,10,5,0,62,0.0,1014,7,10,334,3
2018-01-08 00:00:00,19,4,0.0,10.4,4,1,52,11:12 PM,10:44 AM,06:00 AM,04:41 PM,1,9,9,9,7,0,56,0.0,1016,5,10,348,4
