date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,12,0.0,8.7,5,1,97,05:00 PM,05:40 AM,06:51 AM,05:36 PM,6,17,17,17,8,0,49,0.0,1014,13,10,48,5
2018-01-01 06:00:00,24,12,0.0,8.7,5,5,97,05:00 PM,05:40 AM,06:51 AM,05:36 PM,6,17,17,17,8,5,47,0.0,1014,16,10,73,6
2018-01-01 12:00:00,24,12,0.0,8.7,5,6,97,05:00 PM,05:40 AM,06:51 AM,05:36 PM,6,25,25,25,9,6,30,0.0,1011,24,10,32,8
2018-01-01 18:00:00,24,12,0.0,8.7,5,5,97,05:00 PM,05:40 AM,06:51 AM,05:36 PM,4,17,17,17,24,5,45,0.0,1013,16,10,59,12
2018-01-02 00:00:00,24,11,0.0,8.7,5,1,100,06:04 PM,06:45 AM,06:52 AM,05:37 PM,3,14,14,14,13,5,49,0.0,1013,13,10,60,6
2018-01-02 06:00:00,24,11,0.0,8.7,5,4,100,06:04 PM,06:45 AM,06:52 AM,05:37 PM,4,16,16,16,12,4,44,0.0,1015,15,10,61,9
2018-01-02 12:00:00,24,11,0.0,8.7,5,6,100,06:04 PM,06:45 AM,06:52 AM,05:37 PM,5,24,24,25,10,4,28,0.0,1011,24,10,302,9
2018-01-02 18:00:00,24,11,0.0,8.7,5,5,100,06:04 PM,06:45 AM,06:52 AM,05:37 PM,4,17,17,17,14,2,42,0.0,1014,16,10,21,6
2018-01-03 00:00:00,23,11,0.0,8.7,5,1,89,07:10 PM,07:47 AM,06:52 AM,05:38 PM,5,15,15,15,11,0,50,0.0,1014,12,10,70,7
2018-01-03 06:00:00,23,11,0.0,8.7,5,4,89,07:10 PM,07:47 AM,06:52 AM,05:38 PM,7,17,17,17,6,0,50,0.0,1016,14,10,25,5
2018-01-03 12:00:00,23,11,0.0,8.7,5,6,89,07:10 PM,07:47 AM,06:52 AM,05:38 PM,3,24,24,25,11,0,25,0.0,1013,23,10,319,9
2018-01-03 18:00:00,23,11,0.0,8.7,5,4,89,07:10 PM,07:47 AM,06:52 AM,05:38 PM,4,18,18,18,3,0,39,0.0,1015,15,10,17,2
2018-01-04 00:00:00,23,10,0.0,8.7,5,1,81,08:15 PM,08:43 AM,06:52 AM,05:38 PM,3,15,15,15,6,0,44,0.0,1015,11,10,10,4
2018-01-04 06:00:00,23,10,0.0,8.7,5,4,81,08:15 PM,08:43 AM,06:52 AM,05:38 PM,4,17,17,17,4,0,42,0.0,1017,13,10,100,3
2018-01-04 12:00:00,23,10,0.0,8.7,5,6,81,08:15 PM,08:43 AM,06:52 AM,05:38 PM,2,24,24,26,7,0,22,0.0,1014,23,10,8,6
2018-01-04 18:00:00,23,10,0.0,8.7,5,4,81,08:15 PM,08:43 AM,06:52 AM,05:38 PM,1,17,17,17,4,0,34,0.0,1015,14,10,45,2
2018-01-05 00:00:00,24,10,0.0,8.7,5,1,74,09:18 PM,09:35 AM,06:52 AM,05:39 PM,3,16,16,16,5,0,43,0.0,1015,12,10,95,3
2018-01-05 06:00:00,24,10,0.0,8.7,5,4,74,09:18 PM,09:35 AM,06:52 AM,05:39 PM,4,17,17,17,6,0,43,0.0,1016,14,10,82,5
2018-01-05 12:00:00,24,10,0.0,8.7,5,6,74,09:18 PM,09:35 AM,06:52 AM,05:39 PM,5,25,25,26,8,0,25,0.0,1013,24,10,347,7
2018-01-05 18:00:00,24,10,0.0,8.7,5,4,74,09:18 PM,09:35 AM,06:52 AM,05:39 PM,4,17,17,17,10,0,40,0.0,1014,15,10,38,5
2018-01-06 00:00:00,24,10,0.0,8.7,5,1,67,10:18 PM,10:20 AM,06:53 AM,05:40 PM,2,16,16,16,5,0,39,0.0,1014,12,10,73,4
2018-01-06 06:00:00,24,10,0.0,8.7,5,4,67,10:18 PM,10:20 AM,06:53 AM,05:40 PM,2,18,18,18,5,0,35,0.0,1015,14,10,78,5
2018-01-06 12:00:00,24,10,0.0,8.7,5,6,67,10:18 PM,10:20 AM,06:53 AM,05:40 PM,5,24,24,25,9,4,27,0.0,1012,24,10,280,8
2018-01-06 18:00:00,24,10,0.0,8.7,5,5,67,10:18 PM,10:20 AM,06:53 AM,05:40 PM,4,17,17,17,14,3,42,0.0,1014,16,10,66,7
