date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,17,0.0,8.7,6,1,97,05:12 PM,05:37 AM,06:47 AM,05:49 PM,8,20,20,20,6,4,47,0.0,1012,18,10,8,3
2018-01-01 06:00:00,30,17,0.0,8.7,6,6,97,05:12 PM,05:37 AM,06:47 AM,05:49 PM,10,23,25,23,3,2,43,0.0,1013,21,10,124,3
2018-01-01 12:00:00,30,17,0.0,8.7,6,7,97,05:12 PM,05:37 AM,06:47 AM,05:49 PM,8,29,29,31,9,4,24,0.0,1009,30,10,333,8
2018-01-01 18:00:00,30,17,0.0,8.7,6,6,97,05:12 PM,05:37 AM,06:47 AM,05:49 PM,7,22,24,22,20,3,37,0.0,1010,21,10,33,10
2018-01-02 00:00:00,30,17,0.0,8.7,6,1,100,06:15 PM,06:42 AM,06:47 AM,05:49 PM,8,20,20,20,7,4,45,0.0,1011,18,10,67,4
2018-01-02 06:00:00,30,17,0.0,8.7,6,6,100,06:15 PM,06:42 AM,06:47 AM,05:49 PM,8,22,24,22,3,4,40,0.0,1013,20,10,96,3
2018-01-02 12:00:00,30,17,0.0,8.7,6,7,100,06:15 PM,06:42 AM,06:47 AM,05:49 PM,8,30,30,31,4,4,23,0.0,1009,30,10,358,3
2018-01-02 18:00:00,30,17,0.0,8.7,6,6,100,06:15 PM,06:42 AM,06:47 AM,05:49 PM,7,22,24,22,19,3,38,0.0,1011,22,10,32,9
2018-01-03 00:00:00,29,17,0.0,8.7,6,1,89,07:21 PM,07:44 AM,06:48 AM,05:50 PM,9,20,20,20,7,3,48,0.0,1012,18,10,71,4
2018-01-03 06:00:00,29,17,0.0,8.7,6,6,89,07:21 PM,07:44 AM,06:48 AM,05:50 PM,10,23,24,23,4,2,44,0.0,1014,20,10,88,3
2018-01-03 12:00:00,29,17,0.0,8.7,6,7,89,07:21 PM,07:44 AM,06:48 AM,05:50 PM,8,29,29,31,5,5,24,0.0,1011,29,10,347,4
2018-01-03 18:00:00,29,17,0.0,8.7,6,6,89,07:21 PM,07:44 AM,06:48 AM,05:50 PM,7,22,24,22,17,3,37,0.0,1013,21,10,42,8
2018-01-04 00:00:00,28,17,0.0,8.7,6,1,81,08:25 PM,08:41 AM,06:48 AM,05:51 PM,10,21,24,21,6,0,50,0.0,1013,18,10,76,4
2018-01-04 06:00:00,28,17,0.0,8.7,6,6,81,08:25 PM,08:41 AM,06:48 AM,05:51 PM,9,22,24,22,5,3,43,0.0,1016,20,10,72,4
2018-01-04 12:00:00,28,17,0.0,8.7,6,7,81,08:25 PM,08:41 AM,06:48 AM,05:51 PM,7,28,28,29,8,4,24,0.0,1012,28,10,10,7
2018-01-04 18:00:00,28,17,0.0,8.7,6,6,81,08:25 PM,08:41 AM,06:48 AM,05:51 PM,6,21,24,21,18,3,37,0.0,1014,21,10,48,9
2018-01-05 00:00:00,29,16,0.0,8.7,6,1,74,09:27 PM,09:34 AM,06:48 AM,05:51 PM,6,20,20,20,8,3,41,0.0,1013,18,10,138,4
2018-01-05 06:00:00,29,16,0.0,8.7,6,5,74,09:27 PM,09:34 AM,06:48 AM,05:51 PM,8,23,24,23,6,0,38,0.0,1014,20,10,119,5
2018-01-05 12:00:00,29,16,0.0,8.7,6,7,74,09:27 PM,09:34 AM,06:48 AM,05:51 PM,7,29,29,31,7,3,22,0.0,1011,29,10,27,6
2018-01-05 18:00:00,29,16,0.0,8.7,6,6,74,09:27 PM,09:34 AM,06:48 AM,05:51 PM,7,22,24,22,17,3,37,0.0,1012,21,10,61,8
2018-01-06 00:00:00,29,16,0.0,8.7,6,1,67,10:25 PM,10:21 AM,06:48 AM,05:52 PM,7,20,20,20,7,4,45,0.0,1012,18,10,85,4
2018-01-06 06:00:00,29,16,0.0,8.7,6,6,67,10:25 PM,10:21 AM,06:48 AM,05:52 PM,8,22,24,22,4,5,42,0.0,1014,20,10,84,4
