date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,13,0.0,10.7,5,1,97,05:31 PM,06:25 AM,07:36 AM,06:04 PM,-15,16,16,16,18,0,11,0.0,1014,16,10,42,9
2018-01-01 06:00:00,23,13,0.0,10.7,5,1,97,05:31 PM,06:25 AM,07:36 AM,06:04 PM,-13,15,15,15,12,0,13,0.0,1015,15,10,41,6
2018-01-01 12:00:00,23,13,0.0,10.7,5,6,97,05:31 PM,06:25 AM,07:36 AM,06:04 PM,-13,23,23,23,11,0,8,0.0,1014,23,10,42,10
2018-01-01 18:00:00,23,13,0.0,10.7,5,5,97,05:31 PM,06:25 AM,07:36 AM,06:04 PM,-12,19,19,19,19,0,11,0.0,1013,19,10,36,9
2018-01-02 00:00:00,24,15,0.0,10.7,5,1,100,06:34 PM,07:30 AM,07:36 AM,06:05 PM,-13,16,16,16,19,0,13,0.0,1014,16,10,92,9
2018-01-02 06:00:00,24,15,0.0,10.7,5,1,100,06:34 PM,07:30 AM,07:36 AM,06:05 PM,-12,16,16,16,23,0,14,0.0,1015,16,10,125,11
2018-01-02 12:00:00,24,15,0.0,10.7,5,6,100,06:34 PM,07:30 AM,07:36 AM,06:05 PM,-13,23,23,24,6,0,7,0.0,1014,24,10,102,5
2018-01-02 18:00:00,24,15,0.0,10.7,5,5,100,06:34 PM,07:30 AM,07:36 AM,06:05 PM,-13,19,19,19,15,0,10,0.0,1014,19,10,96,7
2018-01-03 00:00:00,24,15,0.0,10.7,5,1,89,07:41 PM,08:31 AM,07:36 AM,06:06 PM,-12,16,16,16,22,0,13,0.0,1013,16,10,126,10
2018-01-03 06:00:00,24,15,0.0,10.7,5,1,89,07:41 PM,08:31 AM,07:36 AM,06:06 PM,-11,15,15,15,27,0,15,0.0,1015,15,10,146,13
2018-01-03 12:00:00,24,15,0.0,10.7,5,6,89,07:41 PM,08:31 AM,07:36 AM,06:06 PM,-11,23,23,24,10,0,9,0.0,1013,24,10,154,8
2018-01-03 18:00:00,24,15,0.0,10.7,5,5,89,07:41 PM,08:31 AM,07:36 AM,06:06 PM,-11,19,19,19,12,0,12,0.0,1013,19,10,170,6
2018-01-04 00:00:00,24,16,0.0,10.7,5,1,81,08:47 PM,09:27 AM,07:36 AM,06:06 PM,-12,16,16,16,8,0,13,0.0,1013,16,10,191,4
2018-01-04 06:00:00,24,16,0.0,10.7,5,1,81,08:47 PM,09:27 AM,07:36 AM,06:06 PM,-6,16,16,16,24,0,22,0.0,1014,16,10,225,12
2018-01-04 12:00:00,24,16,0.0,10.7,5,6,81,08:47 PM,09:27 AM,07:36 AM,06:06 PM,1,23,23,24,17,0,21,0.0,1013,24,10,235,15
2018-01-04 18:00:00,24,16,0.0,10.7,5,5,81,08:47 PM,09:27 AM,07:36 AM,06:06 PM,-1,20,20,20,17,0,25,0.0,1013,20,10,308,8
2018-01-05 00:00:00,23,15,0.0,10.7,5,1,74,09:52 PM,10:16 AM,07:37 AM,06:07 PM,-4,17,17,17,23,0,23,0.0,1013,17,10,27,11
2018-01-05 06:00:00,23,15,0.0,10.7,5,1,74,09:52 PM,10:16 AM,07:37 AM,06:07 PM,-11,14,15,14,24,0,16,0.0,1015,15,10,47,12
2018-01-05 12:00:00,23,15,0.0,10.7,5,6,74,09:52 PM,10:16 AM,07:37 AM,06:07 PM,-8,23,23,23,13,0,11,0.0,1013,23,10,25,12
2018-01-05 18:00:00,23,15,0.0,10.7,5,5,74,09:52 PM,10:16 AM,07:37 AM,06:07 PM,-7,19,19,19,24,0,16,0.0,1013,19,10,14,13
2018-01-06 00:00:00,22,14,0.0,10.7,5,1,67,10:54 PM,11:01 AM,07:37 AM,06:08 PM,-7,15,15,15,27,0,20,0.0,1013,15,10,41,13
2018-01-06 06:00:00,22,14,0.0,10.7,5,1,67,10:54 PM,11:01 AM,07:37 AM,06:08 PM,-7,13,14,13,22,0,22,0.0,1015,14,10,54,11
2018-01-06 12:00:00,22,14,0.0,10.7,5,6,67,10:54 PM,11:01 AM,07:37 AM,06:08 PM,-6,22,22,22,10,0,15,0.0,1014,22,10,5,8
2018-01-06 18:00:00,22,14,0.0,10.7,5,5,67,10:54 PM,11:01 AM,07:37 AM,06:08 PM,-4,19,19,19,19,0,21,0.0,1014,19,10,14,10
2018-01-07 00:00:00,22,14,0.0,10.7,5,1,59,11:52 PM,11:41 AM,07:37 AM,06:09 PM,-5,15,15,15,21,0,25,0.0,1015,15,10,39,10
2018-01-07 06:00:00,22,14,0.0,10.7,5,1,59,11:52 PM,11:41 AM,07:37 AM,06:09 PM,-5,14,14,14,20,0,26,0.0,1016,14,10,72,10
2018-01-07 12:00:00,22,14,0.0,10.7,5,6,59,11:52 PM,11:41 AM,07:37 AM,06:09 PM,-6,22,22,22,9,0,14,0.0,1015,22,10,32,7
2018-01-07 18:00:00,22,14,0.0,10.7,5,5,59,11:52 PM,11:41 AM,07:37 AM,06:09 PM,-7,18,18,18,15,0,17,0.0,1015,18,10,26,7
2018-01-08 00:00:00,22,14,0.0,10.7,5,1,52,No moonrise,12:19 PM,07:37 AM,06:09 PM,-6,15,15,15,20,0,22,0.0,1015,15,10,99,9
2018-01-08 06:00:00,22,14,0.0,10.7,5,1,52,No moonrise,12:19 PM,07:37 AM,06:09 PM,-6,14,14,14,22,0,24,0.0,1017,14,10,123,10
2018-01-08 12:00:00,22,14,0.0,10.7,5,6,52,No moonrise,12:19 PM,07:37 AM,06:09 PM,-8,22,22,22,8,0,13,0.0,1017,22,10,94,6
2018-01-08 18:00:00,22,14,0.0,10.7,5,5,52,No moonrise,12:19 PM,07:37 AM,06:09 PM,-8,19,19,19,22,0,15,0.0,1017,19,10,64,11
2018-01-09 00:00:00,25,15,0.0,10.7,5,1,45,12:48 AM,12:55 PM,07:37 AM,06:10 PM,-9,16,16,16,27,0,17,0.0,1018,16,10,88,13
2018-01-09 06:00:00,25,15,0.0,10.7,5,1,45,12:48 AM,12:55 PM,07:37 AM,06:10 PM,-9,14,15,14,29,0,18,0.0,1019,15,10,85,14
2018-01-09 12:00:00,25,15,0.0,10.7,5,6,45,12:48 AM,12:55 PM,07:37 AM,06:10 PM,-6,24,24,25,21,0,12,0.0,1018,25,10,69,18
2018-01-09 18:00:00,25,15,0.0,10.7,5,6,45,12:48 AM,12:55 PM,07:37 AM,06:10 PM,-7,20,20,20,30,2,15,0.0,1018,20,10,36,15
2018-01-10 00:00:00,25,16,0.0,10.7,5,1,38,01:43 AM,01:31 PM,07:37 AM,06:11 PM,-9,17,17,17,29,4,16,0.0,1019,17,10,58,14
2018-01-10 06:00:00,25,16,0.0,10.7,5,1,38,01:43 AM,01:31 PM,07:37 AM,06:11 PM,-10,16,16,16,28,4,16,0.0,1020,16,10,73,14
2018-01-10 12:00:00,25,16,0.0,10.7,5,7,38,01:43 AM,01:31 PM,07:37 AM,06:11 PM,-4,24,24,25,10,3,14,0.0,1018,25,10,67,9
2018-01-10 18:00:00,25,16,0.0,10.7,5,6,38,01:43 AM,01:31 PM,07:37 AM,06:11 PM,-6,21,21,21,28,5,16,0.0,1019,21,10,31,15
2018-01-11 00:00:00,25,15,0.0,10.7,6,1,30,02:36 AM,02:08 PM,07:37 AM,06:11 PM,-7,17,17,17,21,2,18,0.0,1019,17,10,50,10
2018-01-11 06:00:00,25,15,0.0,10.7,6,1,30,02:36 AM,02:08 PM,07:37 AM,06:11 PM,-7,16,16,16,13,2,20,0.0,1020,16,10,49,6
2018-01-11 12:00:00,25,15,0.0,10.7,6,6,30,02:36 AM,02:08 PM,07:37 AM,06:11 PM,-7,24,24,25,4,2,12,0.0,1017,25,10,312,4
2018-01-11 18:00:00,25,15,0.0,10.7,6,6,30,02:36 AM,02:08 PM,07:37 AM,06:11 PM,-8,21,22,21,18,3,13,0.0,1017,21,10,357,9
2018-01-12 00:00:00,26,17,0.0,10.8,6,1,23,03:29 AM,02:46 PM,07:37 AM,06:12 PM,-7,18,18,18,13,7,17,0.0,1016,18,10,305,6
2018-01-12 06:00:00,26,17,0.0,10.8,6,1,23,03:29 AM,02:46 PM,07:37 AM,06:12 PM,-9,18,18,18,14,12,15,0.0,1017,18,10,302,6
2018-01-12 12:00:00,26,17,0.0,10.8,6,7,23,03:29 AM,02:46 PM,07:37 AM,06:12 PM,1,25,25,26,17,10,19,0.0,1015,26,10,287,15
2018-01-12 18:00:00,26,17,0.0,10.8,6,6,23,03:29 AM,02:46 PM,07:37 AM,06:12 PM,1,23,23,22,15,10,25,0.0,1016,22,10,286,8
2018-01-13 00:00:00,27,18,0.0,10.8,6,1,16,04:20 AM,03:27 PM,07:37 AM,06:13 PM,1,19,19,19,10,8,29,0.0,1015,19,10,305,5
2018-01-13 06:00:00,27,18,0.0,10.8,6,1,16,04:20 AM,03:27 PM,07:37 AM,06:13 PM,-3,19,19,19,15,7,23,0.0,1017,19,10,21,7
2018-01-13 12:00:00,27,18,0.0,10.8,6,7,16,04:20 AM,03:27 PM,07:37 AM,06:13 PM,-2,25,25,27,12,3,15,0.0,1015,27,10,346,11
2018-01-13 18:00:00,27,18,0.0,10.8,6,6,16,04:20 AM,03:27 PM,07:37 AM,06:13 PM,-8,22,22,22,14,0,13,0.0,1015,22,10,17,6
2018-01-14 00:00:00,27,18,0.0,10.8,6,1,9,05:12 AM,04:10 PM,07:37 AM,06:14 PM,-9,19,19,19,11,0,15,0.0,1015,19,10,69,5
2018-01-14 06:00:00,27,18,0.0,10.8,6,1,9,05:12 AM,04:10 PM,07:37 AM,06:14 PM,-6,19,19,19,14,0,17,0.0,1016,19,10,205,7
2018-01-14 12:00:00,27,18,0.0,10.8,6,7,9,05:12 AM,04:10 PM,07:37 AM,06:14 PM,1,26,26,27,12,0,18,0.0,1015,27,10,299,10
2018-01-14 18:00:00,27,18,0.0,10.8,6,6,9,05:12 AM,04:10 PM,07:37 AM,06:14 PM,0,23,23,23,20,0,22,0.0,1015,23,10,359,9
2018-01-15 00:00:00,27,19,0.0,10.8,6,1,1,06:02 AM,04:57 PM,07:37 AM,06:15 PM,-1,19,19,19,13,0,26,0.0,1016,19,10,77,6
2018-01-15 06:00:00,27,19,0.0,10.8,6,1,1,06:02 AM,04:57 PM,07:37 AM,06:15 PM,-3,19,19,19,22,0,23,0.0,1018,19,10,104,10
2018-01-15 12:00:00,27,19,0.0,10.8,6,7,1,06:02 AM,04:57 PM,07:37 AM,06:15 PM,-4,25,25,27,8,0,13,0.0,1015,27,10,89,6
2018-01-15 18:00:00,27,19,0.0,10.8,6,6,1,06:02 AM,04:57 PM,07:37 AM,06:15 PM,-5,22,22,22,17,0,16,0.0,1015,22,10,42,8
2018-01-16 00:00:00,28,17,0.0,10.8,6,1,0,06:50 AM,05:46 PM,07:37 AM,06:15 PM,-4,18,18,18,6,0,22,0.0,1014,18,10,103,3
2018-01-16 06:00:00,28,17,0.0,10.8,6,1,0,06:50 AM,05:46 PM,07:37 AM,06:15 PM,-2,19,19,19,18,0,23,0.0,1014,19,10,208,9
2018-01-16 12:00:00,28,17,0.0,10.8,6,7,0,06:50 AM,05:46 PM,07:37 AM,06:15 PM,1,26,26,28,23,0,17,0.0,1011,28,10,230,20
2018-01-16 18:00:00,28,17,0.0,10.8,6,6,0,06:50 AM,05:46 PM,07:37 AM,06:15 PM,0,23,23,23,20,0,22,0.0,1010,23,10,242,10
2018-01-17 00:00:00,26,17,0.0,10.8,6,1,0,07:36 AM,06:36 PM,07:37 AM,06:16 PM,3,20,20,20,19,0,31,0.0,1010,20,10,202,9
