date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,11,0.0,8.7,5,1,97,04:50 PM,05:26 AM,06:37 AM,05:27 PM,3,15,15,15,15,0,45,0.0,1013,13,10,357,7
2018-01-01 06:00:00,26,11,0.0,8.7,5,5,97,04:50 PM,05:26 AM,06:37 AM,05:27 PM,4,19,19,19,8,0,37,0.0,1014,17,10,9,7
2018-01-01 12:00:00,26,11,0.0,8.7,5,7,97,04:50 PM,05:26 AM,06:37 AM,05:27 PM,4,26,26,28,7,2,21,0.0,1011,26,10,14,6
2018-01-01 18:00:00,26,11,0.0,8.7,5,5,97,04:50 PM,05:26 AM,06:37 AM,05:27 PM,4,17,17,17,18,2,43,0.0,1013,16,10,11,9
2018-01-02 00:00:00,26,11,0.0,8.7,5,1,100,05:54 PM,06:31 AM,06:37 AM,05:28 PM,4,13,13,13,15,3,54,0.0,1013,12,10,7,7
2018-01-02 06:00:00,26,11,0.0,8.7,5,5,100,05:54 PM,06:31 AM,06:37 AM,05:28 PM,5,17,17,17,10,2,45,0.0,1015,16,10,7,8
2018-01-02 12:00:00,26,11,0.0,8.7,5,7,100,05:54 PM,06:31 AM,06:37 AM,05:28 PM,5,26,26,28,4,4,23,0.0,1011,26,10,308,3
2018-01-02 18:00:00,26,11,0.0,8.7,5,5,100,05:54 PM,06:31 AM,06:37 AM,05:28 PM,4,17,17,17,17,4,43,0.0,1013,16,10,343,8
2018-01-03 00:00:00,26,11,0.0,8.7,5,1,89,07:00 PM,07:33 AM,06:38 AM,05:29 PM,3,12,13,12,17,5,52,0.0,1014,12,10,7,8
2018-01-03 06:00:00,26,11,0.0,8.7,5,5,89,07:00 PM,07:33 AM,06:38 AM,05:29 PM,5,17,17,17,7,6,45,0.0,1015,16,10,4,6
2018-01-03 12:00:00,26,11,0.0,8.7,5,7,89,07:00 PM,07:33 AM,06:38 AM,05:29 PM,5,25,25,26,8,4,25,0.0,1012,26,10,289,7
2018-01-03 18:00:00,26,11,0.0,8.7,5,5,89,07:00 PM,07:33 AM,06:38 AM,05:29 PM,4,17,17,17,11,0,41,0.0,1015,15,10,324,5
2018-01-04 00:00:00,26,9,0.0,8.7,5,1,81,08:05 PM,08:29 AM,06:38 AM,05:29 PM,2,12,13,12,17,0,48,0.0,1015,11,10,357,8
2018-01-04 06:00:00,26,9,0.0,8.7,5,4,81,08:05 PM,08:29 AM,06:38 AM,05:29 PM,3,17,17,17,7,0,39,0.0,1017,15,10,8,6
2018-01-04 12:00:00,26,9,0.0,8.7,5,7,81,08:05 PM,08:29 AM,06:38 AM,05:29 PM,1,26,26,28,3,0,17,0.0,1014,26,10,188,3
2018-01-04 18:00:00,26,9,0.0,8.7,5,4,81,08:05 PM,08:29 AM,06:38 AM,05:29 PM,1,16,16,16,6,0,35,0.0,1015,14,10,317,3
2018-01-05 00:00:00,25,9,0.0,8.7,5,1,74,09:08 PM,09:21 AM,06:38 AM,05:30 PM,-0,14,14,14,12,0,39,0.0,1014,11,10,1,6
2018-01-05 06:00:00,25,9,0.0,8.7,5,4,74,09:08 PM,09:21 AM,06:38 AM,05:30 PM,2,17,17,17,7,0,37,0.0,1016,14,10,5,6
