date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,16,0.0,8.7,6,1,97,05:23 PM,05:52 AM,07:01 AM,05:59 PM,5,19,19,19,19,0,38,0.0,1012,17,10,75,9
2018-01-01 06:00:00,27,16,0.0,8.7,6,1,97,05:23 PM,05:52 AM,07:01 AM,05:59 PM,7,21,21,21,9,2,41,0.0,1013,19,10,138,8
2018-01-01 12:00:00,27,16,0.0,8.7,6,7,97,05:23 PM,05:52 AM,07:01 AM,05:59 PM,6,27,27,29,6,3,23,0.0,1009,27,10,235,5
2018-01-01 18:00:00,27,16,0.0,8.7,6,6,97,05:23 PM,05:52 AM,07:01 AM,05:59 PM,7,22,24,22,8,2,37,0.0,1010,20,10,344,4
2018-01-02 00:00:00,27,16,0.0,8.7,6,1,100,06:26 PM,06:56 AM,07:02 AM,05:59 PM,6,19,19,19,18,2,42,0.0,1011,18,10,54,9
2018-01-02 06:00:00,27,16,0.0,8.7,6,1,100,06:26 PM,06:56 AM,07:02 AM,05:59 PM,6,20,20,20,12,3,41,0.0,1013,19,10,74,9
2018-01-02 12:00:00,27,16,0.0,8.7,6,7,100,06:26 PM,06:56 AM,07:02 AM,05:59 PM,6,28,28,30,2,2,22,0.0,1010,27,10,135,2
2018-01-02 18:00:00,27,16,0.0,8.7,6,6,100,06:26 PM,06:56 AM,07:02 AM,05:59 PM,6,22,24,22,16,2,34,0.0,1011,21,10,20,8
2018-01-03 00:00:00,27,15,0.0,11.0,6,1,89,07:32 PM,07:58 AM,07:02 AM,06:00 PM,4,18,18,18,27,0,42,0.0,1012,17,10,46,13
2018-01-03 06:00:00,27,15,0.0,11.0,6,1,89,07:32 PM,07:58 AM,07:02 AM,06:00 PM,6,19,19,19,14,3,42,0.0,1015,18,10,87,10
2018-01-03 12:00:00,27,15,0.0,11.0,6,7,89,07:32 PM,07:58 AM,07:02 AM,06:00 PM,6,28,28,29,3,3,23,0.0,1012,27,10,197,3
2018-01-03 18:00:00,27,15,0.0,11.0,6,6,89,07:32 PM,07:58 AM,07:02 AM,06:00 PM,7,23,24,23,9,1,36,0.0,1013,20,10,2,5
2018-01-04 00:00:00,27,15,0.0,11.0,6,1,81,08:36 PM,08:55 AM,07:02 AM,06:01 PM,6,19,19,19,16,2,41,0.0,1013,17,10,64,9
2018-01-04 06:00:00,27,15,0.0,11.0,6,1,81,08:36 PM,08:55 AM,07:02 AM,06:01 PM,6,20,20,20,10,4,40,0.0,1016,19,10,84,8
2018-01-04 12:00:00,27,15,0.0,11.0,6,7,81,08:36 PM,08:55 AM,07:02 AM,06:01 PM,7,27,27,29,4,3,25,0.0,1012,27,10,203,4
2018-01-04 18:00:00,27,15,0.0,11.0,6,6,81,08:36 PM,08:55 AM,07:02 AM,06:01 PM,8,22,24,22,1,3,41,0.0,1013,20,10,103,0
2018-01-05 00:00:00,27,16,0.0,11.0,6,1,74,09:39 PM,09:48 AM,07:02 AM,06:01 PM,6,20,20,20,20,3,39,0.0,1013,19,10,52,10
2018-01-05 06:00:00,27,16,0.0,11.0,6,1,74,09:39 PM,09:48 AM,07:02 AM,06:01 PM,7,21,21,21,7,3,40,0.0,1014,19,10,101,6
2018-01-05 12:00:00,27,16,0.0,11.0,6,7,74,09:39 PM,09:48 AM,07:02 AM,06:01 PM,6,27,27,29,6,3,23,0.0,1011,27,10,267,5
2018-01-05 18:00:00,27,16,0.0,11.0,6,6,74,09:39 PM,09:48 AM,07:02 AM,06:01 PM,6,22,24,22,16,2,34,0.0,1012,21,10,2,8
2018-01-06 00:00:00,27,16,0.0,11.0,6,1,67,10:37 PM,10:34 AM,07:03 AM,06:02 PM,5,19,19,19,18,2,40,0.0,1012,18,10,37,9
2018-01-06 06:00:00,27,16,0.0,11.0,6,1,67,10:37 PM,10:34 AM,07:03 AM,06:02 PM,7,21,21,21,8,3,41,0.0,1013,19,10,72,7
