date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,18,0.0,8.7,6,1,97,04:48 PM,05:35 AM,06:48 AM,05:26 PM,16,24,26,24,5,0,58,0.0,1012,20,10,267,4
2018-01-01 06:00:00,26,18,0.0,8.7,6,5,97,04:48 PM,05:35 AM,06:48 AM,05:26 PM,14,21,21,21,12,0,64,0.0,1011,18,10,339,10
2018-01-01 12:00:00,26,18,0.0,8.7,6,6,97,04:48 PM,05:35 AM,06:48 AM,05:26 PM,17,31,31,30,1,0,47,0.0,1013,25,10,245,1
2018-01-01 18:00:00,26,18,0.0,8.7,6,6,97,04:48 PM,05:35 AM,06:48 AM,05:26 PM,16,28,28,27,2,0,50,0.0,1009,23,10,171,1
2018-01-02 00:00:00,26,16,0.0,8.7,6,1,100,05:52 PM,06:40 AM,06:48 AM,05:26 PM,13,22,25,22,14,0,55,0.0,1011,20,10,307,11
2018-01-02 06:00:00,26,16,0.0,8.7,6,5,100,05:52 PM,06:40 AM,06:48 AM,05:26 PM,11,18,18,18,13,7,65,0.0,1010,16,10,317,9
2018-01-02 12:00:00,26,16,0.0,8.7,6,6,100,05:52 PM,06:40 AM,06:48 AM,05:26 PM,15,28,28,27,11,0,48,0.0,1011,24,10,327,10
2018-01-02 18:00:00,26,16,0.0,8.7,6,6,100,05:52 PM,06:40 AM,06:48 AM,05:26 PM,14,25,25,24,14,0,51,0.0,1009,22,10,289,11
2018-01-03 00:00:00,24,14,0.0,8.7,5,1,89,06:58 PM,07:42 AM,06:49 AM,05:27 PM,8,20,20,20,20,2,47,0.0,1012,18,10,299,14
2018-01-03 06:00:00,24,14,0.0,8.7,5,4,89,06:58 PM,07:42 AM,06:49 AM,05:27 PM,5,17,17,17,13,0,44,0.0,1011,14,10,297,12
2018-01-03 12:00:00,24,14,0.0,8.7,5,6,89,06:58 PM,07:42 AM,06:49 AM,05:27 PM,2,24,24,24,27,0,23,0.0,1012,24,10,307,23
2018-01-03 18:00:00,24,14,0.0,8.7,5,5,89,06:58 PM,07:42 AM,06:49 AM,05:27 PM,7,22,24,22,14,0,36,0.0,1010,20,10,292,10
2018-01-04 00:00:00,23,12,0.0,8.7,5,1,81,08:04 PM,08:38 AM,06:49 AM,05:28 PM,5,19,19,19,10,0,40,0.0,1014,16,10,310,8
2018-01-04 06:00:00,23,12,0.0,8.7,5,4,81,08:04 PM,08:38 AM,06:49 AM,05:28 PM,9,17,17,17,7,0,59,0.0,1015,12,10,318,6
2018-01-04 12:00:00,23,12,0.0,8.7,5,6,81,08:04 PM,08:38 AM,06:49 AM,05:28 PM,8,24,24,24,12,0,36,0.0,1016,21,10,346,11
2018-01-04 18:00:00,23,12,0.0,8.7,5,5,81,08:04 PM,08:38 AM,06:49 AM,05:28 PM,10,23,24,23,6,0,45,0.0,1013,19,10,304,5
2018-01-05 00:00:00,24,14,0.0,8.7,5,1,74,09:08 PM,09:29 AM,06:49 AM,05:28 PM,9,19,19,19,14,0,52,0.0,1014,16,10,308,10
