date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,14,0.0,8.7,5,1,97,05:13 PM,05:59 AM,07:10 AM,05:48 PM,3,16,16,16,16,7,43,0.0,1013,15,10,62,8
2018-01-01 06:00:00,24,14,0.0,8.7,5,5,97,05:13 PM,05:59 AM,07:10 AM,05:48 PM,5,17,17,17,11,7,45,0.0,1014,16,10,107,8
2018-01-01 12:00:00,24,14,0.0,8.7,5,6,97,05:13 PM,05:59 AM,07:10 AM,05:48 PM,6,25,25,25,7,6,29,0.0,1011,24,10,80,6
2018-01-01 18:00:00,24,14,0.0,8.7,5,5,97,05:13 PM,05:59 AM,07:10 AM,05:48 PM,5,18,18,18,23,2,41,0.0,1013,18,10,20,12
2018-01-02 00:00:00,23,13,0.0,8.7,5,1,100,06:17 PM,07:04 AM,07:10 AM,05:49 PM,7,18,18,18,8,0,48,0.0,1013,15,10,64,6
2018-01-02 06:00:00,23,13,0.0,8.7,5,4,100,06:17 PM,07:04 AM,07:10 AM,05:49 PM,7,17,17,17,7,0,50,0.0,1015,15,10,31,6
2018-01-02 12:00:00,23,13,0.0,8.7,5,6,100,06:17 PM,07:04 AM,07:10 AM,05:49 PM,-0,23,23,24,12,0,20,0.0,1013,23,10,16,11
2018-01-02 18:00:00,23,13,0.0,8.7,5,5,100,06:17 PM,07:04 AM,07:10 AM,05:49 PM,0,18,18,18,18,0,30,0.0,1015,16,10,26,9
2018-01-03 00:00:00,23,11,0.0,8.7,5,1,89,07:23 PM,08:05 AM,07:10 AM,05:50 PM,-0,16,16,16,9,0,33,0.0,1015,13,10,64,6
2018-01-03 06:00:00,23,11,0.0,8.7,5,4,89,07:23 PM,08:05 AM,07:10 AM,05:50 PM,1,16,16,16,6,0,35,0.0,1017,13,10,91,5
2018-01-03 12:00:00,23,11,0.0,8.7,5,6,89,07:23 PM,08:05 AM,07:10 AM,05:50 PM,-1,24,24,26,7,0,17,0.0,1014,23,10,47,6
2018-01-03 18:00:00,23,11,0.0,8.7,5,5,89,07:23 PM,08:05 AM,07:10 AM,05:50 PM,-1,18,18,18,17,0,29,0.0,1015,16,10,35,9
2018-01-04 00:00:00,24,12,0.0,8.7,5,1,81,08:29 PM,09:01 AM,07:11 AM,05:50 PM,2,16,16,16,9,0,37,0.0,1015,13,10,97,6
2018-01-04 06:00:00,24,12,0.0,8.7,5,4,81,08:29 PM,09:01 AM,07:11 AM,05:50 PM,2,17,17,17,7,0,37,0.0,1016,14,10,130,6
2018-01-04 12:00:00,24,12,0.0,8.7,5,6,81,08:29 PM,09:01 AM,07:11 AM,05:50 PM,1,25,25,27,6,0,18,0.0,1014,24,10,177,5
2018-01-04 18:00:00,24,12,0.0,8.7,5,5,81,08:29 PM,09:01 AM,07:11 AM,05:50 PM,0,19,19,19,18,0,28,0.0,1014,18,10,58,9
2018-01-05 00:00:00,24,13,0.0,8.7,5,1,74,09:33 PM,09:52 AM,07:11 AM,05:51 PM,1,18,18,18,8,0,33,0.0,1014,14,10,94,6
2018-01-05 06:00:00,24,13,0.0,8.7,5,4,74,09:33 PM,09:52 AM,07:11 AM,05:51 PM,2,18,18,18,6,0,35,0.0,1015,14,10,47,5
2018-01-05 12:00:00,24,13,0.0,8.7,5,6,74,09:33 PM,09:52 AM,07:11 AM,05:51 PM,3,25,25,27,6,0,21,0.0,1012,24,10,42,5
2018-01-05 18:00:00,24,13,0.0,8.7,5,5,74,09:33 PM,09:52 AM,07:11 AM,05:51 PM,2,19,19,19,17,0,32,0.0,1013,18,10,26,9
2018-01-06 00:00:00,23,13,0.0,8.7,5,1,67,10:33 PM,10:37 AM,07:11 AM,05:52 PM,3,17,17,17,9,0,40,0.0,1013,14,10,56,6
2018-01-06 06:00:00,23,13,0.0,8.7,5,4,67,10:33 PM,10:37 AM,07:11 AM,05:52 PM,5,18,18,18,5,0,41,0.0,1014,15,10,80,5
2018-01-06 12:00:00,23,13,0.0,8.7,5,6,67,10:33 PM,10:37 AM,07:11 AM,05:52 PM,4,25,25,26,7,1,25,0.0,1012,23,10,8,6
2018-01-06 18:00:00,23,13,0.0,8.7,5,5,67,10:33 PM,10:37 AM,07:11 AM,05:52 PM,2,18,18,18,23,0,35,0.0,1013,18,10,12,11
2018-01-07 00:00:00,23,13,0.0,8.7,5,1,59,11:31 PM,11:19 AM,07:11 AM,05:52 PM,3,17,17,17,10,0,40,0.0,1013,14,10,75,6
2018-01-07 06:00:00,23,13,0.0,8.7,5,4,59,11:31 PM,11:19 AM,07:11 AM,05:52 PM,4,18,18,18,7,0,41,0.0,1016,15,10,8,6
2018-01-07 12:00:00,23,13,0.0,8.7,5,6,59,11:31 PM,11:19 AM,07:11 AM,05:52 PM,3,24,24,25,10,0,24,0.0,1013,23,10,2,8
2018-01-07 18:00:00,23,13,0.0,8.7,5,5,59,11:31 PM,11:19 AM,07:11 AM,05:52 PM,4,19,19,19,10,0,37,0.0,1015,17,10,25,6
2018-01-08 00:00:00,23,12,0.0,8.7,5,1,52,No moonrise,11:57 AM,07:11 AM,05:53 PM,5,16,16,16,11,0,48,0.0,1015,13,10,53,7
2018-01-08 06:00:00,23,12,0.0,8.7,5,4,52,No moonrise,11:57 AM,07:11 AM,05:53 PM,6,17,17,17,7,0,48,0.0,1017,14,10,58,6
2018-01-08 12:00:00,23,12,0.0,8.7,5,6,52,No moonrise,11:57 AM,07:11 AM,05:53 PM,5,25,25,27,5,0,25,0.0,1016,23,10,77,4
2018-01-08 18:00:00,23,12,0.0,8.7,5,5,52,No moonrise,11:57 AM,07:11 AM,05:53 PM,3,18,18,18,22,0,37,0.0,1017,17,10,22,11
2018-01-09 00:00:00,24,12,0.0,8.7,5,1,45,12:26 AM,12:34 PM,07:11 AM,05:54 PM,2,16,16,16,11,0,39,0.0,1018,14,10,69,7
2018-01-09 06:00:00,24,12,0.0,8.7,5,4,45,12:26 AM,12:34 PM,07:11 AM,05:54 PM,2,17,17,17,7,0,36,0.0,1020,14,10,60,6
2018-01-09 12:00:00,24,12,0.0,8.7,5,6,45,12:26 AM,12:34 PM,07:11 AM,05:54 PM,2,24,24,25,10,0,22,0.0,1017,24,10,14,8
2018-01-09 18:00:00,24,12,0.0,8.7,5,5,45,12:26 AM,12:34 PM,07:11 AM,05:54 PM,1,19,19,19,10,0,29,0.0,1018,17,10,22,6
2018-01-10 00:00:00,24,12,0.0,8.7,5,1,38,01:20 AM,01:12 PM,07:11 AM,05:55 PM,1,17,17,17,3,0,33,0.0,1019,13,10,41,3
2018-01-10 06:00:00,24,12,0.0,8.7,5,4,38,01:20 AM,01:12 PM,07:11 AM,05:55 PM,3,18,18,18,5,0,37,0.0,1020,14,10,62,4
2018-01-10 12:00:00,24,12,0.0,8.7,5,6,38,01:20 AM,01:12 PM,07:11 AM,05:55 PM,-0,25,25,27,7,0,17,0.0,1017,24,10,6,6
2018-01-10 18:00:00,24,12,0.0,8.7,5,5,38,01:20 AM,01:12 PM,07:11 AM,05:55 PM,1,21,21,21,6,0,27,0.0,1019,18,10,12,4
2018-01-11 00:00:00,26,14,0.0,8.7,5,1,30,02:12 AM,01:49 PM,07:12 AM,05:55 PM,2,20,20,20,1,0,31,0.0,1018,15,10,296,1
2018-01-11 06:00:00,26,14,0.0,8.7,5,5,30,02:12 AM,01:49 PM,07:12 AM,05:55 PM,2,19,19,19,6,0,33,0.0,1019,16,10,357,5
2018-01-11 12:00:00,26,14,0.0,8.7,5,7,30,02:12 AM,01:49 PM,07:12 AM,05:55 PM,1,25,25,27,12,0,18,0.0,1016,26,10,326,10
2018-01-11 18:00:00,26,14,0.0,8.7,5,5,30,02:12 AM,01:49 PM,07:12 AM,05:55 PM,2,22,23,22,8,0,28,0.0,1016,19,10,43,4
2018-01-12 00:00:00,26,15,0.0,8.7,5,1,23,03:04 AM,02:28 PM,07:12 AM,05:56 PM,3,20,20,20,7,1,31,0.0,1016,16,10,292,5
2018-01-12 06:00:00,26,15,0.0,8.7,5,5,23,03:04 AM,02:28 PM,07:12 AM,05:56 PM,0,18,18,18,7,3,30,0.0,1017,16,10,358,5
2018-01-12 12:00:00,26,15,0.0,8.7,5,7,23,03:04 AM,02:28 PM,07:12 AM,05:56 PM,-2,25,25,27,11,4,15,0.0,1015,26,10,340,9
2018-01-12 18:00:00,26,15,0.0,8.7,5,5,23,03:04 AM,02:28 PM,07:12 AM,05:56 PM,-1,20,20,20,10,7,24,0.0,1016,19,10,22,5
2018-01-13 00:00:00,25,17,0.0,7.1,5,1,16,03:55 AM,03:09 PM,07:12 AM,05:57 PM,-1,19,19,19,2,11,26,0.0,1016,17,10,97,1
2018-01-13 06:00:00,25,17,0.0,7.1,5,4,16,03:55 AM,03:09 PM,07:12 AM,05:57 PM,2,19,19,19,7,64,31,0.0,1018,18,10,97,4
2018-01-13 12:00:00,25,17,0.0,7.1,5,7,16,03:55 AM,03:09 PM,07:12 AM,05:57 PM,4,25,25,26,8,16,24,0.0,1015,25,10,187,7
2018-01-13 18:00:00,25,17,0.0,7.1,5,5,16,03:55 AM,03:09 PM,07:12 AM,05:57 PM,5,21,21,21,2,8,35,0.0,1016,20,10,57,1
2018-01-14 00:00:00,28,16,0.0,8.7,6,1,9,04:46 AM,03:53 PM,07:12 AM,05:57 PM,4,19,19,19,10,8,38,0.0,1016,17,10,108,5
2018-01-14 06:00:00,28,16,0.0,8.7,6,5,9,04:46 AM,03:53 PM,07:12 AM,05:57 PM,5,20,20,20,3,8,38,0.0,1017,18,10,122,2
2018-01-14 12:00:00,28,16,0.0,8.7,6,7,9,04:46 AM,03:53 PM,07:12 AM,05:57 PM,7,28,28,30,1,5,25,0.0,1014,28,10,293,1
2018-01-14 18:00:00,28,16,0.0,8.7,6,6,9,04:46 AM,03:53 PM,07:12 AM,05:57 PM,8,23,24,23,15,5,39,0.0,1015,22,10,47,7
2018-01-15 00:00:00,27,17,0.0,8.7,6,1,1,05:36 AM,04:39 PM,07:12 AM,05:58 PM,8,20,20,20,13,3,46,0.0,1017,18,10,70,7
2018-01-15 06:00:00,27,17,0.0,8.7,6,5,1,05:36 AM,04:39 PM,07:12 AM,05:58 PM,10,22,24,22,2,0,47,0.0,1018,18,10,45,2
2018-01-15 12:00:00,27,17,0.0,8.7,6,7,1,05:36 AM,04:39 PM,07:12 AM,05:58 PM,5,27,27,29,12,0,22,0.0,1015,27,10,338,10
2018-01-15 18:00:00,27,17,0.0,8.7,6,5,1,05:36 AM,04:39 PM,07:12 AM,05:58 PM,5,21,21,21,19,0,35,0.0,1015,20,10,28,9
2018-01-16 00:00:00,27,14,0.0,8.7,5,1,0,06:24 AM,05:28 PM,07:12 AM,05:59 PM,3,20,20,20,4,0,32,0.0,1014,16,10,80,3
2018-01-16 06:00:00,27,14,0.0,8.7,5,5,0,06:24 AM,05:28 PM,07:12 AM,05:59 PM,4,21,21,21,4,0,33,0.0,1016,17,10,166,3
2018-01-16 12:00:00,27,14,0.0,8.7,5,7,0,06:24 AM,05:28 PM,07:12 AM,05:59 PM,0,28,28,30,5,0,15,0.0,1013,27,10,248,5
2018-01-16 18:00:00,27,14,0.0,8.7,5,6,0,06:24 AM,05:28 PM,07:12 AM,05:59 PM,-1,22,22,22,12,0,22,0.0,1013,20,10,84,6
2018-01-17 00:00:00,28,15,0.0,10.9,6,1,0,07:10 AM,06:18 PM,07:12 AM,06:00 PM,-4,19,19,19,15,0,20,0.0,1013,17,10,151,8
2018-01-17 06:00:00,28,15,0.0,10.9,6,5,0,07:10 AM,06:18 PM,07:12 AM,06:00 PM,4,21,21,21,6,0,33,0.0,1015,17,10,171,5
2018-01-17 12:00:00,28,15,0.0,10.9,6,7,0,07:10 AM,06:18 PM,07:12 AM,06:00 PM,6,27,27,29,10,4,23,0.0,1012,28,10,325,9
2018-01-17 18:00:00,28,15,0.0,10.9,6,6,0,07:10 AM,06:18 PM,07:12 AM,06:00 PM,6,22,24,22,18,6,34,0.0,1014,21,10,86,9
