date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,9,0.0,8.7,4,1,97,05:10 PM,06:08 AM,07:20 AM,05:44 PM,-6,15,15,15,14,0,24,0.0,1014,11,10,156,8
2018-01-01 06:00:00,21,9,0.0,8.7,4,4,97,05:10 PM,06:08 AM,07:20 AM,05:44 PM,-1,16,16,16,6,0,31,0.0,1015,12,10,249,5
2018-01-01 12:00:00,21,9,0.0,8.7,4,6,97,05:10 PM,06:08 AM,07:20 AM,05:44 PM,-7,22,22,22,12,0,13,0.0,1013,21,10,325,10
2018-01-01 18:00:00,21,9,0.0,8.7,4,4,97,05:10 PM,06:08 AM,07:20 AM,05:44 PM,-4,16,16,16,15,0,24,0.0,1014,14,10,18,8
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:13 PM,07:14 AM,07:21 AM,05:45 PM,-1,14,14,14,9,0,35,0.0,1015,10,10,91,6
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:13 PM,07:14 AM,07:21 AM,05:45 PM,-0,16,16,16,3,0,33,0.0,1016,11,10,135,3
2018-01-02 12:00:00,20,9,0.0,8.7,4,6,100,06:13 PM,07:14 AM,07:21 AM,05:45 PM,-2,23,22,23,11,0,20,0.0,1015,20,10,14,9
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:13 PM,07:14 AM,07:21 AM,05:45 PM,1,16,16,16,14,0,34,0.0,1015,14,10,52,7
2018-01-03 00:00:00,22,9,0.0,8.7,4,1,89,07:20 PM,08:15 AM,07:21 AM,05:45 PM,2,14,15,14,13,0,44,0.0,1015,11,10,128,7
2018-01-03 06:00:00,22,9,0.0,8.7,4,4,89,07:20 PM,08:15 AM,07:21 AM,05:45 PM,3,16,16,16,6,0,42,0.0,1017,12,10,175,5
2018-01-03 12:00:00,22,9,0.0,8.7,4,6,89,07:20 PM,08:15 AM,07:21 AM,05:45 PM,-3,25,24,25,7,0,15,0.0,1015,22,10,1,6
2018-01-03 18:00:00,22,9,0.0,8.7,4,4,89,07:20 PM,08:15 AM,07:21 AM,05:45 PM,-1,17,17,17,15,0,30,0.0,1015,14,10,78,8
2018-01-04 00:00:00,23,10,0.0,8.7,5,1,81,08:27 PM,09:10 AM,07:21 AM,05:46 PM,1,15,15,15,12,0,39,0.0,1015,11,10,115,6
2018-01-04 06:00:00,23,10,0.0,8.7,5,4,81,08:27 PM,09:10 AM,07:21 AM,05:46 PM,-0,16,16,16,14,0,34,0.0,1016,13,10,150,9
2018-01-04 12:00:00,23,10,0.0,8.7,5,6,81,08:27 PM,09:10 AM,07:21 AM,05:46 PM,-3,24,24,25,12,0,15,0.0,1013,23,10,208,10
2018-01-04 18:00:00,23,10,0.0,8.7,5,5,81,08:27 PM,09:10 AM,07:21 AM,05:46 PM,-0,18,18,18,10,0,29,0.0,1014,16,10,144,6
2018-01-05 00:00:00,22,11,0.0,8.7,5,1,74,09:32 PM,09:59 AM,07:21 AM,05:47 PM,3,13,14,13,19,3,47,0.0,1015,12,10,159,9
2018-01-05 06:00:00,22,11,0.0,8.7,5,4,74,09:32 PM,09:59 AM,07:21 AM,05:47 PM,3,16,16,16,10,0,41,0.0,1016,13,10,162,8
2018-01-05 12:00:00,22,11,0.0,8.7,5,6,74,09:32 PM,09:59 AM,07:21 AM,05:47 PM,-2,24,24,25,7,0,16,0.0,1014,22,10,313,6
2018-01-05 18:00:00,22,11,0.0,8.7,5,5,74,09:32 PM,09:59 AM,07:21 AM,05:47 PM,-0,16,16,16,25,0,33,0.0,1014,15,10,66,13
2018-01-06 00:00:00,22,11,0.0,8.7,5,1,67,10:34 PM,10:43 AM,07:21 AM,05:48 PM,2,13,14,13,17,3,46,0.0,1014,12,10,81,8
2018-01-06 06:00:00,22,11,0.0,8.7,5,4,67,10:34 PM,10:43 AM,07:21 AM,05:48 PM,3,15,15,15,8,3,45,0.0,1015,13,10,100,5
2018-01-06 12:00:00,22,11,0.0,8.7,5,6,67,10:34 PM,10:43 AM,07:21 AM,05:48 PM,-0,24,23,24,9,0,20,0.0,1013,22,10,331,8
2018-01-06 18:00:00,22,11,0.0,8.7,5,5,67,10:34 PM,10:43 AM,07:21 AM,05:48 PM,-1,17,17,17,19,0,31,0.0,1014,15,10,4,10
2018-01-07 00:00:00,21,9,0.0,8.7,4,1,59,11:33 PM,11:23 AM,07:21 AM,05:48 PM,2,15,15,15,9,0,43,0.0,1015,11,10,56,6
2018-01-07 06:00:00,21,9,0.0,8.7,4,4,59,11:33 PM,11:23 AM,07:21 AM,05:48 PM,4,16,16,16,2,0,44,0.0,1017,11,10,316,2
2018-01-07 12:00:00,21,9,0.0,8.7,4,6,59,11:33 PM,11:23 AM,07:21 AM,05:48 PM,-4,22,22,22,15,0,17,0.0,1015,21,10,325,13
2018-01-07 18:00:00,21,9,0.0,8.7,4,4,59,11:33 PM,11:23 AM,07:21 AM,05:48 PM,-3,16,16,16,16,0,26,0.0,1016,14,10,330,8
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,No moonrise,12:00 PM,07:22 AM,05:49 PM,-2,14,14,14,11,0,34,0.0,1016,10,10,277,6
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,No moonrise,12:00 PM,07:22 AM,05:49 PM,-1,16,15,16,6,0,33,0.0,1018,11,10,288,5
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,No moonrise,12:00 PM,07:22 AM,05:49 PM,-6,23,22,23,12,0,15,0.0,1017,21,10,326,10
