date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:03 PM,06:07 AM,07:19 AM,05:38 PM,2,15,15,15,6,0,40,0.0,1014,11,10,186,4
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,05:03 PM,06:07 AM,07:19 AM,05:38 PM,3,15,15,15,2,0,44,0.0,1015,11,10,320,1
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:03 PM,06:07 AM,07:19 AM,05:38 PM,2,24,24,24,4,0,24,0.0,1013,20,10,329,3
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:03 PM,06:07 AM,07:19 AM,05:38 PM,4,16,16,16,6,0,44,0.0,1014,13,10,28,4
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:07 PM,07:12 AM,07:20 AM,05:38 PM,6,15,15,15,4,0,56,0.0,1014,10,10,25,3
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:07 PM,07:12 AM,07:20 AM,05:38 PM,7,15,15,15,2,0,58,0.0,1015,11,10,305,2
2018-01-02 12:00:00,20,9,0.0,8.7,4,6,100,06:07 PM,07:12 AM,07:20 AM,05:38 PM,3,23,23,23,7,0,28,0.0,1014,20,10,326,6
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:07 PM,07:12 AM,07:20 AM,05:38 PM,4,16,16,16,1,1,43,0.0,1015,13,10,46,1
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:14 PM,08:13 AM,07:20 AM,05:39 PM,5,15,15,15,2,0,51,0.0,1015,10,10,283,1
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:14 PM,08:13 AM,07:20 AM,05:39 PM,7,15,15,15,5,0,59,0.0,1016,11,10,279,4
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:14 PM,08:13 AM,07:20 AM,05:39 PM,3,23,23,23,10,0,26,0.0,1015,21,10,331,9
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:14 PM,08:13 AM,07:20 AM,05:39 PM,4,16,16,16,7,0,43,0.0,1015,13,10,305,4
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:21 PM,09:08 AM,07:20 AM,05:40 PM,3,14,14,14,8,0,49,0.0,1015,10,10,346,5
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:21 PM,09:08 AM,07:20 AM,05:40 PM,5,15,15,15,1,0,53,0.0,1016,11,10,215,1
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,08:21 PM,09:08 AM,07:20 AM,05:40 PM,1,25,24,25,3,0,21,0.0,1014,21,10,225,3
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,08:21 PM,09:08 AM,07:20 AM,05:40 PM,1,15,15,15,17,0,37,0.0,1014,13,10,62,8
2018-01-05 00:00:00,20,9,0.0,8.7,4,1,74,09:27 PM,09:57 AM,07:20 AM,05:41 PM,2,13,14,13,10,0,44,0.0,1015,10,10,90,6
2018-01-05 06:00:00,20,9,0.0,8.7,4,4,74,09:27 PM,09:57 AM,07:20 AM,05:41 PM,1,11,12,11,10,7,50,0.0,1016,10,10,138,6
2018-01-05 12:00:00,20,9,0.0,8.7,4,6,74,09:27 PM,09:57 AM,07:20 AM,05:41 PM,4,23,24,23,6,0,28,0.0,1014,20,10,35,5
2018-01-05 18:00:00,20,9,0.0,8.7,4,4,74,09:27 PM,09:57 AM,07:20 AM,05:41 PM,3,15,15,15,11,0,45,0.0,1014,13,10,30,6
2018-01-06 00:00:00,21,9,0.0,8.7,4,1,67,10:29 PM,10:40 AM,07:20 AM,05:41 PM,5,15,14,15,5,0,53,0.0,1013,10,10,332,4
2018-01-06 06:00:00,21,9,0.0,8.7,4,4,67,10:29 PM,10:40 AM,07:20 AM,05:41 PM,5,15,14,15,5,0,55,0.0,1014,10,10,321,4
2018-01-06 12:00:00,21,9,0.0,8.7,4,6,67,10:29 PM,10:40 AM,07:20 AM,05:41 PM,2,22,23,22,12,0,27,0.0,1013,21,10,314,10
2018-01-06 18:00:00,21,9,0.0,8.7,4,4,67,10:29 PM,10:40 AM,07:20 AM,05:41 PM,4,15,15,15,12,0,48,0.0,1014,13,10,0,6
2018-01-07 00:00:00,21,8,0.0,8.7,4,1,59,11:29 PM,11:20 AM,07:20 AM,05:42 PM,4,12,13,12,12,0,54,0.0,1014,9,10,319,7
