date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,13,0.0,8.7,5,1,97,05:23 PM,06:14 AM,07:26 AM,05:57 PM,-10,14,15,14,23,0,17,0.0,1014,15,10,53,11
2018-01-01 06:00:00,24,13,0.0,8.7,5,1,97,05:23 PM,06:14 AM,07:26 AM,05:57 PM,-7,14,14,14,19,0,22,0.0,1015,14,10,47,9
2018-01-01 12:00:00,24,13,0.0,8.7,5,6,97,05:23 PM,06:14 AM,07:26 AM,05:57 PM,-9,23,23,24,12,0,11,0.0,1013,24,10,26,11
2018-01-01 18:00:00,24,13,0.0,8.7,5,5,97,05:23 PM,06:14 AM,07:26 AM,05:57 PM,-10,18,18,18,26,0,14,0.0,1014,18,10,29,12
2018-01-02 00:00:00,24,13,0.0,8.7,5,1,100,06:27 PM,07:20 AM,07:26 AM,05:58 PM,-9,13,14,13,22,0,19,0.0,1014,14,10,62,10
2018-01-02 06:00:00,24,13,0.0,8.7,5,1,100,06:27 PM,07:20 AM,07:26 AM,05:58 PM,-8,13,14,13,26,0,22,0.0,1015,14,10,81,12
2018-01-02 12:00:00,24,13,0.0,8.7,5,6,100,06:27 PM,07:20 AM,07:26 AM,05:58 PM,-8,23,23,24,11,0,11,0.0,1014,24,10,68,9
2018-01-02 18:00:00,24,13,0.0,8.7,5,5,100,06:27 PM,07:20 AM,07:26 AM,05:58 PM,-9,18,18,18,21,0,15,0.0,1015,18,10,45,10
2018-01-03 00:00:00,24,13,0.0,8.7,5,1,89,07:34 PM,08:21 AM,07:26 AM,05:59 PM,-9,14,15,14,27,0,18,0.0,1015,14,10,82,13
2018-01-03 06:00:00,24,13,0.0,8.7,5,1,89,07:34 PM,08:21 AM,07:26 AM,05:59 PM,-5,13,14,13,23,0,26,0.0,1016,14,10,106,11
2018-01-03 12:00:00,24,13,0.0,8.7,5,6,89,07:34 PM,08:21 AM,07:26 AM,05:59 PM,-7,23,23,24,11,0,12,0.0,1014,24,10,105,10
2018-01-03 18:00:00,24,13,0.0,8.7,5,5,89,07:34 PM,08:21 AM,07:26 AM,05:59 PM,-7,18,18,18,18,0,17,0.0,1015,18,10,52,9
2018-01-04 00:00:00,24,12,0.0,8.7,5,1,81,08:39 PM,09:17 AM,07:27 AM,05:59 PM,-8,15,15,15,19,0,20,0.0,1014,15,10,81,9
2018-01-04 06:00:00,24,12,0.0,8.7,5,1,81,08:39 PM,09:17 AM,07:27 AM,05:59 PM,-4,17,17,17,6,0,24,0.0,1015,14,10,192,3
2018-01-04 12:00:00,24,12,0.0,8.7,5,6,81,08:39 PM,09:17 AM,07:27 AM,05:59 PM,-11,23,23,24,13,0,8,0.0,1013,24,10,244,11
2018-01-04 18:00:00,24,12,0.0,8.7,5,5,81,08:39 PM,09:17 AM,07:27 AM,05:59 PM,-8,18,18,18,13,0,16,0.0,1014,17,10,230,6
2018-01-05 00:00:00,24,13,0.0,10.7,5,1,74,09:44 PM,10:07 AM,07:27 AM,06:00 PM,-6,17,17,17,11,0,20,0.0,1014,15,10,255,5
