date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,19,9,0.0,8.7,4,1,97,04:39 PM,06:01 AM,07:14 AM,05:11 PM,-8,10,11,10,20,0,24,0.0,1016,10,10,33,9
2018-01-01 06:00:00,19,9,0.0,8.7,4,3,97,04:39 PM,06:01 AM,07:14 AM,05:11 PM,-7,9,11,9,20,0,28,0.0,1015,9,10,28,9
2018-01-01 12:00:00,19,9,0.0,8.7,4,5,97,04:39 PM,06:01 AM,07:14 AM,05:11 PM,-6,20,20,20,10,0,17,0.0,1013,19,10,287,9
2018-01-01 18:00:00,19,9,0.0,8.7,4,4,97,04:39 PM,06:01 AM,07:14 AM,05:11 PM,-4,14,14,14,10,0,28,0.0,1015,11,10,66,5
2018-01-02 00:00:00,18,8,0.0,8.7,4,1,100,05:43 PM,07:07 AM,07:14 AM,05:12 PM,-7,10,11,10,17,0,28,0.0,1015,9,10,58,8
2018-01-02 06:00:00,18,8,0.0,8.7,4,3,100,05:43 PM,07:07 AM,07:14 AM,05:12 PM,-7,10,11,10,15,0,28,0.0,1016,8,10,45,8
2018-01-02 12:00:00,18,8,0.0,8.7,4,5,100,05:43 PM,07:07 AM,07:14 AM,05:12 PM,-7,18,18,18,6,33,17,0.0,1015,18,10,255,5
2018-01-02 18:00:00,18,8,0.0,8.7,4,4,100,05:43 PM,07:07 AM,07:14 AM,05:12 PM,-5,12,12,12,9,11,29,0.0,1016,11,10,58,4
2018-01-03 00:00:00,17,8,0.0,8.7,4,1,89,06:50 PM,08:07 AM,07:15 AM,05:13 PM,-6,10,11,10,17,1,30,0.0,1016,9,10,59,8
2018-01-03 06:00:00,17,8,0.0,8.7,4,3,89,06:50 PM,08:07 AM,07:15 AM,05:13 PM,-6,10,11,10,14,1,29,0.0,1017,8,10,38,7
2018-01-03 12:00:00,17,8,0.0,8.7,4,5,89,06:50 PM,08:07 AM,07:15 AM,05:13 PM,-5,19,19,19,6,4,20,0.0,1016,17,10,267,5
2018-01-03 18:00:00,17,8,0.0,8.7,4,4,89,06:50 PM,08:07 AM,07:15 AM,05:13 PM,-3,12,12,12,13,5,35,0.0,1016,11,10,58,6
2018-01-04 00:00:00,15,8,0.0,3.7,4,1,81,07:59 PM,09:01 AM,07:15 AM,05:14 PM,-5,9,10,9,14,4,35,0.0,1016,9,10,56,7
2018-01-04 06:00:00,15,8,0.0,3.7,4,3,81,07:59 PM,09:01 AM,07:15 AM,05:14 PM,-7,8,9,8,14,20,32,0.0,1015,8,10,44,6
2018-01-04 12:00:00,15,8,0.0,3.7,4,4,81,07:59 PM,09:01 AM,07:15 AM,05:14 PM,-6,15,15,15,7,87,23,0.0,1015,15,10,270,6
2018-01-04 18:00:00,15,8,0.0,3.7,4,4,81,07:59 PM,09:01 AM,07:15 AM,05:14 PM,-4,12,12,12,8,13,31,0.0,1017,11,10,36,4
