date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,13,0.0,8.7,5,1,97,03:54 PM,04:47 AM,06:02 AM,04:31 PM,10,16,16,16,3,5,68,0.0,1014,14,10,106,2
2018-01-01 06:00:00,24,13,0.0,8.7,5,5,97,03:54 PM,04:47 AM,06:02 AM,04:31 PM,11,20,20,20,6,4,55,0.0,1016,19,10,29,5
2018-01-01 12:00:00,24,13,0.0,8.7,5,6,97,03:54 PM,04:47 AM,06:02 AM,04:31 PM,10,25,25,25,9,7,39,0.0,1011,24,10,26,8
2018-01-01 18:00:00,24,13,0.0,8.7,5,1,97,03:54 PM,04:47 AM,06:02 AM,04:31 PM,9,17,17,17,2,7,58,0.0,1014,16,10,155,1
2018-01-02 00:00:00,23,15,0.0,8.7,5,1,100,04:57 PM,05:52 AM,06:02 AM,04:32 PM,9,16,16,16,5,24,63,0.0,1013,15,10,86,3
2018-01-02 06:00:00,23,15,0.0,8.7,5,5,100,04:57 PM,05:52 AM,06:02 AM,04:32 PM,11,19,19,19,1,27,60,0.1,1015,18,10,51,1
2018-01-02 12:00:00,23,15,0.0,8.7,5,6,100,04:57 PM,05:52 AM,06:02 AM,04:32 PM,10,25,25,23,4,15,43,0.0,1010,23,10,20,3
2018-01-02 18:00:00,23,15,0.0,8.7,5,1,100,04:57 PM,05:52 AM,06:02 AM,04:32 PM,12,17,17,17,7,36,73,1.2,1013,16,9,141,4
2018-01-03 00:00:00,22,13,0.0,8.7,4,1,89,06:04 PM,06:54 AM,06:02 AM,04:33 PM,12,15,15,15,6,28,82,1.4,1013,15,10,7,3
2018-01-03 06:00:00,22,13,0.0,8.7,4,4,89,06:04 PM,06:54 AM,06:02 AM,04:33 PM,14,18,18,18,5,21,78,1.7,1013,17,10,32,3
2018-01-03 12:00:00,22,13,0.0,8.7,4,5,89,06:04 PM,06:54 AM,06:02 AM,04:33 PM,15,25,25,23,5,15,60,0.8,1009,22,10,264,4
2018-01-03 18:00:00,22,13,0.0,8.7,4,1,89,06:04 PM,06:54 AM,06:02 AM,04:33 PM,14,16,16,16,4,8,87,1.3,1014,15,9,146,2
2018-01-04 00:00:00,21,13,0.0,8.7,5,1,81,07:10 PM,07:50 AM,06:03 AM,04:33 PM,12,15,14,15,7,32,88,0.0,1016,14,10,53,4
