date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,18,0.0,8.7,6,1,97,05:20 PM,05:31 AM,06:39 AM,05:57 PM,17,21,21,21,7,11,78,0.0,1011,19,10,122,4
2018-01-01 06:00:00,30,18,0.0,8.7,6,6,97,05:20 PM,05:31 AM,06:39 AM,05:57 PM,18,26,26,24,4,4,67,0.0,1012,22,10,319,4
2018-01-01 12:00:00,30,18,0.0,8.7,6,8,97,05:20 PM,05:31 AM,06:39 AM,05:57 PM,14,31,31,31,7,23,37,0.0,1008,30,10,43,6
2018-01-01 18:00:00,30,18,0.0,8.7,6,6,97,05:20 PM,05:31 AM,06:39 AM,05:57 PM,15,25,25,24,15,12,59,0.0,1009,23,10,111,7
2018-01-02 00:00:00,30,18,0.0,8.7,6,1,100,06:23 PM,06:35 AM,06:40 AM,05:58 PM,16,21,21,21,10,5,73,0.0,1010,20,10,133,5
2018-01-02 06:00:00,30,18,0.0,8.7,6,6,100,06:23 PM,06:35 AM,06:40 AM,05:58 PM,16,26,26,24,5,6,60,0.0,1011,23,10,99,4
2018-01-02 12:00:00,30,18,0.0,8.7,6,8,100,06:23 PM,06:35 AM,06:40 AM,05:58 PM,13,30,30,31,11,16,33,0.0,1009,30,10,54,9
2018-01-02 18:00:00,30,18,0.0,8.7,6,6,100,06:23 PM,06:35 AM,06:40 AM,05:58 PM,17,25,25,23,19,10,69,0.0,1010,23,10,102,10
2018-01-03 00:00:00,30,19,0.0,8.7,6,1,89,07:28 PM,07:38 AM,06:40 AM,05:58 PM,19,20,20,20,10,18,92,0.0,1011,20,10,127,6
2018-01-03 06:00:00,30,19,0.0,8.7,6,6,89,07:28 PM,07:38 AM,06:40 AM,05:58 PM,21,27,27,25,6,2,77,0.0,1013,23,10,124,5
2018-01-03 12:00:00,30,19,0.0,8.7,6,8,89,07:28 PM,07:38 AM,06:40 AM,05:58 PM,13,30,30,30,12,15,36,0.0,1010,30,10,57,11
2018-01-03 18:00:00,30,19,0.0,8.7,6,6,89,07:28 PM,07:38 AM,06:40 AM,05:58 PM,15,25,25,24,17,16,59,0.0,1012,23,10,103,9
2018-01-04 00:00:00,30,19,0.0,8.7,6,1,81,08:31 PM,08:36 AM,06:40 AM,05:59 PM,17,20,20,20,13,9,83,0.0,1013,20,10,112,7
2018-01-04 06:00:00,30,19,0.0,8.7,6,6,81,08:31 PM,08:36 AM,06:40 AM,05:59 PM,18,25,25,23,10,6,74,0.0,1015,22,10,126,8
2018-01-04 12:00:00,30,19,0.0,8.7,6,7,81,08:31 PM,08:36 AM,06:40 AM,05:59 PM,13,29,29,30,14,25,36,0.0,1011,30,10,59,12
2018-01-04 18:00:00,30,19,0.0,8.7,6,6,81,08:31 PM,08:36 AM,06:40 AM,05:59 PM,14,25,25,22,21,12,59,0.0,1013,22,10,103,10
2018-01-05 00:00:00,29,18,0.0,8.7,6,1,74,09:31 PM,09:30 AM,06:41 AM,05:59 PM,14,20,20,20,10,4,72,0.0,1012,18,10,117,5
2018-01-05 06:00:00,29,18,0.0,8.7,6,6,74,09:31 PM,09:30 AM,06:41 AM,05:59 PM,16,24,25,24,7,2,63,0.0,1014,22,10,129,6
2018-01-05 12:00:00,29,18,0.0,8.7,6,7,74,09:31 PM,09:30 AM,06:41 AM,05:59 PM,11,28,28,29,16,8,33,0.0,1011,29,10,73,14
2018-01-05 18:00:00,29,18,0.0,8.7,6,6,74,09:31 PM,09:30 AM,06:41 AM,05:59 PM,11,22,24,22,17,4,52,0.0,1012,21,10,118,8
2018-01-06 00:00:00,29,17,0.0,11.6,6,1,67,10:28 PM,10:18 AM,06:41 AM,06:00 PM,13,19,19,19,9,4,67,0.0,1011,18,10,133,5
2018-01-06 06:00:00,29,17,0.0,11.6,6,6,67,10:28 PM,10:18 AM,06:41 AM,06:00 PM,14,23,25,23,4,3,56,0.0,1013,21,10,148,3
2018-01-06 12:00:00,29,17,0.0,11.6,6,7,67,10:28 PM,10:18 AM,06:41 AM,06:00 PM,10,28,28,29,15,7,30,0.0,1010,29,10,61,13
2018-01-06 18:00:00,29,17,0.0,11.6,6,6,67,10:28 PM,10:18 AM,06:41 AM,06:00 PM,12,22,24,22,18,4,53,0.0,1012,21,10,107,9
2018-01-07 00:00:00,29,17,0.0,11.6,6,1,59,11:22 PM,11:04 AM,06:41 AM,06:00 PM,13,19,19,19,9,2,68,0.0,1012,18,10,121,5
2018-01-07 06:00:00,29,17,0.0,11.6,6,6,59,11:22 PM,11:04 AM,06:41 AM,06:00 PM,15,24,25,24,5,1,57,0.0,1014,21,10,159,4
2018-01-07 12:00:00,29,17,0.0,11.6,6,7,59,11:22 PM,11:04 AM,06:41 AM,06:00 PM,9,28,28,29,15,6,29,0.0,1011,29,10,80,13
2018-01-07 18:00:00,29,17,0.0,11.6,6,6,59,11:22 PM,11:04 AM,06:41 AM,06:00 PM,12,21,21,21,24,3,55,0.0,1012,21,10,109,12
2018-01-08 00:00:00,29,17,0.0,11.6,6,1,52,No moonrise,11:47 AM,06:42 AM,06:01 PM,14,19,19,19,11,3,72,0.0,1013,18,10,133,6
2018-01-08 06:00:00,29,17,0.0,11.6,6,6,52,No moonrise,11:47 AM,06:42 AM,06:01 PM,14,23,25,23,5,3,58,0.0,1015,21,10,106,5
2018-01-08 12:00:00,29,17,0.0,11.6,6,7,52,No moonrise,11:47 AM,06:42 AM,06:01 PM,12,28,28,29,21,6,35,0.0,1012,29,10,80,18
2018-01-08 18:00:00,29,17,0.0,11.6,6,6,52,No moonrise,11:47 AM,06:42 AM,06:01 PM,15,21,21,21,23,0,69,0.0,1014,21,10,104,12
2018-01-09 00:00:00,27,18,0.0,10.2,6,1,45,12:13 AM,12:27 PM,06:42 AM,06:02 PM,17,19,19,19,7,5,86,0.0,1014,18,10,96,4
2018-01-09 06:00:00,27,18,0.0,10.2,6,5,45,12:13 AM,12:27 PM,06:42 AM,06:02 PM,17,21,24,21,8,64,80,0.0,1016,21,10,70,6
2018-01-09 12:00:00,27,18,0.0,10.2,6,6,45,12:13 AM,12:27 PM,06:42 AM,06:02 PM,16,28,28,27,22,77,53,0.0,1014,27,10,70,19
2018-01-09 18:00:00,27,18,0.0,10.2,6,6,45,12:13 AM,12:27 PM,06:42 AM,06:02 PM,17,22,24,22,17,28,73,0.0,1016,21,10,99,9
2018-01-10 00:00:00,27,18,0.0,11.6,6,1,38,01:03 AM,01:08 PM,06:42 AM,06:02 PM,17,20,20,20,7,13,87,0.0,1015,19,10,95,4
2018-01-10 06:00:00,27,18,0.0,11.6,6,6,38,01:03 AM,01:08 PM,06:42 AM,06:02 PM,18,22,25,22,5,22,78,0.0,1017,22,10,63,4
2018-01-10 12:00:00,27,18,0.0,11.6,6,7,38,01:03 AM,01:08 PM,06:42 AM,06:02 PM,16,28,28,27,19,36,52,0.0,1015,27,10,94,17
2018-01-10 18:00:00,27,18,0.0,11.6,6,6,38,01:03 AM,01:08 PM,06:42 AM,06:02 PM,17,25,25,23,14,25,72,0.0,1016,22,10,113,8
2018-01-11 00:00:00,31,19,0.0,11.6,6,1,30,01:52 AM,01:49 PM,06:42 AM,06:03 PM,19,20,20,20,9,25,89,0.0,1015,20,10,134,5
2018-01-11 06:00:00,31,19,0.0,11.6,6,6,30,01:52 AM,01:49 PM,06:42 AM,06:03 PM,19,25,25,24,3,14,74,0.0,1017,23,10,100,3
2018-01-11 12:00:00,31,19,0.0,11.6,6,8,30,01:52 AM,01:49 PM,06:42 AM,06:03 PM,16,32,32,31,15,17,41,0.0,1013,31,10,80,13
2018-01-11 18:00:00,31,19,0.0,11.6,6,6,30,01:52 AM,01:49 PM,06:42 AM,06:03 PM,18,26,26,24,20,9,68,0.0,1014,24,10,100,11
2018-01-12 00:00:00,32,20,0.0,11.6,7,1,23,02:40 AM,02:30 PM,06:43 AM,06:03 PM,19,22,24,22,9,15,82,0.0,1014,21,10,127,5
2018-01-12 06:00:00,32,20,0.0,11.6,7,6,23,02:40 AM,02:30 PM,06:43 AM,06:03 PM,18,26,26,25,4,16,67,0.0,1016,24,10,130,4
2018-01-12 12:00:00,32,20,0.0,11.6,7,8,23,02:40 AM,02:30 PM,06:43 AM,06:03 PM,15,32,32,32,15,8,37,0.0,1012,32,10,77,13
2018-01-12 18:00:00,32,20,0.0,11.6,7,6,23,02:40 AM,02:30 PM,06:43 AM,06:03 PM,18,27,27,25,17,3,64,0.0,1014,25,10,107,9
2018-01-13 00:00:00,33,20,0.0,11.6,7,1,16,03:30 AM,03:14 PM,06:43 AM,06:04 PM,20,23,25,23,8,3,82,0.0,1013,21,10,125,5
2018-01-13 06:00:00,33,20,0.0,11.6,7,6,16,03:30 AM,03:14 PM,06:43 AM,06:04 PM,19,27,27,26,7,3,69,0.0,1015,24,10,105,6
2018-01-13 12:00:00,33,20,0.0,11.6,7,8,16,03:30 AM,03:14 PM,06:43 AM,06:04 PM,13,32,32,33,15,0,31,0.0,1012,33,10,87,13
2018-01-13 18:00:00,33,20,0.0,11.6,7,6,16,03:30 AM,03:14 PM,06:43 AM,06:04 PM,17,26,26,25,18,0,64,0.0,1013,24,10,106,9
2018-01-14 00:00:00,32,19,0.0,11.6,6,1,9,04:18 AM,03:59 PM,06:43 AM,06:04 PM,19,22,25,22,9,3,86,0.0,1014,20,10,136,6
2018-01-14 06:00:00,32,19,0.0,11.6,6,6,9,04:18 AM,03:59 PM,06:43 AM,06:04 PM,19,27,27,25,4,3,67,0.0,1016,23,10,117,3
2018-01-14 12:00:00,32,19,0.0,11.6,6,8,9,04:18 AM,03:59 PM,06:43 AM,06:04 PM,15,32,32,32,17,5,36,0.0,1012,32,10,82,15
2018-01-14 18:00:00,32,19,0.0,11.6,6,6,9,04:18 AM,03:59 PM,06:43 AM,06:04 PM,18,26,26,24,19,0,66,0.0,1014,24,10,100,10
2018-01-15 00:00:00,32,19,0.0,11.6,6,1,1,05:07 AM,04:46 PM,06:43 AM,06:05 PM,19,22,24,22,9,3,86,0.0,1015,20,10,121,6
2018-01-15 06:00:00,32,19,0.0,11.6,6,6,1,05:07 AM,04:46 PM,06:43 AM,06:05 PM,16,26,26,24,6,5,62,0.0,1016,23,10,137,5
2018-01-15 12:00:00,32,19,0.0,11.6,6,8,1,05:07 AM,04:46 PM,06:43 AM,06:05 PM,12,31,31,32,14,6,29,0.0,1012,32,10,63,12
2018-01-15 18:00:00,32,19,0.0,11.6,6,6,1,05:07 AM,04:46 PM,06:43 AM,06:05 PM,16,26,26,25,20,9,59,0.0,1013,24,10,108,10
2018-01-16 00:00:00,31,20,0.0,11.6,6,1,0,05:56 AM,05:34 PM,06:43 AM,06:06 PM,18,22,24,22,12,8,81,0.0,1012,21,10,132,7
2018-01-16 06:00:00,31,20,0.0,11.6,6,6,0,05:56 AM,05:34 PM,06:43 AM,06:06 PM,18,26,26,25,5,7,67,0.0,1015,23,10,90,4
2018-01-16 12:00:00,31,20,0.0,11.6,6,8,0,05:56 AM,05:34 PM,06:43 AM,06:06 PM,13,31,31,32,14,14,32,0.0,1010,31,10,34,12
2018-01-16 18:00:00,31,20,0.0,11.6,6,6,0,05:56 AM,05:34 PM,06:43 AM,06:06 PM,15,26,26,24,20,9,57,0.0,1012,24,10,112,10
2018-01-17 00:00:00,31,19,0.0,11.6,6,1,0,06:42 AM,06:23 PM,06:43 AM,06:06 PM,18,21,21,21,11,4,83,0.0,1012,20,10,130,6
2018-01-17 06:00:00,31,19,0.0,11.6,6,6,0,06:42 AM,06:23 PM,06:43 AM,06:06 PM,17,25,25,24,6,7,66,0.0,1014,23,10,135,5
