date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:02 PM,06:07 AM,07:20 AM,05:36 PM,6,16,16,16,1,0,51,0.0,1014,11,10,237,1
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,05:02 PM,06:07 AM,07:20 AM,05:36 PM,7,15,15,15,1,0,56,0.0,1015,11,10,226,1
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:02 PM,06:07 AM,07:20 AM,05:36 PM,6,24,24,24,2,0,30,0.0,1013,20,10,342,1
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:02 PM,06:07 AM,07:20 AM,05:36 PM,6,16,16,16,5,0,50,0.0,1014,13,10,6,3
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,06:06 PM,07:13 AM,07:20 AM,05:37 PM,7,16,15,16,4,0,58,0.0,1015,10,10,16,3
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,06:06 PM,07:13 AM,07:20 AM,05:37 PM,7,16,15,16,4,0,61,0.0,1015,10,10,314,4
2018-01-02 12:00:00,20,9,0.0,8.7,4,6,100,06:06 PM,07:13 AM,07:20 AM,05:37 PM,5,23,24,23,8,0,30,0.0,1014,20,10,304,7
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,06:06 PM,07:13 AM,07:20 AM,05:37 PM,4,15,15,15,7,3,49,0.0,1016,13,10,351,3
2018-01-03 00:00:00,21,8,0.0,8.7,4,1,89,07:13 PM,08:14 AM,07:21 AM,05:38 PM,6,16,15,16,4,0,57,0.0,1015,10,10,328,3
2018-01-03 06:00:00,21,8,0.0,8.7,4,4,89,07:13 PM,08:14 AM,07:21 AM,05:38 PM,7,14,14,14,7,0,63,0.0,1016,10,10,295,6
2018-01-03 12:00:00,21,8,0.0,8.7,4,6,89,07:13 PM,08:14 AM,07:21 AM,05:38 PM,4,23,24,23,12,0,30,0.0,1015,21,10,319,10
2018-01-03 18:00:00,21,8,0.0,8.7,4,4,89,07:13 PM,08:14 AM,07:21 AM,05:38 PM,5,15,15,15,12,0,50,0.0,1015,12,10,309,6
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:20 PM,09:09 AM,07:21 AM,05:39 PM,4,13,13,13,10,0,56,0.0,1016,9,10,327,6
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:20 PM,09:09 AM,07:21 AM,05:39 PM,6,15,14,15,4,0,58,0.0,1016,10,10,316,3
2018-01-04 12:00:00,20,8,0.0,8.7,4,6,81,08:20 PM,09:09 AM,07:21 AM,05:39 PM,3,24,24,24,5,0,25,0.0,1014,20,10,281,4
2018-01-04 18:00:00,20,8,0.0,8.7,4,4,81,08:20 PM,09:09 AM,07:21 AM,05:39 PM,1,14,14,14,12,2,41,0.0,1015,12,10,28,6
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:26 PM,09:57 AM,07:21 AM,05:39 PM,4,15,14,15,5,0,48,0.0,1016,10,10,95,4
