date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,18,9,0.0,8.7,4,1,97,04:58 PM,06:07 AM,07:20 AM,05:32 PM,-1,13,12,13,8,0,39,0.0,1017,10,10,54,4
2018-01-01 06:00:00,18,9,0.0,8.7,4,3,97,04:58 PM,06:07 AM,07:20 AM,05:32 PM,-1,13,13,13,5,0,38,0.0,1017,10,10,78,4
2018-01-01 12:00:00,18,9,0.0,8.7,4,5,97,04:58 PM,06:07 AM,07:20 AM,05:32 PM,2,20,20,20,5,0,29,0.0,1014,18,10,245,5
2018-01-01 18:00:00,18,9,0.0,8.7,4,4,97,04:58 PM,06:07 AM,07:20 AM,05:32 PM,2,13,13,13,10,0,49,0.0,1017,11,10,40,5
2018-01-02 00:00:00,18,8,0.0,8.7,4,1,100,06:01 PM,07:13 AM,07:21 AM,05:33 PM,-0,12,11,12,7,0,44,0.0,1018,9,10,62,4
2018-01-02 06:00:00,18,8,0.0,8.7,4,3,100,06:01 PM,07:13 AM,07:21 AM,05:33 PM,-1,12,12,12,4,0,40,0.0,1018,10,10,31,3
2018-01-02 12:00:00,18,8,0.0,8.7,4,5,100,06:01 PM,07:13 AM,07:21 AM,05:33 PM,1,19,19,19,8,0,28,0.0,1015,18,10,270,7
2018-01-02 18:00:00,18,8,0.0,8.7,4,4,100,06:01 PM,07:13 AM,07:21 AM,05:33 PM,-0,11,11,11,11,6,45,0.0,1018,10,10,29,5
2018-01-03 00:00:00,19,9,0.0,8.7,4,1,89,07:09 PM,08:13 AM,07:21 AM,05:33 PM,-2,11,11,11,9,2,42,0.0,1018,9,10,36,4
2018-01-03 06:00:00,19,9,0.0,8.7,4,3,89,07:09 PM,08:13 AM,07:21 AM,05:33 PM,0,13,12,13,5,0,43,0.0,1017,9,10,349,4
2018-01-03 12:00:00,19,9,0.0,8.7,4,5,89,07:09 PM,08:13 AM,07:21 AM,05:33 PM,-0,19,19,19,14,2,28,0.0,1015,19,10,300,12
2018-01-03 18:00:00,19,9,0.0,8.7,4,4,89,07:09 PM,08:13 AM,07:21 AM,05:33 PM,0,11,12,11,13,0,46,0.0,1018,10,10,356,6
2018-01-04 00:00:00,18,7,0.0,8.7,4,1,81,08:16 PM,09:08 AM,07:21 AM,05:34 PM,-3,11,11,11,9,0,38,0.0,1018,8,10,11,5
2018-01-04 06:00:00,18,7,0.0,8.7,4,3,81,08:16 PM,09:08 AM,07:21 AM,05:34 PM,-2,12,12,12,4,0,37,0.0,1018,9,10,24,3
2018-01-04 12:00:00,18,7,0.0,8.7,4,5,81,08:16 PM,09:08 AM,07:21 AM,05:34 PM,-1,20,20,20,7,0,26,0.0,1015,18,10,263,6
2018-01-04 18:00:00,18,7,0.0,8.7,4,4,81,08:16 PM,09:08 AM,07:21 AM,05:34 PM,-2,11,11,11,10,39,41,0.0,1018,11,10,16,5
2018-01-05 00:00:00,17,8,0.0,8.7,4,1,74,09:23 PM,09:57 AM,07:21 AM,05:35 PM,-3,12,12,12,8,2,35,0.0,1018,11,10,92,5
2018-01-05 06:00:00,17,8,0.0,8.7,4,3,74,09:23 PM,09:57 AM,07:21 AM,05:35 PM,-1,11,11,11,4,2,42,0.0,1019,9,10,66,3
