date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,32,27,0.0,12.7,7,1,97,05:23 PM,04:32 AM,05:41 AM,06:09 PM,23,32,32,28,6,29,72,0.0,1008,28,10,265,4
2018-01-01 06:00:00,32,27,0.0,12.7,7,7,97,05:23 PM,04:32 AM,05:41 AM,06:09 PM,23,33,33,29,5,9,68,0.0,1008,28,10,222,5
2018-01-01 12:00:00,32,27,0.0,12.7,7,8,97,05:23 PM,04:32 AM,05:41 AM,06:09 PM,22,37,37,33,14,8,52,0.0,1006,32,10,325,12
2018-01-01 18:00:00,32,27,0.0,12.7,7,1,97,05:23 PM,04:32 AM,05:41 AM,06:09 PM,23,33,33,30,21,33,66,0.0,1007,30,10,265,14
2018-01-02 00:00:00,32,27,0.0,12.7,7,1,100,06:27 PM,05:35 AM,05:41 AM,06:10 PM,22,31,31,28,9,18,70,0.0,1007,28,10,222,6
2018-01-02 06:00:00,32,27,0.0,12.7,7,7,100,06:27 PM,05:35 AM,05:41 AM,06:10 PM,22,31,31,28,9,24,68,0.0,1008,28,10,231,8
2018-01-02 12:00:00,32,27,0.0,12.7,7,8,100,06:27 PM,05:35 AM,05:41 AM,06:10 PM,22,37,37,33,12,22,53,0.0,1007,32,10,319,10
2018-01-02 18:00:00,32,27,0.0,12.7,7,1,100,06:27 PM,05:35 AM,05:41 AM,06:10 PM,23,33,33,29,8,35,70,0.0,1007,29,10,322,6
2018-01-03 00:00:00,31,27,0.0,12.7,7,1,89,07:29 PM,06:39 AM,05:42 AM,06:10 PM,23,31,31,28,5,44,73,0.0,1008,27,10,142,4
2018-01-03 06:00:00,31,27,0.0,12.7,7,7,89,07:29 PM,06:39 AM,05:42 AM,06:10 PM,23,33,33,29,4,19,70,0.0,1008,28,10,138,3
2018-01-03 12:00:00,31,27,0.0,12.7,7,8,89,07:29 PM,06:39 AM,05:42 AM,06:10 PM,22,36,36,32,10,18,59,0.0,1007,31,10,1,9
2018-01-03 18:00:00,31,27,0.0,12.7,7,1,89,07:29 PM,06:39 AM,05:42 AM,06:10 PM,24,32,32,28,3,66,76,0.0,1007,28,10,83,2
2018-01-04 00:00:00,32,27,0.0,12.7,7,1,81,08:27 PM,07:42 AM,05:42 AM,06:11 PM,23,31,31,28,13,46,76,0.0,1008,27,10,53,9
2018-01-04 06:00:00,32,27,0.0,12.7,7,7,81,08:27 PM,07:42 AM,05:42 AM,06:11 PM,23,33,33,29,4,29,74,0.0,1009,28,10,208,4
2018-01-04 12:00:00,32,27,0.0,12.7,7,8,81,08:27 PM,07:42 AM,05:42 AM,06:11 PM,22,36,36,32,15,45,56,0.0,1008,32,10,287,13
2018-01-04 18:00:00,32,27,0.0,12.7,7,1,81,08:27 PM,07:42 AM,05:42 AM,06:11 PM,23,32,32,28,16,52,74,0.0,1008,28,10,211,11
2018-01-05 00:00:00,31,27,0.0,12.7,7,1,74,09:22 PM,08:41 AM,05:43 AM,06:11 PM,22,30,30,28,16,45,72,0.0,1009,27,10,222,10
2018-01-05 06:00:00,31,27,0.0,12.7,7,7,74,09:22 PM,08:41 AM,05:43 AM,06:11 PM,22,32,32,29,9,32,66,0.0,1009,28,10,237,7
2018-01-05 12:00:00,31,27,0.0,12.7,7,7,74,09:22 PM,08:41 AM,05:43 AM,06:11 PM,22,33,33,30,24,45,63,0.0,1009,30,10,246,19
2018-01-05 18:00:00,31,27,0.0,12.7,7,1,74,09:22 PM,08:41 AM,05:43 AM,06:11 PM,22,30,30,27,20,46,74,0.0,1009,27,10,228,14
2018-01-06 00:00:00,28,26,0.0,12.7,6,1,67,10:12 PM,09:37 AM,05:43 AM,06:11 PM,21,29,29,27,11,64,72,0.0,1010,27,10,222,7
2018-01-06 06:00:00,28,26,0.0,12.7,6,7,67,10:12 PM,09:37 AM,05:43 AM,06:11 PM,22,28,28,26,26,48,80,0.0,1009,26,10,238,18
2018-01-06 12:00:00,28,26,0.0,12.7,6,6,67,10:12 PM,09:37 AM,05:43 AM,06:11 PM,22,31,31,28,17,67,72,0.0,1009,28,10,255,14
2018-01-06 18:00:00,28,26,0.0,12.7,6,1,67,10:12 PM,09:37 AM,05:43 AM,06:11 PM,22,31,31,28,22,49,73,0.0,1009,27,10,238,14
