date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,23,0.0,11.6,7,1,97,05:35 PM,05:26 AM,06:33 AM,06:13 PM,20,26,26,24,13,17,78,0.0,1010,23,10,4,9
2018-01-01 06:00:00,28,23,0.0,11.6,7,1,97,05:35 PM,05:26 AM,06:33 AM,06:13 PM,20,27,27,26,9,20,71,0.0,1011,25,10,15,8
2018-01-01 12:00:00,28,23,0.0,11.6,7,6,97,05:35 PM,05:26 AM,06:33 AM,06:13 PM,21,29,29,27,10,29,67,0.2,1008,27,9,160,8
2018-01-01 18:00:00,28,23,0.0,11.6,7,6,97,05:35 PM,05:26 AM,06:33 AM,06:13 PM,22,28,28,26,4,15,79,0.1,1009,25,10,208,3
2018-01-02 00:00:00,27,24,0.0,11.6,7,1,100,06:38 PM,06:30 AM,06:34 AM,06:14 PM,22,27,27,25,7,32,84,0.1,1009,24,10,299,5
2018-01-02 06:00:00,27,24,0.0,11.6,7,1,100,06:38 PM,06:30 AM,06:34 AM,06:14 PM,22,28,28,26,6,43,78,0.5,1010,25,9,343,5
2018-01-02 12:00:00,27,24,0.0,11.6,7,6,100,06:38 PM,06:30 AM,06:34 AM,06:14 PM,22,30,30,27,9,44,73,0.7,1008,27,9,144,7
2018-01-02 18:00:00,27,24,0.0,11.6,7,5,100,06:38 PM,06:30 AM,06:34 AM,06:14 PM,22,28,28,25,8,48,82,0.4,1010,25,9,110,6
2018-01-03 00:00:00,28,24,0.0,10.2,7,1,89,07:43 PM,07:33 AM,06:34 AM,06:14 PM,22,27,27,25,6,21,82,0.0,1009,24,10,36,5
2018-01-03 06:00:00,28,24,0.0,10.2,7,1,89,07:43 PM,07:33 AM,06:34 AM,06:14 PM,21,27,27,25,12,23,75,0.0,1011,25,10,37,9
2018-01-03 12:00:00,28,24,0.0,10.2,7,6,89,07:43 PM,07:33 AM,06:34 AM,06:14 PM,22,30,30,27,16,40,71,0.5,1009,27,9,78,11
2018-01-03 18:00:00,28,24,0.0,10.2,7,5,89,07:43 PM,07:33 AM,06:34 AM,06:14 PM,22,28,28,25,12,63,82,0.4,1011,25,10,40,8
2018-01-04 00:00:00,28,24,0.0,11.6,6,1,81,08:44 PM,08:33 AM,06:34 AM,06:15 PM,21,26,26,24,21,52,82,0.3,1011,24,10,43,14
2018-01-04 06:00:00,28,24,0.0,11.6,6,1,81,08:44 PM,08:33 AM,06:34 AM,06:15 PM,20,26,26,24,28,17,78,0.0,1013,24,10,33,20
2018-01-04 12:00:00,28,24,0.0,11.6,6,7,81,08:44 PM,08:33 AM,06:34 AM,06:15 PM,20,30,30,28,25,7,62,0.0,1010,28,10,60,19
2018-01-04 18:00:00,28,24,0.0,11.6,6,6,81,08:44 PM,08:33 AM,06:34 AM,06:15 PM,20,27,27,25,25,34,76,0.0,1011,25,10,63,16
2018-01-05 00:00:00,27,23,0.0,11.6,6,1,74,09:42 PM,09:29 AM,06:35 AM,06:15 PM,19,25,25,24,28,9,76,0.0,1011,24,10,39,18
2018-01-05 06:00:00,27,23,0.0,11.6,6,1,74,09:42 PM,09:29 AM,06:35 AM,06:15 PM,18,26,26,24,27,8,69,0.0,1012,24,10,36,21
2018-01-05 12:00:00,27,23,0.0,11.6,6,7,74,09:42 PM,09:29 AM,06:35 AM,06:15 PM,19,29,29,27,27,6,60,0.0,1009,27,10,51,22
2018-01-05 18:00:00,27,23,0.0,11.6,6,6,74,09:42 PM,09:29 AM,06:35 AM,06:15 PM,19,26,26,25,20,24,73,0.0,1010,24,10,44,13
2018-01-06 00:00:00,27,22,0.0,11.6,6,1,67,10:36 PM,10:19 AM,06:35 AM,06:16 PM,19,25,25,23,30,32,77,0.1,1010,23,10,47,20
2018-01-06 06:00:00,27,22,0.0,11.6,6,1,67,10:36 PM,10:19 AM,06:35 AM,06:16 PM,19,25,25,23,28,21,75,0.0,1012,23,10,41,21
2018-01-06 12:00:00,27,22,0.0,11.6,6,7,67,10:36 PM,10:19 AM,06:35 AM,06:16 PM,19,28,28,27,21,33,64,0.0,1009,26,10,68,16
2018-01-06 18:00:00,27,22,0.0,11.6,6,6,67,10:36 PM,10:19 AM,06:35 AM,06:16 PM,20,26,26,24,21,18,77,0.0,1010,24,10,68,13
2018-01-07 00:00:00,27,22,0.0,11.6,6,1,59,11:28 PM,11:07 AM,06:35 AM,06:16 PM,19,25,25,23,19,34,80,0.0,1011,23,10,32,12
2018-01-07 06:00:00,27,22,0.0,11.6,6,1,59,11:28 PM,11:07 AM,06:35 AM,06:16 PM,19,26,26,24,19,23,74,0.0,1012,24,10,34,15
2018-01-07 12:00:00,27,22,0.0,11.6,6,7,59,11:28 PM,11:07 AM,06:35 AM,06:16 PM,19,29,29,28,10,19,59,0.0,1010,27,10,65,9
2018-01-07 18:00:00,27,22,0.0,11.6,6,6,59,11:28 PM,11:07 AM,06:35 AM,06:16 PM,20,26,26,24,12,24,77,0.0,1011,24,10,58,8
2018-01-08 00:00:00,28,22,0.0,11.6,6,1,52,No moonrise,11:52 AM,06:36 AM,06:17 PM,19,25,25,23,26,28,82,0.1,1011,23,10,38,17
2018-01-08 06:00:00,28,22,0.0,11.6,6,1,52,No moonrise,11:52 AM,06:36 AM,06:17 PM,16,25,25,23,29,5,62,0.0,1012,23,10,37,21
2018-01-08 12:00:00,28,22,0.0,11.6,6,7,52,No moonrise,11:52 AM,06:36 AM,06:17 PM,17,28,28,28,24,3,51,0.0,1011,28,10,59,19
2018-01-08 18:00:00,28,22,0.0,11.6,6,6,52,No moonrise,11:52 AM,06:36 AM,06:17 PM,19,26,26,24,35,3,74,0.0,1011,24,10,55,21
2018-01-09 00:00:00,28,22,0.0,11.6,6,1,45,12:17 AM,12:34 PM,06:36 AM,06:17 PM,18,25,25,23,32,4,75,0.0,1012,23,10,31,20
2018-01-09 06:00:00,28,22,0.0,11.6,6,1,45,12:17 AM,12:34 PM,06:36 AM,06:17 PM,18,25,25,23,27,4,71,0.0,1014,23,10,31,21
2018-01-09 12:00:00,28,22,0.0,11.6,6,7,45,12:17 AM,12:34 PM,06:36 AM,06:17 PM,20,31,31,29,8,7,56,0.0,1011,28,10,47,7
2018-01-09 18:00:00,28,22,0.0,11.6,6,6,45,12:17 AM,12:34 PM,06:36 AM,06:17 PM,20,27,27,25,17,60,73,0.1,1013,25,10,29,12
2018-01-10 00:00:00,27,24,0.0,11.6,6,1,38,01:05 AM,01:17 PM,06:36 AM,06:18 PM,20,26,26,24,20,72,79,0.3,1012,24,5,17,14
2018-01-10 06:00:00,27,24,0.0,11.6,6,1,38,01:05 AM,01:17 PM,06:36 AM,06:18 PM,21,27,27,25,24,59,78,0.2,1014,25,10,23,18
