date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,8,0.0,8.7,4,1,97,05:03 PM,06:15 AM,07:28 AM,05:37 PM,6,15,15,15,1,0,56,0.0,1015,9,10,53,1
2018-01-01 06:00:00,20,8,0.0,8.7,4,3,97,05:03 PM,06:15 AM,07:28 AM,05:37 PM,7,15,15,15,3,0,58,0.0,1015,10,10,121,3
2018-01-01 12:00:00,20,8,0.0,8.7,4,6,97,05:03 PM,06:15 AM,07:28 AM,05:37 PM,6,25,25,25,6,0,31,0.0,1013,20,10,240,5
2018-01-01 18:00:00,20,8,0.0,8.7,4,4,97,05:03 PM,06:15 AM,07:28 AM,05:37 PM,6,16,16,16,7,0,52,0.0,1015,12,10,74,4
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:07 PM,07:21 AM,07:28 AM,05:37 PM,8,15,14,15,4,0,64,0.0,1015,9,10,118,3
2018-01-02 06:00:00,20,8,0.0,8.7,4,3,100,06:07 PM,07:21 AM,07:28 AM,05:37 PM,8,14,14,14,3,0,65,0.0,1016,9,10,104,3
2018-01-02 12:00:00,20,8,0.0,8.7,4,6,100,06:07 PM,07:21 AM,07:28 AM,05:37 PM,4,22,23,22,7,5,32,0.0,1014,20,10,272,6
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:07 PM,07:21 AM,07:28 AM,05:37 PM,4,13,13,13,5,10,55,0.0,1016,11,10,30,3
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:14 PM,08:21 AM,07:28 AM,05:38 PM,8,14,14,14,3,0,66,0.0,1015,9,10,92,2
2018-01-03 06:00:00,20,8,0.0,8.7,4,3,89,07:14 PM,08:21 AM,07:28 AM,05:38 PM,8,15,15,15,2,0,65,0.0,1016,9,10,274,2
2018-01-03 12:00:00,20,8,0.0,8.7,4,6,89,07:14 PM,08:21 AM,07:28 AM,05:38 PM,6,24,24,24,8,2,32,0.0,1015,20,10,304,7
