date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,23,12,0.0,8.7,5,1,97,05:06 PM,05:58 AM,07:10 AM,05:41 PM,4,13,13,13,14,4,53,0.0,1015,13,10,82,6
2018-01-01 06:00:00,23,12,0.0,8.7,5,4,97,05:06 PM,05:58 AM,07:10 AM,05:41 PM,7,15,15,15,8,5,57,0.0,1016,14,10,132,5
2018-01-01 12:00:00,23,12,0.0,8.7,5,6,97,05:06 PM,05:58 AM,07:10 AM,05:41 PM,3,23,23,23,9,5,26,0.0,1013,23,10,275,8
2018-01-01 18:00:00,23,12,0.0,8.7,5,5,97,05:06 PM,05:58 AM,07:10 AM,05:41 PM,3,17,17,17,16,3,40,0.0,1015,17,10,264,8
2018-01-02 00:00:00,20,11,0.0,8.7,4,1,100,06:10 PM,07:04 AM,07:10 AM,05:42 PM,5,11,12,11,19,0,61,0.0,1015,12,10,41,9
2018-01-02 06:00:00,20,11,0.0,8.7,4,4,100,06:10 PM,07:04 AM,07:10 AM,05:42 PM,5,14,14,14,8,0,56,0.0,1017,12,10,29,6
2018-01-02 12:00:00,20,11,0.0,8.7,4,6,100,06:10 PM,07:04 AM,07:10 AM,05:42 PM,-3,20,20,20,15,0,20,0.0,1014,20,10,344,13
2018-01-02 18:00:00,20,11,0.0,8.7,4,4,100,06:10 PM,07:04 AM,07:10 AM,05:42 PM,-1,13,14,13,20,0,37,0.0,1016,14,10,57,10
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:16 PM,08:05 AM,07:11 AM,05:42 PM,0,13,13,13,10,0,43,0.0,1017,11,10,24,5
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:16 PM,08:05 AM,07:11 AM,05:42 PM,2,14,14,14,1,0,44,0.0,1018,12,10,150,1
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:16 PM,08:05 AM,07:11 AM,05:42 PM,-2,22,22,22,9,0,21,0.0,1015,21,10,342,8
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:16 PM,08:05 AM,07:11 AM,05:42 PM,1,15,15,15,10,0,38,0.0,1016,14,10,71,5
2018-01-04 00:00:00,22,10,0.0,8.7,4,1,81,08:22 PM,09:01 AM,07:11 AM,05:43 PM,3,14,14,14,7,0,47,0.0,1016,11,10,71,3
2018-01-04 06:00:00,22,10,0.0,8.7,4,4,81,08:22 PM,09:01 AM,07:11 AM,05:43 PM,4,15,15,15,5,0,47,0.0,1018,13,10,103,4
2018-01-04 12:00:00,22,10,0.0,8.7,4,6,81,08:22 PM,09:01 AM,07:11 AM,05:43 PM,-1,23,23,23,9,0,21,0.0,1014,22,10,198,8
2018-01-04 18:00:00,22,10,0.0,8.7,4,4,81,08:22 PM,09:01 AM,07:11 AM,05:43 PM,0,16,16,16,7,0,34,0.0,1015,14,10,95,3
2018-01-05 00:00:00,22,10,0.0,8.7,4,1,74,09:27 PM,09:51 AM,07:11 AM,05:44 PM,-3,11,12,11,22,0,36,0.0,1016,12,10,85,10
2018-01-05 06:00:00,22,10,0.0,8.7,4,4,74,09:27 PM,09:51 AM,07:11 AM,05:44 PM,1,12,12,12,11,0,47,0.0,1017,12,10,117,7
2018-01-05 12:00:00,22,10,0.0,8.7,4,6,74,09:27 PM,09:51 AM,07:11 AM,05:44 PM,2,24,24,24,4,0,23,0.0,1014,22,10,29,4
2018-01-05 18:00:00,22,10,0.0,8.7,4,5,74,09:27 PM,09:51 AM,07:11 AM,05:44 PM,1,15,15,15,18,0,39,0.0,1015,15,10,74,9
