date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,9,0.0,8.7,4,1,97,05:00 PM,06:05 AM,07:17 AM,05:34 PM,5,15,15,15,3,0,52,0.0,1015,11,10,282,2
2018-01-01 06:00:00,20,9,0.0,8.7,4,4,97,05:00 PM,06:05 AM,07:17 AM,05:34 PM,6,15,15,15,2,0,57,0.0,1015,11,10,228,2
2018-01-01 12:00:00,20,9,0.0,8.7,4,6,97,05:00 PM,06:05 AM,07:17 AM,05:34 PM,4,23,24,23,3,0,28,0.0,1013,20,10,261,3
2018-01-01 18:00:00,20,9,0.0,8.7,4,4,97,05:00 PM,06:05 AM,07:17 AM,05:34 PM,4,16,16,16,6,0,47,0.0,1015,13,10,351,3
2018-01-02 00:00:00,20,8,0.0,8.7,4,1,100,06:04 PM,07:10 AM,07:18 AM,05:35 PM,4,14,14,14,6,0,54,0.0,1015,10,10,28,4
2018-01-02 06:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:10 AM,07:18 AM,05:35 PM,6,14,14,14,5,0,58,0.0,1016,10,10,296,4
2018-01-02 12:00:00,20,8,0.0,8.7,4,5,100,06:04 PM,07:10 AM,07:18 AM,05:35 PM,3,22,23,22,9,0,29,0.0,1014,20,10,297,8
2018-01-02 18:00:00,20,8,0.0,8.7,4,4,100,06:04 PM,07:10 AM,07:18 AM,05:35 PM,4,15,14,15,8,2,51,0.0,1016,12,10,298,4
2018-01-03 00:00:00,20,8,0.0,8.7,4,1,89,07:11 PM,08:11 AM,07:18 AM,05:36 PM,5,13,13,13,7,0,58,0.0,1016,10,10,309,5
2018-01-03 06:00:00,20,8,0.0,8.7,4,3,89,07:11 PM,08:11 AM,07:18 AM,05:36 PM,5,11,12,11,11,0,61,0.0,1016,10,10,289,8
2018-01-03 12:00:00,20,8,0.0,8.7,4,6,89,07:11 PM,08:11 AM,07:18 AM,05:36 PM,3,21,21,21,14,0,32,0.0,1015,20,10,309,12
2018-01-03 18:00:00,20,8,0.0,8.7,4,4,89,07:11 PM,08:11 AM,07:18 AM,05:36 PM,4,13,13,13,19,0,53,0.0,1016,12,10,292,9
2018-01-04 00:00:00,20,8,0.0,8.7,4,1,81,08:18 PM,09:06 AM,07:18 AM,05:36 PM,3,10,11,10,15,0,58,0.0,1016,9,10,311,8
2018-01-04 06:00:00,20,8,0.0,8.7,4,3,81,08:18 PM,09:06 AM,07:18 AM,05:36 PM,5,13,13,13,6,0,59,0.0,1016,10,10,298,5
2018-01-04 12:00:00,20,8,0.0,8.7,4,6,81,08:18 PM,09:06 AM,07:18 AM,05:36 PM,2,22,23,22,9,0,27,0.0,1014,20,10,290,8
2018-01-04 18:00:00,20,8,0.0,8.7,4,4,81,08:18 PM,09:06 AM,07:18 AM,05:36 PM,3,15,15,15,8,1,44,0.0,1016,12,10,349,4
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:24 PM,09:55 AM,07:18 AM,05:37 PM,3,14,13,14,6,0,51,0.0,1016,9,10,92,4
2018-01-05 06:00:00,19,8,0.0,8.7,4,3,74,09:24 PM,09:55 AM,07:18 AM,05:37 PM,3,12,12,12,3,4,57,0.0,1016,10,10,129,2
2018-01-05 12:00:00,19,8,0.0,8.7,4,5,74,09:24 PM,09:55 AM,07:18 AM,05:37 PM,3,21,23,21,6,2,29,0.0,1014,19,10,301,5
2018-01-05 18:00:00,19,8,0.0,8.7,4,4,74,09:24 PM,09:55 AM,07:18 AM,05:37 PM,3,14,14,14,13,0,46,0.0,1015,12,10,330,6
2018-01-06 00:00:00,20,8,0.0,8.7,4,1,67,10:26 PM,10:38 AM,07:18 AM,05:38 PM,3,11,12,11,14,0,55,0.0,1015,9,10,313,8
2018-01-06 06:00:00,20,8,0.0,8.7,4,3,67,10:26 PM,10:38 AM,07:18 AM,05:38 PM,4,12,12,12,7,0,60,0.0,1015,9,10,305,6
2018-01-06 12:00:00,20,8,0.0,8.7,4,5,67,10:26 PM,10:38 AM,07:18 AM,05:38 PM,3,20,20,20,16,0,33,0.0,1013,20,10,302,14
2018-01-06 18:00:00,20,8,0.0,8.7,4,4,67,10:26 PM,10:38 AM,07:18 AM,05:38 PM,4,13,13,13,16,0,55,0.0,1015,12,10,313,8
2018-01-07 00:00:00,20,8,0.0,8.7,4,1,59,11:26 PM,11:17 AM,07:18 AM,05:39 PM,4,9,10,9,17,0,63,0.0,1015,8,10,306,9
2018-01-07 06:00:00,20,8,0.0,8.7,4,3,59,11:26 PM,11:17 AM,07:18 AM,05:39 PM,1,7,9,7,30,0,58,0.0,1015,9,10,292,14
2018-01-07 12:00:00,20,8,0.0,8.7,4,5,59,11:26 PM,11:17 AM,07:18 AM,05:39 PM,3,20,20,20,20,0,32,0.0,1014,20,10,292,17
2018-01-07 18:00:00,20,8,0.0,8.7,4,4,59,11:26 PM,11:17 AM,07:18 AM,05:39 PM,2,12,13,12,22,0,47,0.0,1015,12,10,295,10
2018-01-08 00:00:00,20,7,0.0,8.7,4,1,52,No moonrise,11:54 AM,07:19 AM,05:39 PM,1,9,10,9,18,0,54,0.0,1015,8,10,284,9
