date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,33,21,0.0,11.6,7,1,97,05:39 PM,05:44 AM,06:51 AM,06:16 PM,19,22,25,22,12,27,84,0.0,1011,22,10,62,6
2018-01-01 06:00:00,33,21,0.0,11.6,7,1,97,05:39 PM,05:44 AM,06:51 AM,06:16 PM,18,26,26,24,10,12,68,0.0,1012,24,10,53,8
2018-01-01 12:00:00,33,21,0.0,11.6,7,8,97,05:39 PM,05:44 AM,06:51 AM,06:16 PM,17,32,32,31,16,0,46,0.0,1008,31,10,266,14
2018-01-01 18:00:00,33,21,0.0,11.6,7,6,97,05:39 PM,05:44 AM,06:51 AM,06:16 PM,20,27,27,25,10,4,75,0.0,1010,24,10,299,6
2018-01-02 00:00:00,32,21,0.0,11.6,7,1,100,06:42 PM,06:48 AM,06:52 AM,06:16 PM,19,22,25,22,11,10,84,0.0,1010,22,10,73,6
2018-01-02 06:00:00,32,21,0.0,11.6,7,1,100,06:42 PM,06:48 AM,06:52 AM,06:16 PM,19,26,26,24,10,13,74,0.0,1011,24,10,70,8
2018-01-02 12:00:00,32,21,0.0,11.6,7,8,100,06:42 PM,06:48 AM,06:52 AM,06:16 PM,18,32,32,31,15,3,46,0.0,1009,31,10,270,13
2018-01-02 18:00:00,32,21,0.0,11.6,7,6,100,06:42 PM,06:48 AM,06:52 AM,06:16 PM,20,27,27,25,10,3,73,0.0,1010,24,10,335,6
2018-01-03 00:00:00,32,21,0.0,11.6,7,1,89,07:47 PM,07:50 AM,06:52 AM,06:17 PM,20,22,25,22,11,5,85,0.0,1010,22,10,55,6
2018-01-03 06:00:00,32,21,0.0,11.6,7,1,89,07:47 PM,07:50 AM,06:52 AM,06:17 PM,18,26,26,25,7,22,66,0.0,1013,24,10,79,6
2018-01-03 12:00:00,32,21,0.0,11.6,7,8,89,07:47 PM,07:50 AM,06:52 AM,06:17 PM,18,32,32,30,16,8,48,0.0,1010,30,10,260,14
2018-01-03 18:00:00,32,21,0.0,11.6,7,6,89,07:47 PM,07:50 AM,06:52 AM,06:17 PM,20,27,27,25,9,4,75,0.0,1012,24,10,318,5
2018-01-04 00:00:00,33,21,0.0,11.6,7,1,81,08:49 PM,08:49 AM,06:52 AM,06:17 PM,20,25,25,22,13,14,85,0.0,1012,22,10,55,7
2018-01-04 06:00:00,33,21,0.0,11.6,7,1,81,08:49 PM,08:49 AM,06:52 AM,06:17 PM,19,26,26,25,10,28,70,0.0,1014,24,10,51,7
2018-01-04 12:00:00,33,21,0.0,11.6,7,8,81,08:49 PM,08:49 AM,06:52 AM,06:17 PM,18,33,33,31,18,5,46,0.0,1011,31,10,278,15
2018-01-04 18:00:00,33,21,0.0,11.6,7,6,81,08:49 PM,08:49 AM,06:52 AM,06:17 PM,21,27,27,25,17,7,77,0.0,1011,25,10,331,10
2018-01-05 00:00:00,34,21,0.0,11.6,7,1,74,09:49 PM,09:44 AM,06:53 AM,06:18 PM,21,23,25,23,10,10,91,0.0,1011,22,10,60,6
2018-01-05 06:00:00,34,21,0.0,11.6,7,1,74,09:49 PM,09:44 AM,06:53 AM,06:18 PM,18,26,26,24,11,16,68,0.0,1012,24,10,70,8
2018-01-05 12:00:00,34,21,0.0,11.6,7,8,74,09:49 PM,09:44 AM,06:53 AM,06:18 PM,18,33,33,31,17,15,46,0.0,1009,31,10,228,14
2018-01-05 18:00:00,34,21,0.0,11.6,7,6,74,09:49 PM,09:44 AM,06:53 AM,06:18 PM,21,27,27,25,8,17,77,0.0,1011,24,10,270,4
2018-01-06 00:00:00,34,22,0.0,11.6,7,1,67,10:45 PM,10:33 AM,06:53 AM,06:18 PM,21,25,25,22,12,18,90,0.0,1010,22,10,63,7
