date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,04:57 PM,05:54 AM,07:06 AM,05:32 PM,8,18,18,18,6,0,53,0.0,1013,13,10,290,5
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,04:57 PM,05:54 AM,07:06 AM,05:32 PM,9,17,17,17,6,0,57,0.0,1015,13,10,328,5
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,04:57 PM,05:54 AM,07:06 AM,05:32 PM,3,23,23,23,7,4,27,0.0,1012,21,10,337,6
2018-01-01 18:00:00,21,11,0.0,8.7,5,5,97,04:57 PM,05:54 AM,07:06 AM,05:32 PM,3,17,17,17,8,7,41,0.0,1013,15,10,0,4
2018-01-02 00:00:00,19,10,0.0,8.7,4,1,100,06:00 PM,06:59 AM,07:07 AM,05:32 PM,1,14,13,14,9,10,43,0.0,1013,12,10,325,5
2018-01-02 06:00:00,19,10,0.0,8.7,4,4,100,06:00 PM,06:59 AM,07:07 AM,05:32 PM,4,14,15,14,9,0,48,0.0,1015,11,10,315,8
2018-01-02 12:00:00,19,10,0.0,8.7,4,5,100,06:00 PM,06:59 AM,07:07 AM,05:32 PM,4,23,24,23,6,0,29,0.0,1014,19,10,301,5
2018-01-02 18:00:00,19,10,0.0,8.7,4,4,100,06:00 PM,06:59 AM,07:07 AM,05:32 PM,1,16,16,16,11,0,36,0.0,1014,14,10,297,7
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:07 PM,08:01 AM,07:07 AM,05:33 PM,3,14,14,14,12,0,46,0.0,1014,11,10,308,9
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:07 PM,08:01 AM,07:07 AM,05:33 PM,5,14,14,14,9,0,54,0.0,1016,11,10,270,8
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:07 PM,08:01 AM,07:07 AM,05:33 PM,5,23,24,23,11,0,30,0.0,1014,21,10,303,10
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:07 PM,08:01 AM,07:07 AM,05:33 PM,5,15,15,15,17,0,51,0.0,1014,13,10,275,9
2018-01-04 00:00:00,21,9,0.0,8.7,4,1,81,08:14 PM,08:56 AM,07:07 AM,05:34 PM,4,13,14,13,12,0,53,0.0,1015,10,10,305,9
2018-01-04 06:00:00,21,9,0.0,8.7,4,4,81,08:14 PM,08:56 AM,07:07 AM,05:34 PM,6,14,15,14,8,0,55,0.0,1016,11,10,270,7
2018-01-04 12:00:00,21,9,0.0,8.7,4,6,81,08:14 PM,08:56 AM,07:07 AM,05:34 PM,4,24,24,24,8,0,26,0.0,1014,21,10,279,7
2018-01-04 18:00:00,21,9,0.0,8.7,4,4,81,08:14 PM,08:56 AM,07:07 AM,05:34 PM,4,17,17,17,1,0,42,0.0,1014,14,10,192,0
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:19 PM,09:46 AM,07:07 AM,05:35 PM,5,16,16,16,6,0,48,0.0,1015,11,10,7,5
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:19 PM,09:46 AM,07:07 AM,05:35 PM,5,15,15,15,6,0,50,0.0,1016,11,10,214,5
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:19 PM,09:46 AM,07:07 AM,05:35 PM,5,23,24,23,8,0,31,0.0,1014,20,10,302,7
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:19 PM,09:46 AM,07:07 AM,05:35 PM,6,17,17,17,7,0,49,0.0,1014,13,10,315,4
2018-01-06 00:00:00,21,9,0.0,8.7,4,1,67,10:20 PM,10:29 AM,07:08 AM,05:35 PM,6,15,15,15,7,0,55,0.0,1013,11,10,306,6
2018-01-06 06:00:00,21,9,0.0,8.7,4,4,67,10:20 PM,10:29 AM,07:08 AM,05:35 PM,5,14,14,14,8,0,55,0.0,1014,11,10,301,7
2018-01-06 12:00:00,21,9,0.0,8.7,4,6,67,10:20 PM,10:29 AM,07:08 AM,05:35 PM,5,23,24,23,12,0,30,0.0,1012,21,10,296,10
2018-01-06 18:00:00,21,9,0.0,8.7,4,4,67,10:20 PM,10:29 AM,07:08 AM,05:35 PM,6,17,17,17,10,0,48,0.0,1013,14,10,330,6
2018-01-07 00:00:00,20,9,0.0,8.7,4,1,59,11:20 PM,11:10 AM,07:08 AM,05:36 PM,5,14,14,14,11,0,54,0.0,1013,11,10,311,8
2018-01-07 06:00:00,20,9,0.0,8.7,4,4,59,11:20 PM,11:10 AM,07:08 AM,05:36 PM,5,11,13,11,16,0,59,0.0,1015,11,10,288,12
2018-01-07 12:00:00,20,9,0.0,8.7,4,6,59,11:20 PM,11:10 AM,07:08 AM,05:36 PM,4,21,23,21,17,0,32,0.0,1013,20,10,292,15
2018-01-07 18:00:00,20,9,0.0,8.7,4,4,59,11:20 PM,11:10 AM,07:08 AM,05:36 PM,4,15,15,15,17,0,47,0.0,1014,13,10,288,9
2018-01-08 00:00:00,21,9,0.0,8.7,4,1,52,No moonrise,11:47 AM,07:08 AM,05:37 PM,3,12,13,12,17,0,50,0.0,1014,10,10,281,10
2018-01-08 06:00:00,21,9,0.0,8.7,4,4,52,No moonrise,11:47 AM,07:08 AM,05:37 PM,2,12,13,12,14,0,50,0.0,1016,10,10,283,11
2018-01-08 12:00:00,21,9,0.0,8.7,4,6,52,No moonrise,11:47 AM,07:08 AM,05:37 PM,3,22,23,22,14,0,28,0.0,1016,21,10,289,12
