date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,11,0.0,8.7,5,1,97,04:52 PM,05:45 AM,06:57 AM,05:28 PM,10,18,18,18,6,0,56,0.0,1013,13,10,318,5
2018-01-01 06:00:00,21,11,0.0,8.7,5,4,97,04:52 PM,05:45 AM,06:57 AM,05:28 PM,12,18,18,18,6,0,65,0.0,1015,13,10,3,5
2018-01-01 12:00:00,21,11,0.0,8.7,5,6,97,04:52 PM,05:45 AM,06:57 AM,05:28 PM,8,25,25,25,10,0,34,0.0,1013,21,10,350,9
2018-01-01 18:00:00,21,11,0.0,8.7,5,4,97,04:52 PM,05:45 AM,06:57 AM,05:28 PM,9,19,19,19,2,0,52,0.0,1013,14,10,234,1
2018-01-02 00:00:00,21,11,0.0,8.7,5,1,100,05:56 PM,06:50 AM,06:57 AM,05:28 PM,9,17,17,17,2,2,59,0.0,1013,12,10,331,1
2018-01-02 06:00:00,21,11,0.0,8.7,5,4,100,05:56 PM,06:50 AM,06:57 AM,05:28 PM,7,15,15,15,6,11,61,0.0,1015,13,10,329,5
2018-01-02 12:00:00,21,11,0.0,8.7,5,6,100,05:56 PM,06:50 AM,06:57 AM,05:28 PM,5,22,24,22,9,9,33,0.0,1013,21,10,323,8
2018-01-02 18:00:00,21,11,0.0,8.7,5,4,100,05:56 PM,06:50 AM,06:57 AM,05:28 PM,7,18,18,18,14,0,48,0.0,1014,15,10,11,9
2018-01-03 00:00:00,21,10,0.0,8.7,4,1,89,07:02 PM,07:51 AM,06:57 AM,05:29 PM,8,17,17,17,7,0,55,0.0,1014,12,10,339,6
2018-01-03 06:00:00,21,10,0.0,8.7,4,4,89,07:02 PM,07:51 AM,06:57 AM,05:29 PM,8,17,17,17,7,0,57,0.0,1016,12,10,272,6
2018-01-03 12:00:00,21,10,0.0,8.7,4,6,89,07:02 PM,07:51 AM,06:57 AM,05:29 PM,6,24,24,24,11,0,32,0.0,1014,21,10,295,10
2018-01-03 18:00:00,21,10,0.0,8.7,4,4,89,07:02 PM,07:51 AM,06:57 AM,05:29 PM,6,17,17,17,11,0,47,0.0,1014,14,10,285,7
2018-01-04 00:00:00,21,10,0.0,8.7,4,1,81,08:09 PM,08:47 AM,06:57 AM,05:30 PM,6,16,16,16,8,0,52,0.0,1014,11,10,299,7
2018-01-04 06:00:00,21,10,0.0,8.7,4,4,81,08:09 PM,08:47 AM,06:57 AM,05:30 PM,8,16,16,16,8,0,56,0.0,1016,12,10,241,7
2018-01-04 12:00:00,21,10,0.0,8.7,4,6,81,08:09 PM,08:47 AM,06:57 AM,05:30 PM,6,25,25,25,7,0,28,0.0,1014,21,10,284,6
2018-01-04 18:00:00,21,10,0.0,8.7,4,4,81,08:09 PM,08:47 AM,06:57 AM,05:30 PM,6,18,18,18,6,0,45,0.0,1014,14,10,28,4
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:13 PM,09:37 AM,06:58 AM,05:31 PM,7,16,16,16,6,0,53,0.0,1015,11,10,7,5
