date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,24,21,0.0,7.2,6,1,97,04:37 PM,05:09 AM,06:20 AM,05:15 PM,14,25,25,23,11,44,57,0.0,1011,23,10,37,8
2018-01-01 06:00:00,24,21,0.0,7.2,6,6,97,04:37 PM,05:09 AM,06:20 AM,05:15 PM,13,25,25,23,23,27,55,0.0,1013,23,10,29,17
2018-01-01 12:00:00,24,21,0.0,7.2,6,6,97,04:37 PM,05:09 AM,06:20 AM,05:15 PM,14,25,25,24,29,28,56,0.0,1010,24,10,48,22
2018-01-01 18:00:00,24,21,0.0,7.2,6,6,97,04:37 PM,05:09 AM,06:20 AM,05:15 PM,16,25,25,23,23,52,68,0.0,1011,23,10,66,15
2018-01-02 00:00:00,25,20,0.0,8.7,6,1,100,05:42 PM,06:13 AM,06:20 AM,05:16 PM,15,22,25,22,22,46,66,0.0,1010,22,10,25,14
2018-01-02 06:00:00,25,20,0.0,8.7,6,6,100,05:42 PM,06:13 AM,06:20 AM,05:16 PM,13,21,24,21,30,4,58,0.0,1013,21,10,18,22
2018-01-02 12:00:00,25,20,0.0,8.7,6,7,100,05:42 PM,06:13 AM,06:20 AM,05:16 PM,11,26,26,25,25,0,42,0.0,1010,25,10,36,21
2018-01-02 18:00:00,25,20,0.0,8.7,6,6,100,05:42 PM,06:13 AM,06:20 AM,05:16 PM,12,22,25,22,22,0,54,0.0,1011,22,10,63,13
2018-01-03 00:00:00,25,19,0.0,8.7,6,1,89,06:47 PM,07:16 AM,06:21 AM,05:17 PM,11,20,20,20,23,0,56,0.0,1012,20,10,0,13
2018-01-03 06:00:00,25,19,0.0,8.7,6,6,89,06:47 PM,07:16 AM,06:21 AM,05:17 PM,11,21,24,21,25,0,53,0.0,1014,21,10,14,18
2018-01-03 12:00:00,25,19,0.0,8.7,6,6,89,06:47 PM,07:16 AM,06:21 AM,05:17 PM,12,26,26,25,14,0,42,0.0,1011,25,10,44,12
2018-01-03 18:00:00,25,19,0.0,8.7,6,6,89,06:47 PM,07:16 AM,06:21 AM,05:17 PM,12,23,25,23,13,0,50,0.0,1013,21,10,68,9
2018-01-04 00:00:00,23,19,0.0,8.7,6,1,81,07:52 PM,08:13 AM,06:21 AM,05:17 PM,12,21,24,21,16,0,54,0.0,1013,20,10,8,11
2018-01-04 06:00:00,23,19,0.0,8.7,6,6,81,07:52 PM,08:13 AM,06:21 AM,05:17 PM,12,21,21,21,25,0,56,0.0,1016,21,10,22,19
2018-01-04 12:00:00,23,19,0.0,8.7,6,6,81,07:52 PM,08:13 AM,06:21 AM,05:17 PM,10,25,25,23,22,0,44,0.0,1013,23,10,45,19
2018-01-04 18:00:00,23,19,0.0,8.7,6,6,81,07:52 PM,08:13 AM,06:21 AM,05:17 PM,10,22,24,22,12,0,48,0.0,1014,20,10,43,9
