date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,31,19,0.0,8.7,6,1,97,05:09 PM,05:30 AM,06:39 AM,05:47 PM,11,21,21,21,3,31,55,0.0,1011,20,10,299,2
2018-01-01 06:00:00,31,19,0.0,8.7,6,6,97,05:09 PM,05:30 AM,06:39 AM,05:47 PM,12,25,25,23,10,24,51,0.0,1012,22,10,347,8
2018-01-01 12:00:00,31,19,0.0,8.7,6,8,97,05:09 PM,05:30 AM,06:39 AM,05:47 PM,13,31,31,31,8,11,32,0.0,1008,31,10,349,7
2018-01-01 18:00:00,31,19,0.0,8.7,6,6,97,05:09 PM,05:30 AM,06:39 AM,05:47 PM,12,25,25,24,12,10,47,0.0,1010,23,10,40,6
2018-01-02 00:00:00,30,18,0.0,8.7,6,1,100,06:13 PM,06:34 AM,06:39 AM,05:47 PM,15,20,20,20,1,15,74,0.0,1011,19,10,149,1
2018-01-02 06:00:00,30,18,0.0,8.7,6,6,100,06:13 PM,06:34 AM,06:39 AM,05:47 PM,17,25,25,23,1,8,65,0.0,1013,22,10,35,1
2018-01-02 12:00:00,30,18,0.0,8.7,6,8,100,06:13 PM,06:34 AM,06:39 AM,05:47 PM,14,31,31,31,2,18,34,0.0,1009,30,10,54,2
2018-01-02 18:00:00,30,18,0.0,8.7,6,6,100,06:13 PM,06:34 AM,06:39 AM,05:47 PM,12,26,26,25,10,16,46,0.0,1011,24,10,69,5
2018-01-03 00:00:00,29,18,0.0,8.7,6,1,89,07:18 PM,07:37 AM,06:40 AM,05:48 PM,15,21,21,21,4,18,70,0.0,1012,20,10,96,3
2018-01-03 06:00:00,29,18,0.0,8.7,6,6,89,07:18 PM,07:37 AM,06:40 AM,05:48 PM,16,23,25,23,5,8,66,0.0,1014,22,10,79,4
2018-01-03 12:00:00,29,18,0.0,8.7,6,7,89,07:18 PM,07:37 AM,06:40 AM,05:48 PM,11,29,29,30,9,11,31,0.0,1011,29,10,4,8
2018-01-03 18:00:00,29,18,0.0,8.7,6,6,89,07:18 PM,07:37 AM,06:40 AM,05:48 PM,10,25,25,23,19,4,42,0.0,1013,22,10,24,9
2018-01-04 00:00:00,29,17,0.0,8.7,6,1,81,08:22 PM,08:34 AM,06:40 AM,05:49 PM,8,21,21,21,15,2,46,0.0,1013,19,10,15,8
2018-01-04 06:00:00,29,17,0.0,8.7,6,6,81,08:22 PM,08:34 AM,06:40 AM,05:49 PM,10,22,24,22,3,5,44,0.0,1016,20,10,115,3
2018-01-04 12:00:00,29,17,0.0,8.7,6,7,81,08:22 PM,08:34 AM,06:40 AM,05:49 PM,8,28,28,30,10,4,25,0.0,1012,29,10,11,9
2018-01-04 18:00:00,29,17,0.0,8.7,6,6,81,08:22 PM,08:34 AM,06:40 AM,05:49 PM,8,24,25,24,11,0,37,0.0,1013,21,10,9,5
2018-01-05 00:00:00,29,16,0.0,8.7,6,1,74,09:23 PM,09:27 AM,06:40 AM,05:49 PM,11,21,21,21,7,2,55,0.0,1013,17,10,96,5
2018-01-05 06:00:00,29,16,0.0,8.7,6,6,74,09:23 PM,09:27 AM,06:40 AM,05:49 PM,15,24,25,24,3,0,55,0.0,1014,20,10,92,3
2018-01-05 12:00:00,29,16,0.0,8.7,6,7,74,09:23 PM,09:27 AM,06:40 AM,05:49 PM,9,29,29,31,10,0,26,0.0,1010,29,10,10,9
2018-01-05 18:00:00,29,16,0.0,8.7,6,6,74,09:23 PM,09:27 AM,06:40 AM,05:49 PM,8,24,24,24,13,0,35,0.0,1012,21,10,10,6
2018-01-06 00:00:00,29,15,0.0,8.7,6,1,67,10:21 PM,10:15 AM,06:41 AM,05:50 PM,12,20,20,20,9,0,59,0.0,1012,17,10,100,6
2018-01-06 06:00:00,29,15,0.0,8.7,6,5,67,10:21 PM,10:15 AM,06:41 AM,05:50 PM,17,24,25,24,3,0,64,0.0,1014,20,10,110,3
2018-01-06 12:00:00,29,15,0.0,8.7,6,7,67,10:21 PM,10:15 AM,06:41 AM,05:50 PM,10,29,29,30,9,3,28,0.0,1010,29,10,41,8
