date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,17,0.0,8.7,6,1,97,05:18 PM,05:53 AM,07:03 AM,05:53 PM,8,19,19,19,11,2,46,0.0,1013,18,10,68,6
2018-01-01 06:00:00,28,17,0.0,8.7,6,5,97,05:18 PM,05:53 AM,07:03 AM,05:53 PM,8,19,19,19,9,4,48,0.0,1014,18,10,52,7
2018-01-01 12:00:00,28,17,0.0,8.7,6,7,97,05:18 PM,05:53 AM,07:03 AM,05:53 PM,7,27,27,29,1,4,25,0.0,1010,28,10,289,1
2018-01-01 18:00:00,28,17,0.0,8.7,6,6,97,05:18 PM,05:53 AM,07:03 AM,05:53 PM,6,22,24,22,16,3,35,0.0,1012,22,10,23,8
2018-01-02 00:00:00,26,16,0.0,8.7,6,1,100,06:21 PM,06:58 AM,07:04 AM,05:54 PM,7,18,18,18,15,4,49,0.0,1012,17,10,50,8
2018-01-02 06:00:00,26,16,0.0,8.7,6,5,100,06:21 PM,06:58 AM,07:04 AM,05:54 PM,7,17,17,17,15,4,51,0.0,1014,17,10,43,10
2018-01-02 12:00:00,26,16,0.0,8.7,6,7,100,06:21 PM,06:58 AM,07:04 AM,05:54 PM,6,26,26,27,8,4,27,0.0,1011,26,10,9,7
2018-01-02 18:00:00,26,16,0.0,8.7,6,6,100,06:21 PM,06:58 AM,07:04 AM,05:54 PM,5,21,21,21,20,0,35,0.0,1014,20,10,37,10
2018-01-03 00:00:00,26,14,0.0,8.7,5,1,89,07:27 PM,08:00 AM,07:04 AM,05:54 PM,2,16,16,16,21,0,38,0.0,1014,16,10,48,10
2018-01-03 06:00:00,26,14,0.0,8.7,5,5,89,07:27 PM,08:00 AM,07:04 AM,05:54 PM,3,16,16,16,15,0,41,0.0,1016,16,10,55,10
2018-01-03 12:00:00,26,14,0.0,8.7,5,7,89,07:27 PM,08:00 AM,07:04 AM,05:54 PM,6,26,26,28,7,1,25,0.0,1013,26,10,13,6
2018-01-03 18:00:00,26,14,0.0,8.7,5,5,89,07:27 PM,08:00 AM,07:04 AM,05:54 PM,4,21,21,21,16,0,33,0.0,1015,20,10,58,8
2018-01-04 00:00:00,27,14,0.0,8.7,6,1,81,08:32 PM,08:57 AM,07:04 AM,05:55 PM,3,18,18,18,15,0,37,0.0,1015,16,10,56,8
2018-01-04 06:00:00,27,14,0.0,8.7,6,5,81,08:32 PM,08:57 AM,07:04 AM,05:55 PM,3,19,19,19,8,0,35,0.0,1017,17,10,64,7
2018-01-04 12:00:00,27,14,0.0,8.7,6,7,81,08:32 PM,08:57 AM,07:04 AM,05:55 PM,6,28,28,30,6,2,22,0.0,1013,27,10,291,5
2018-01-04 18:00:00,27,14,0.0,8.7,6,6,81,08:32 PM,08:57 AM,07:04 AM,05:55 PM,5,22,24,22,11,4,33,0.0,1014,21,10,46,6
2018-01-05 00:00:00,27,16,0.0,8.7,6,1,74,09:35 PM,09:48 AM,07:04 AM,05:56 PM,6,20,20,20,9,2,41,0.0,1014,18,10,33,5
2018-01-05 06:00:00,27,16,0.0,8.7,6,5,74,09:35 PM,09:48 AM,07:04 AM,05:56 PM,6,20,20,20,4,3,41,0.0,1015,18,10,70,4
2018-01-05 12:00:00,27,16,0.0,8.7,6,7,74,09:35 PM,09:48 AM,07:04 AM,05:56 PM,5,27,27,28,9,3,23,0.0,1012,27,10,278,8
