date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,27,17,0.0,8.7,6,1,97,05:21 PM,05:56 AM,07:06 AM,05:56 PM,6,20,20,20,12,3,41,0.0,1012,18,10,74,7
2018-01-01 06:00:00,27,17,0.0,8.7,6,1,97,05:21 PM,05:56 AM,07:06 AM,05:56 PM,8,20,20,20,11,4,46,0.0,1013,19,10,73,8
2018-01-01 12:00:00,27,17,0.0,8.7,6,7,97,05:21 PM,05:56 AM,07:06 AM,05:56 PM,7,28,28,29,2,4,25,0.0,1010,27,10,69,2
2018-01-01 18:00:00,27,17,0.0,8.7,6,6,97,05:21 PM,05:56 AM,07:06 AM,05:56 PM,6,23,24,23,11,3,34,0.0,1012,22,10,16,6
2018-01-02 00:00:00,26,16,0.0,8.7,6,1,100,06:24 PM,07:01 AM,07:07 AM,05:57 PM,7,20,20,20,11,3,44,0.0,1012,18,10,55,7
2018-01-02 06:00:00,26,16,0.0,8.7,6,1,100,06:24 PM,07:01 AM,07:07 AM,05:57 PM,7,18,18,18,14,3,48,0.0,1014,17,10,77,10
2018-01-02 12:00:00,26,16,0.0,8.7,6,7,100,06:24 PM,07:01 AM,07:07 AM,05:57 PM,7,26,26,28,7,3,27,0.0,1011,26,10,59,6
2018-01-02 18:00:00,26,16,0.0,8.7,6,6,100,06:24 PM,07:01 AM,07:07 AM,05:57 PM,5,22,24,22,13,2,33,0.0,1013,21,10,45,8
2018-01-03 00:00:00,26,14,0.0,8.7,5,1,89,07:30 PM,08:03 AM,07:07 AM,05:57 PM,2,18,18,18,17,0,34,0.0,1014,16,10,75,10
2018-01-03 06:00:00,26,14,0.0,8.7,5,1,89,07:30 PM,08:03 AM,07:07 AM,05:57 PM,2,17,17,17,13,2,35,0.0,1016,16,10,80,10
2018-01-03 12:00:00,26,14,0.0,8.7,5,7,89,07:30 PM,08:03 AM,07:07 AM,05:57 PM,7,28,28,29,5,1,25,0.0,1013,26,10,68,4
2018-01-03 18:00:00,26,14,0.0,8.7,5,6,89,07:30 PM,08:03 AM,07:07 AM,05:57 PM,6,22,24,22,11,0,34,0.0,1014,20,10,67,7
2018-01-04 00:00:00,27,15,0.0,8.7,6,1,81,08:35 PM,09:00 AM,07:07 AM,05:58 PM,4,19,19,19,14,1,37,0.0,1015,17,10,76,9
2018-01-04 06:00:00,27,15,0.0,8.7,6,1,81,08:35 PM,09:00 AM,07:07 AM,05:58 PM,3,19,19,19,11,0,35,0.0,1016,17,10,86,9
2018-01-04 12:00:00,27,15,0.0,8.7,6,7,81,08:35 PM,09:00 AM,07:07 AM,05:58 PM,7,28,28,30,5,1,23,0.0,1013,27,10,297,5
