date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,28,16,0.0,10.9,6,1,97,05:31 PM,06:10 AM,07:20 AM,06:06 PM,5,19,19,19,20,0,39,0.0,1012,17,10,24,12
2018-01-01 06:00:00,28,16,0.0,10.9,6,1,97,05:31 PM,06:10 AM,07:20 AM,06:06 PM,7,19,19,19,16,0,46,0.0,1013,17,10,36,12
2018-01-01 12:00:00,28,16,0.0,10.9,6,7,97,05:31 PM,06:10 AM,07:20 AM,06:06 PM,8,29,29,31,8,0,23,0.0,1010,28,10,21,7
2018-01-01 18:00:00,28,16,0.0,10.9,6,6,97,05:31 PM,06:10 AM,07:20 AM,06:06 PM,5,23,24,23,18,0,32,0.0,1012,21,10,348,9
2018-01-02 00:00:00,28,16,0.0,10.9,6,1,100,06:35 PM,07:15 AM,07:20 AM,06:06 PM,4,18,18,18,23,0,38,0.0,1012,17,10,33,13
2018-01-02 06:00:00,28,16,0.0,10.9,6,1,100,06:35 PM,07:15 AM,07:20 AM,06:06 PM,5,17,17,17,38,0,43,0.0,1013,17,10,66,19
2018-01-02 12:00:00,28,16,0.0,10.9,6,7,100,06:35 PM,07:15 AM,07:20 AM,06:06 PM,6,28,28,30,15,0,23,0.0,1011,28,10,76,13
2018-01-02 18:00:00,28,16,0.0,10.9,6,6,100,06:35 PM,07:15 AM,07:20 AM,06:06 PM,2,22,23,22,26,0,27,0.0,1013,21,10,37,13
2018-01-03 00:00:00,28,15,0.0,10.9,6,1,89,07:41 PM,08:16 AM,07:21 AM,06:07 PM,-3,17,17,17,35,0,25,0.0,1013,17,10,60,17
2018-01-03 06:00:00,28,15,0.0,10.9,6,1,89,07:41 PM,08:16 AM,07:21 AM,06:07 PM,1,17,17,17,30,0,34,0.0,1015,16,10,65,16
2018-01-03 12:00:00,28,15,0.0,10.9,6,7,89,07:41 PM,08:16 AM,07:21 AM,06:07 PM,10,30,30,32,5,0,25,0.0,1012,28,10,91,4
2018-01-03 18:00:00,28,15,0.0,10.9,6,6,89,07:41 PM,08:16 AM,07:21 AM,06:07 PM,7,23,24,23,17,0,36,0.0,1013,21,10,7,9
2018-01-04 00:00:00,28,16,0.0,10.9,6,1,81,08:46 PM,09:13 AM,07:21 AM,06:08 PM,1,20,20,20,20,0,29,0.0,1014,18,10,52,11
2018-01-04 06:00:00,28,16,0.0,10.9,6,1,81,08:46 PM,09:13 AM,07:21 AM,06:08 PM,4,20,20,20,14,0,34,0.0,1015,17,10,56,10
2018-01-04 12:00:00,28,16,0.0,10.9,6,7,81,08:46 PM,09:13 AM,07:21 AM,06:08 PM,8,30,30,32,8,0,23,0.0,1013,28,10,267,7
2018-01-04 18:00:00,28,16,0.0,10.9,6,6,81,08:46 PM,09:13 AM,07:21 AM,06:08 PM,6,23,24,23,15,0,33,0.0,1013,20,10,341,8
