date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,14,0.0,11.6,4,1,97,05:44 PM,04:54 AM,06:09 AM,06:37 PM,14,15,14,15,6,61,96,0.5,1010,14,5,7,4
2018-01-01 06:00:00,22,14,0.0,11.6,4,1,97,05:44 PM,04:54 AM,06:09 AM,06:37 PM,13,14,14,14,4,44,94,2.2,1011,14,10,354,3
2018-01-01 12:00:00,22,14,0.0,11.6,4,5,97,05:44 PM,04:54 AM,06:09 AM,06:37 PM,16,22,25,22,8,20,69,2.8,1008,22,7,25,5
2018-01-01 18:00:00,22,14,0.0,11.6,4,4,97,05:44 PM,04:54 AM,06:09 AM,06:37 PM,15,16,16,16,6,31,93,3.1,1008,16,7,23,3
2018-01-02 00:00:00,21,14,0.0,11.6,4,1,100,06:48 PM,05:57 AM,06:10 AM,06:37 PM,13,15,15,15,4,46,93,1.3,1010,14,10,12,2
2018-01-02 06:00:00,21,14,0.0,11.6,4,1,100,06:48 PM,05:57 AM,06:10 AM,06:37 PM,13,14,14,14,4,29,92,1.2,1011,14,9,11,2
2018-01-02 12:00:00,21,14,0.0,11.6,4,5,100,06:48 PM,05:57 AM,06:10 AM,06:37 PM,16,21,21,21,6,48,72,3.1,1009,21,8,31,4
2018-01-02 18:00:00,21,14,0.0,11.6,4,4,100,06:48 PM,05:57 AM,06:10 AM,06:37 PM,15,16,16,16,4,43,94,7.3,1010,15,8,352,2
2018-01-03 00:00:00,21,13,0.0,11.6,4,1,89,07:51 PM,07:01 AM,06:10 AM,06:38 PM,13,14,14,14,3,38,94,1.3,1011,14,9,319,2
2018-01-03 06:00:00,21,13,0.0,11.6,4,1,89,07:51 PM,07:01 AM,06:10 AM,06:38 PM,13,14,14,14,1,51,92,0.7,1012,14,5,276,1
2018-01-03 12:00:00,21,13,0.0,11.6,4,5,89,07:51 PM,07:01 AM,06:10 AM,06:38 PM,16,22,24,22,5,31,72,3.4,1009,21,7,44,3
