date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,17,0.0,11.1,6,1,97,05:35 PM,05:53 AM,07:02 AM,06:11 PM,7,21,21,21,8,0,40,0.0,1011,17,10,116,5
2018-01-01 06:00:00,29,17,0.0,11.1,6,1,97,05:35 PM,05:53 AM,07:02 AM,06:11 PM,9,23,24,23,6,1,43,0.0,1012,19,10,126,5
2018-01-01 12:00:00,29,17,0.0,11.1,6,7,97,05:35 PM,05:53 AM,07:02 AM,06:11 PM,8,29,29,31,4,2,24,0.0,1009,29,10,316,3
2018-01-01 18:00:00,29,17,0.0,11.1,6,6,97,05:35 PM,05:53 AM,07:02 AM,06:11 PM,10,21,24,21,13,3,49,0.0,1011,20,10,288,7
2018-01-02 00:00:00,29,17,0.0,11.1,6,1,100,06:39 PM,06:58 AM,07:02 AM,06:12 PM,11,20,20,20,7,2,55,0.0,1010,18,10,18,4
2018-01-02 06:00:00,29,17,0.0,11.1,6,1,100,06:39 PM,06:58 AM,07:02 AM,06:12 PM,10,22,24,22,10,0,46,0.0,1012,20,10,52,8
2018-01-02 12:00:00,29,17,0.0,11.1,6,7,100,06:39 PM,06:58 AM,07:02 AM,06:12 PM,8,30,30,32,7,2,23,0.0,1009,29,10,120,6
2018-01-02 18:00:00,29,17,0.0,11.1,6,6,100,06:39 PM,06:58 AM,07:02 AM,06:12 PM,11,23,25,23,4,2,45,0.0,1011,21,10,331,2
2018-01-03 00:00:00,29,17,0.0,11.1,6,1,89,07:44 PM,08:00 AM,07:03 AM,06:12 PM,13,22,25,22,5,2,57,0.0,1011,18,10,22,3
2018-01-03 06:00:00,29,17,0.0,11.1,6,1,89,07:44 PM,08:00 AM,07:03 AM,06:12 PM,7,21,21,21,16,2,43,0.0,1013,20,10,67,10
2018-01-03 12:00:00,29,17,0.0,11.1,6,7,89,07:44 PM,08:00 AM,07:03 AM,06:12 PM,9,29,29,30,10,4,28,0.0,1011,29,10,143,9
