date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,24,0.0,11.6,7,1,97,05:38 PM,05:31 AM,06:38 AM,06:15 PM,22,28,28,25,9,10,80,0.0,1010,24,10,69,7
2018-01-01 06:00:00,29,24,0.0,11.6,7,1,97,05:38 PM,05:31 AM,06:38 AM,06:15 PM,22,29,29,27,10,8,76,0.0,1011,25,10,40,9
2018-01-01 12:00:00,29,24,0.0,11.6,7,7,97,05:38 PM,05:31 AM,06:38 AM,06:15 PM,22,33,33,30,18,6,62,0.0,1008,29,10,272,15
2018-01-01 18:00:00,29,24,0.0,11.6,7,7,97,05:38 PM,05:31 AM,06:38 AM,06:15 PM,23,30,30,27,8,9,78,0.0,1009,26,10,294,6
2018-01-02 00:00:00,29,24,0.0,11.6,7,1,100,06:41 PM,06:35 AM,06:39 AM,06:16 PM,23,28,28,25,8,17,88,0.0,1009,24,10,55,6
2018-01-02 06:00:00,29,24,0.0,11.6,7,1,100,06:41 PM,06:35 AM,06:39 AM,06:16 PM,22,29,29,26,7,36,77,0.1,1010,26,10,46,6
2018-01-02 12:00:00,29,24,0.0,11.6,7,7,100,06:41 PM,06:35 AM,06:39 AM,06:16 PM,22,33,33,29,19,30,66,0.0,1008,29,10,276,17
2018-01-02 18:00:00,29,24,0.0,11.6,7,7,100,06:41 PM,06:35 AM,06:39 AM,06:16 PM,23,30,30,27,7,13,79,0.0,1009,26,10,297,5
2018-01-03 00:00:00,30,24,0.0,11.6,7,1,89,07:45 PM,07:38 AM,06:39 AM,06:17 PM,23,28,28,26,7,19,85,0.0,1009,24,10,104,6
2018-01-03 06:00:00,30,24,0.0,11.6,7,1,89,07:45 PM,07:38 AM,06:39 AM,06:17 PM,22,29,29,26,9,50,78,0.2,1011,26,10,38,8
2018-01-03 12:00:00,30,24,0.0,11.6,7,7,89,07:45 PM,07:38 AM,06:39 AM,06:17 PM,23,33,33,29,21,20,67,0.0,1009,29,10,278,18
2018-01-03 18:00:00,30,24,0.0,11.6,7,7,89,07:45 PM,07:38 AM,06:39 AM,06:17 PM,23,30,30,27,10,10,80,0.2,1011,26,10,306,8
2018-01-04 00:00:00,30,24,0.0,11.6,7,1,81,08:47 PM,08:38 AM,06:40 AM,06:17 PM,24,30,30,26,10,5,86,0.2,1011,25,10,29,9
2018-01-04 06:00:00,30,24,0.0,11.6,7,1,81,08:47 PM,08:38 AM,06:40 AM,06:17 PM,22,30,30,27,12,4,77,0.0,1013,25,10,40,10
2018-01-04 12:00:00,30,24,0.0,11.6,7,7,81,08:47 PM,08:38 AM,06:40 AM,06:17 PM,22,33,33,30,19,5,62,0.0,1010,29,10,265,17
2018-01-04 18:00:00,30,24,0.0,11.6,7,7,81,08:47 PM,08:38 AM,06:40 AM,06:17 PM,22,29,29,27,8,48,74,0.1,1011,26,10,244,5
2018-01-05 00:00:00,30,24,0.0,11.6,6,1,74,09:45 PM,09:33 AM,06:40 AM,06:18 PM,21,28,28,26,9,16,76,0.2,1011,25,9,90,7
2018-01-05 06:00:00,30,24,0.0,11.6,6,1,74,09:45 PM,09:33 AM,06:40 AM,06:18 PM,19,28,28,26,16,19,64,0.1,1012,26,10,84,13
2018-01-05 12:00:00,30,24,0.0,11.6,6,7,74,09:45 PM,09:33 AM,06:40 AM,06:18 PM,21,32,32,29,20,25,61,0.0,1009,29,10,273,17
2018-01-05 18:00:00,30,24,0.0,11.6,6,7,74,09:45 PM,09:33 AM,06:40 AM,06:18 PM,22,29,29,26,17,41,76,0.1,1010,26,10,295,12
2018-01-06 00:00:00,30,23,0.0,11.6,6,1,67,10:40 PM,10:24 AM,06:40 AM,06:18 PM,20,27,27,25,13,30,75,0.5,1009,24,9,79,9
2018-01-06 06:00:00,30,23,0.0,11.6,6,1,67,10:40 PM,10:24 AM,06:40 AM,06:18 PM,18,26,26,25,18,42,66,0.0,1011,25,10,87,13
2018-01-06 12:00:00,30,23,0.0,11.6,6,7,67,10:40 PM,10:24 AM,06:40 AM,06:18 PM,20,31,31,29,18,35,61,0.0,1009,29,10,248,15
2018-01-06 18:00:00,30,23,0.0,11.6,6,7,67,10:40 PM,10:24 AM,06:40 AM,06:18 PM,21,28,28,26,10,30,72,0.1,1011,26,10,245,7
2018-01-07 00:00:00,29,23,0.0,11.6,7,1,59,11:32 PM,11:11 AM,06:41 AM,06:19 PM,21,27,27,25,7,20,77,0.1,1011,24,10,67,5
2018-01-07 06:00:00,29,23,0.0,11.6,7,1,59,11:32 PM,11:11 AM,06:41 AM,06:19 PM,20,28,28,26,9,12,72,0.1,1012,25,10,86,8
2018-01-07 12:00:00,29,23,0.0,11.6,7,7,59,11:32 PM,11:11 AM,06:41 AM,06:19 PM,20,31,31,29,18,27,61,0.0,1010,28,10,264,16
2018-01-07 18:00:00,29,23,0.0,11.6,7,7,59,11:32 PM,11:11 AM,06:41 AM,06:19 PM,21,29,29,27,8,19,72,0.1,1011,26,10,274,6
2018-01-08 00:00:00,29,23,0.0,11.6,6,1,52,No moonrise,11:56 AM,06:41 AM,06:19 PM,20,26,26,24,16,48,80,0.7,1011,24,9,103,10
2018-01-08 06:00:00,29,23,0.0,11.6,6,1,52,No moonrise,11:56 AM,06:41 AM,06:19 PM,18,26,26,25,17,16,68,0.1,1012,24,10,85,13
2018-01-08 12:00:00,29,23,0.0,11.6,6,7,52,No moonrise,11:56 AM,06:41 AM,06:19 PM,20,32,32,29,17,10,57,0.0,1011,29,10,233,15
2018-01-08 18:00:00,29,23,0.0,11.6,6,7,52,No moonrise,11:56 AM,06:41 AM,06:19 PM,20,28,28,27,8,12,69,0.0,1011,26,10,215,6
