date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,32,21,0.0,11.6,7,1,97,05:37 PM,05:33 AM,06:40 AM,06:15 PM,21,24,26,24,6,4,87,0.0,1010,21,10,90,4
2018-01-01 06:00:00,32,21,0.0,11.6,7,1,97,05:37 PM,05:33 AM,06:40 AM,06:15 PM,21,28,28,26,6,9,73,0.0,1011,25,10,55,5
2018-01-01 12:00:00,32,21,0.0,11.6,7,8,97,05:37 PM,05:33 AM,06:40 AM,06:15 PM,20,37,37,33,10,0,47,0.0,1008,32,10,278,9
2018-01-01 18:00:00,32,21,0.0,11.6,7,6,97,05:37 PM,05:33 AM,06:40 AM,06:15 PM,23,28,28,25,5,5,86,0.0,1009,24,10,328,3
2018-01-02 00:00:00,32,22,0.0,11.6,7,1,100,06:40 PM,06:37 AM,06:40 AM,06:15 PM,22,23,25,23,6,16,93,0.0,1009,22,10,63,4
2018-01-02 06:00:00,32,22,0.0,11.6,7,1,100,06:40 PM,06:37 AM,06:40 AM,06:15 PM,21,29,29,27,5,20,71,0.0,1010,26,10,57,4
2018-01-02 12:00:00,32,22,0.0,11.6,7,8,100,06:40 PM,06:37 AM,06:40 AM,06:15 PM,20,35,35,32,12,20,50,0.0,1008,32,10,277,10
2018-01-02 18:00:00,32,22,0.0,11.6,7,6,100,06:40 PM,06:37 AM,06:40 AM,06:15 PM,23,28,28,25,4,10,87,0.0,1009,24,10,310,3
2018-01-03 00:00:00,32,22,0.0,11.6,7,1,89,07:45 PM,07:40 AM,06:41 AM,06:16 PM,22,26,26,24,5,13,93,0.0,1009,22,10,102,3
2018-01-03 06:00:00,32,22,0.0,11.6,7,1,89,07:45 PM,07:40 AM,06:41 AM,06:16 PM,22,30,30,27,4,15,74,0.0,1012,26,10,32,3
2018-01-03 12:00:00,32,22,0.0,11.6,7,8,89,07:45 PM,07:40 AM,06:41 AM,06:16 PM,20,35,35,32,13,4,48,0.0,1009,32,10,277,12
