date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,29,22,0.0,11.6,6,1,97,05:37 PM,05:38 AM,06:46 AM,06:15 PM,19,25,25,23,10,7,74,0.0,1011,22,10,21,6
2018-01-01 06:00:00,29,22,0.0,11.6,6,1,97,05:37 PM,05:38 AM,06:46 AM,06:15 PM,19,27,27,25,7,6,68,0.0,1012,24,10,60,6
2018-01-01 12:00:00,29,22,0.0,11.6,6,7,97,05:37 PM,05:38 AM,06:46 AM,06:15 PM,19,31,31,30,12,0,54,0.0,1008,29,10,261,10
2018-01-01 18:00:00,29,22,0.0,11.6,6,6,97,05:37 PM,05:38 AM,06:46 AM,06:15 PM,22,28,28,25,9,0,79,0.0,1010,24,10,304,7
2018-01-02 00:00:00,29,21,0.0,11.6,6,1,100,06:41 PM,06:42 AM,06:46 AM,06:15 PM,22,25,27,25,7,0,82,0.0,1010,22,10,37,6
2018-01-02 06:00:00,29,21,0.0,11.6,6,1,100,06:41 PM,06:42 AM,06:46 AM,06:15 PM,20,27,27,25,7,4,71,0.0,1011,24,10,42,6
2018-01-02 12:00:00,29,21,0.0,11.6,6,7,100,06:41 PM,06:42 AM,06:46 AM,06:15 PM,19,31,31,29,12,5,55,0.0,1009,29,10,266,10
2018-01-02 18:00:00,29,21,0.0,11.6,6,6,100,06:41 PM,06:42 AM,06:46 AM,06:15 PM,22,27,27,25,8,3,81,0.0,1010,24,10,328,6
2018-01-03 00:00:00,29,22,0.0,11.6,6,1,89,07:45 PM,07:45 AM,06:47 AM,06:16 PM,21,26,26,24,7,4,84,0.0,1010,22,10,32,5
2018-01-03 06:00:00,29,22,0.0,11.6,6,1,89,07:45 PM,07:45 AM,06:47 AM,06:16 PM,20,27,27,26,7,4,73,0.1,1013,24,10,59,6
2018-01-03 12:00:00,29,22,0.0,11.6,6,7,89,07:45 PM,07:45 AM,06:47 AM,06:16 PM,20,31,31,29,14,3,56,0.0,1010,29,10,262,12
2018-01-03 18:00:00,29,22,0.0,11.6,6,6,89,07:45 PM,07:45 AM,06:47 AM,06:16 PM,21,27,27,25,13,6,81,0.0,1012,24,10,324,8
2018-01-04 00:00:00,30,22,0.0,11.6,7,1,81,08:47 PM,08:44 AM,06:47 AM,06:16 PM,20,25,25,23,13,10,80,0.0,1012,22,10,26,8
2018-01-04 06:00:00,30,22,0.0,11.6,7,1,81,08:47 PM,08:44 AM,06:47 AM,06:16 PM,19,27,27,25,7,21,69,0.0,1014,24,10,65,6
2018-01-04 12:00:00,30,22,0.0,11.6,7,7,81,08:47 PM,08:44 AM,06:47 AM,06:16 PM,19,31,31,30,15,4,53,0.0,1010,29,10,271,13
2018-01-04 18:00:00,30,22,0.0,11.6,7,6,81,08:47 PM,08:44 AM,06:47 AM,06:16 PM,21,26,26,25,17,12,79,0.0,1011,24,10,326,10
2018-01-05 00:00:00,29,22,0.0,11.6,7,1,74,09:47 PM,09:39 AM,06:47 AM,06:17 PM,20,25,25,23,9,13,83,0.0,1011,23,10,19,6
2018-01-05 06:00:00,29,22,0.0,11.6,7,1,74,09:47 PM,09:39 AM,06:47 AM,06:17 PM,19,26,26,25,13,26,71,0.1,1013,24,10,96,10
2018-01-05 12:00:00,29,22,0.0,11.6,7,7,74,09:47 PM,09:39 AM,06:47 AM,06:17 PM,19,31,31,29,12,16,53,0.0,1009,29,10,249,10
2018-01-05 18:00:00,29,22,0.0,11.6,7,6,74,09:47 PM,09:39 AM,06:47 AM,06:17 PM,20,26,26,24,14,18,78,0.0,1010,24,10,305,9
2018-01-06 00:00:00,30,22,0.0,11.6,6,1,67,10:42 PM,10:29 AM,06:48 AM,06:17 PM,20,25,25,23,10,8,81,0.1,1010,22,10,29,6
2018-01-06 06:00:00,30,22,0.0,11.6,6,1,67,10:42 PM,10:29 AM,06:48 AM,06:17 PM,19,26,26,24,15,15,71,0.0,1012,24,10,95,12
