date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,26,16,0.0,8.7,6,1,97,04:24 PM,05:05 AM,06:18 AM,05:01 PM,13,22,24,22,10,0,58,0.0,1012,18,10,337,8
2018-01-01 06:00:00,26,16,0.0,8.7,6,5,97,04:24 PM,05:05 AM,06:18 AM,05:01 PM,11,22,24,22,13,0,50,0.0,1014,20,10,344,12
2018-01-01 12:00:00,26,16,0.0,8.7,6,7,97,04:24 PM,05:05 AM,06:18 AM,05:01 PM,9,27,27,28,11,2,30,0.0,1011,26,10,320,9
2018-01-01 18:00:00,26,16,0.0,8.7,6,1,97,04:24 PM,05:05 AM,06:18 AM,05:01 PM,11,24,25,24,5,0,45,0.0,1012,20,10,348,4
2018-01-02 00:00:00,26,15,0.0,8.7,5,1,100,05:28 PM,06:10 AM,06:18 AM,05:02 PM,12,20,20,20,13,0,59,0.0,1011,17,10,346,10
2018-01-02 06:00:00,26,15,0.0,8.7,5,5,100,05:28 PM,06:10 AM,06:18 AM,05:02 PM,10,20,20,20,17,0,55,0.0,1014,18,10,333,15
2018-01-02 12:00:00,26,15,0.0,8.7,5,7,100,05:28 PM,06:10 AM,06:18 AM,05:02 PM,9,27,27,28,12,0,31,0.0,1010,26,10,312,11
2018-01-02 18:00:00,26,15,0.0,8.7,5,1,100,05:28 PM,06:10 AM,06:18 AM,05:02 PM,10,21,24,21,15,0,48,0.0,1012,19,10,343,10
2018-01-03 00:00:00,26,13,0.0,8.7,5,1,89,06:33 PM,07:12 AM,06:18 AM,05:03 PM,5,17,17,17,26,0,47,0.0,1013,16,10,335,15
2018-01-03 06:00:00,26,13,0.0,8.7,5,5,89,06:33 PM,07:12 AM,06:18 AM,05:03 PM,5,18,18,18,16,6,40,0.0,1015,18,10,319,14
2018-01-03 12:00:00,26,13,0.0,8.7,5,7,89,06:33 PM,07:12 AM,06:18 AM,05:03 PM,6,26,26,27,14,5,27,0.0,1011,26,10,294,12
2018-01-03 18:00:00,26,13,0.0,8.7,5,1,89,06:33 PM,07:12 AM,06:18 AM,05:03 PM,8,22,24,22,8,0,39,0.0,1013,19,10,268,6
2018-01-04 00:00:00,23,12,0.0,8.7,5,1,81,07:39 PM,08:08 AM,06:18 AM,05:03 PM,5,17,17,17,15,0,44,0.0,1015,14,10,348,11
2018-01-04 06:00:00,23,12,0.0,8.7,5,5,81,07:39 PM,08:08 AM,06:18 AM,05:03 PM,6,18,18,18,13,0,46,0.0,1017,16,10,353,12
2018-01-04 12:00:00,23,12,0.0,8.7,5,6,81,07:39 PM,08:08 AM,06:18 AM,05:03 PM,3,24,24,24,17,0,24,0.0,1013,23,10,341,15
2018-01-04 18:00:00,23,12,0.0,8.7,5,1,81,07:39 PM,08:08 AM,06:18 AM,05:03 PM,5,19,19,19,9,0,40,0.0,1014,16,10,1,6
2018-01-05 00:00:00,25,12,0.0,8.7,5,1,74,08:42 PM,08:59 AM,06:19 AM,05:04 PM,7,17,17,17,13,0,51,0.0,1014,14,10,335,9
