date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,3,-5,0.0,8.7,2,1,97,05:00 PM,06:21 AM,07:35 AM,05:33 PM,-14,-6,-3,-6,11,8,45,0.0,1024,-5,10,47,6
2018-01-01 06:00:00,3,-5,0.0,8.7,2,2,97,05:00 PM,06:21 AM,07:35 AM,05:33 PM,-14,-5,-3,-5,10,3,42,0.0,1024,-4,10,70,6
2018-01-01 12:00:00,3,-5,0.0,8.7,2,2,97,05:00 PM,06:21 AM,07:35 AM,05:33 PM,-10,6,6,6,2,2,31,0.0,1019,3,10,225,2
2018-01-01 18:00:00,3,-5,0.0,8.7,2,2,97,05:00 PM,06:21 AM,07:35 AM,05:33 PM,-11,-3,-1,-3,8,0,48,0.0,1024,-4,10,64,5
2018-01-02 00:00:00,3,-6,0.0,8.7,2,1,100,06:03 PM,07:27 AM,07:35 AM,05:33 PM,-13,-5,-2,-5,9,0,43,0.0,1026,-6,10,60,6
2018-01-02 06:00:00,3,-6,0.0,8.7,2,2,100,06:03 PM,07:27 AM,07:35 AM,05:33 PM,-15,-5,-2,-5,8,0,37,0.0,1026,-5,10,59,6
2018-01-02 12:00:00,3,-6,0.0,8.7,2,2,100,06:03 PM,07:27 AM,07:35 AM,05:33 PM,-12,5,5,5,2,2,28,0.0,1020,3,10,207,1
2018-01-02 18:00:00,3,-6,0.0,8.7,2,2,100,06:03 PM,07:27 AM,07:35 AM,05:33 PM,-16,-7,-3,-7,17,36,36,0.0,1025,-4,10,56,8
2018-01-03 00:00:00,5,-5,0.0,8.7,2,1,89,07:11 PM,08:27 AM,07:35 AM,05:34 PM,-18,-7,-4,-7,17,32,31,0.0,1025,-4,10,54,8
2018-01-03 06:00:00,5,-5,0.0,8.7,2,2,89,07:11 PM,08:27 AM,07:35 AM,05:34 PM,-18,-5,-2,-5,15,3,28,0.0,1024,-4,10,55,8
2018-01-03 12:00:00,5,-5,0.0,8.7,2,2,89,07:11 PM,08:27 AM,07:35 AM,05:34 PM,-13,6,6,6,2,5,23,0.0,1019,5,10,120,1
2018-01-03 18:00:00,5,-5,0.0,8.7,2,2,89,07:11 PM,08:27 AM,07:35 AM,05:34 PM,-14,-4,-1,-4,15,7,37,0.0,1023,-2,10,58,7
2018-01-04 00:00:00,3,-4,0.4,7.1,2,1,81,08:20 PM,09:21 AM,07:35 AM,05:35 PM,-15,-5,-3,-5,15,11,36,0.0,1023,-3,10,52,7
