date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,11,4,0.0,9.9,3,1,97,05:50 PM,07:19 AM,08:27 AM,06:18 PM,-8,4,5,4,14,6,37,0.0,1017,5,10,184,6
2018-01-01 06:00:00,11,4,0.0,9.9,3,1,97,05:50 PM,07:19 AM,08:27 AM,06:18 PM,-9,2,4,2,15,21,39,0.0,1015,4,10,202,7
2018-01-01 12:00:00,11,4,0.0,9.9,3,4,97,05:50 PM,07:19 AM,08:27 AM,06:18 PM,-8,9,11,9,24,45,25,0.0,1011,11,10,207,21
2018-01-01 18:00:00,11,4,0.0,9.9,3,3,97,05:50 PM,07:19 AM,08:27 AM,06:18 PM,-6,5,8,5,25,48,36,0.0,1010,8,10,184,16
2018-01-02 00:00:00,2,-1,0.6,9.9,1,1,100,06:54 PM,08:24 AM,08:27 AM,06:18 PM,0,-1,2,-1,14,79,89,4.4,1011,2,7,191,10
2018-01-02 06:00:00,2,-1,0.6,9.9,1,1,100,06:54 PM,08:24 AM,08:27 AM,06:18 PM,-3,-5,-1,-5,18,39,89,0.6,1012,-1,7,214,10
2018-01-02 12:00:00,2,-1,0.6,9.9,1,2,100,06:54 PM,08:24 AM,08:27 AM,06:18 PM,-2,-2,2,-2,18,17,76,0.0,1013,2,10,213,15
2018-01-02 18:00:00,2,-1,0.6,9.9,1,1,100,06:54 PM,08:24 AM,08:27 AM,06:18 PM,-2,-4,-0,-4,16,32,86,0.2,1014,-0,7,217,10
2018-01-03 00:00:00,4,-4,0.5,9.9,1,1,89,08:02 PM,09:24 AM,08:27 AM,06:19 PM,-4,-6,-3,-6,15,21,90,0.6,1018,-3,7,244,9
2018-01-03 06:00:00,4,-4,0.5,9.9,1,1,89,08:02 PM,09:24 AM,08:27 AM,06:19 PM,-6,-7,-4,-7,12,42,88,0.0,1021,-4,10,237,7
2018-01-03 12:00:00,4,-4,0.5,9.9,1,2,89,08:02 PM,09:24 AM,08:27 AM,06:19 PM,-7,-0,2,-0,11,4,49,0.0,1019,2,10,230,9
2018-01-03 18:00:00,4,-4,0.5,9.9,1,2,89,08:02 PM,09:24 AM,08:27 AM,06:19 PM,-7,-2,-0,-2,13,4,60,0.0,1019,-0,10,230,6
2018-01-04 00:00:00,6,-3,0.0,9.9,2,1,81,09:12 PM,10:16 AM,08:27 AM,06:20 PM,-7,-4,-2,-4,11,5,67,0.0,1021,-2,10,231,5
2018-01-04 06:00:00,6,-3,0.0,9.9,2,1,81,09:12 PM,10:16 AM,08:27 AM,06:20 PM,-9,-5,-3,-5,10,3,61,0.0,1020,-3,10,215,5
2018-01-04 12:00:00,6,-3,0.0,9.9,2,3,81,09:12 PM,10:16 AM,08:27 AM,06:20 PM,-11,4,6,4,10,10,28,0.0,1016,6,10,213,9
2018-01-04 18:00:00,6,-3,0.0,9.9,2,2,81,09:12 PM,10:16 AM,08:27 AM,06:20 PM,-11,-0,2,-0,14,0,38,0.0,1015,2,10,215,7
2018-01-05 00:00:00,4,-2,0.0,9.9,2,1,74,10:19 PM,11:03 AM,08:28 AM,06:21 PM,-11,-3,-1,-3,14,0,46,0.0,1016,-1,10,216,6
2018-01-05 06:00:00,4,-2,0.0,9.9,2,1,74,10:19 PM,11:03 AM,08:28 AM,06:21 PM,-10,-5,-2,-5,16,43,51,0.0,1017,-2,10,221,8
2018-01-05 12:00:00,4,-2,0.0,9.9,2,2,74,10:19 PM,11:03 AM,08:28 AM,06:21 PM,-7,0,4,0,15,22,45,0.0,1015,4,10,213,13
2018-01-05 18:00:00,4,-2,0.0,9.9,2,2,74,10:19 PM,11:03 AM,08:28 AM,06:21 PM,-5,-1,1,-1,13,32,63,0.0,1014,1,10,198,8
2018-01-06 00:00:00,3,-1,1.1,9.9,1,1,67,11:25 PM,11:43 AM,08:28 AM,06:22 PM,-2,-1,1,-1,6,100,82,0.7,1015,1,2,199,4
2018-01-06 06:00:00,3,-1,1.1,9.9,1,1,67,11:25 PM,11:43 AM,08:28 AM,06:22 PM,-1,0,0,0,1,77,92,0.5,1015,-0,2,125,1
2018-01-06 12:00:00,3,-1,1.1,9.9,1,1,67,11:25 PM,11:43 AM,08:28 AM,06:22 PM,-1,1,2,1,6,49,77,0.4,1015,2,5,256,5
2018-01-06 18:00:00,3,-1,1.1,9.9,1,2,67,11:25 PM,11:43 AM,08:28 AM,06:22 PM,-2,1,1,1,4,36,85,0.0,1018,0,10,305,2
2018-01-07 00:00:00,3,-2,0.0,9.9,2,1,59,No moonrise,12:19 PM,08:28 AM,06:23 PM,-3,-3,-2,-3,10,31,88,0.0,1022,-2,10,20,5
2018-01-07 06:00:00,3,-2,0.0,9.9,2,1,59,No moonrise,12:19 PM,08:28 AM,06:23 PM,-5,-5,-2,-5,14,29,84,0.0,1024,-2,10,28,8
2018-01-07 12:00:00,3,-2,0.0,9.9,2,2,59,No moonrise,12:19 PM,08:28 AM,06:23 PM,-5,-1,3,-1,16,46,58,0.0,1024,3,10,43,14
2018-01-07 18:00:00,3,-2,0.0,9.9,2,2,59,No moonrise,12:19 PM,08:28 AM,06:23 PM,-6,-3,1,-3,18,45,63,0.0,1027,1,10,38,11
2018-01-08 00:00:00,3,-4,0.0,10.0,2,1,52,12:27 AM,12:53 PM,08:28 AM,06:23 PM,-6,-6,-2,-6,15,10,75,0.0,1030,-2,10,30,9
2018-01-08 06:00:00,3,-4,0.0,10.0,2,1,52,12:27 AM,12:53 PM,08:28 AM,06:23 PM,-7,-7,-4,-7,15,10,78,0.0,1031,-4,10,28,8
2018-01-08 12:00:00,3,-4,0.0,10.0,2,2,52,12:27 AM,12:53 PM,08:28 AM,06:23 PM,-9,-0,3,-0,11,2,41,0.0,1028,3,10,41,10
2018-01-08 18:00:00,3,-4,0.0,10.0,2,2,52,12:27 AM,12:53 PM,08:28 AM,06:23 PM,-9,-3,-0,-3,14,2,51,0.0,1028,-0,10,47,7
2018-01-09 00:00:00,5,-4,0.0,10.0,2,1,45,01:27 AM,01:26 PM,08:28 AM,06:24 PM,-9,-5,-2,-5,12,3,58,0.0,1029,-2,10,50,6
2018-01-09 06:00:00,5,-4,0.0,10.0,2,1,45,01:27 AM,01:26 PM,08:28 AM,06:24 PM,-9,-6,-4,-6,11,3,66,0.0,1029,-4,10,66,5
2018-01-09 12:00:00,5,-4,0.0,10.0,2,2,45,01:27 AM,01:26 PM,08:28 AM,06:24 PM,-10,4,4,4,3,4,34,0.0,1025,4,10,157,3
2018-01-09 18:00:00,5,-4,0.0,10.0,2,2,45,01:27 AM,01:26 PM,08:28 AM,06:24 PM,-12,-2,1,-2,18,15,39,0.0,1024,1,10,223,9
2018-01-10 00:00:00,6,-3,0.0,10.0,2,1,38,02:24 AM,01:59 PM,08:27 AM,06:25 PM,-12,-3,-1,-3,13,10,42,0.0,1025,-1,10,236,6
2018-01-10 06:00:00,6,-3,0.0,10.0,2,1,38,02:24 AM,01:59 PM,08:27 AM,06:25 PM,-13,-4,-2,-4,9,0,43,0.0,1025,-3,10,243,4
2018-01-10 12:00:00,6,-3,0.0,10.0,2,3,38,02:24 AM,01:59 PM,08:27 AM,06:25 PM,-15,4,5,4,7,0,22,0.0,1023,5,10,208,6
