date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,30,21,0.0,8.7,7,1,97,05:21 PM,05:36 AM,06:45 AM,05:58 PM,13,25,25,24,6,46,50,0.0,1011,24,10,110,5
2018-01-01 06:00:00,30,21,0.0,8.7,7,6,97,05:21 PM,05:36 AM,06:45 AM,05:58 PM,16,26,26,25,3,4,59,0.0,1013,23,10,68,3
2018-01-01 12:00:00,30,21,0.0,8.7,7,8,97,05:21 PM,05:36 AM,06:45 AM,05:58 PM,10,30,30,31,6,5,27,0.0,1008,30,10,285,5
2018-01-01 18:00:00,30,21,0.0,8.7,7,7,97,05:21 PM,05:36 AM,06:45 AM,05:58 PM,7,25,25,26,18,4,31,0.0,1010,26,10,342,9
2018-01-02 00:00:00,30,20,0.0,8.7,7,1,100,06:24 PM,06:40 AM,06:45 AM,05:58 PM,9,22,24,22,17,5,43,0.0,1010,22,10,104,9
2018-01-02 06:00:00,30,20,0.0,8.7,7,6,100,06:24 PM,06:40 AM,06:45 AM,05:58 PM,13,25,25,23,11,5,53,0.0,1012,23,10,98,9
2018-01-02 12:00:00,30,20,0.0,8.7,7,8,100,06:24 PM,06:40 AM,06:45 AM,05:58 PM,10,30,30,32,3,5,25,0.0,1009,30,10,354,3
2018-01-02 18:00:00,30,20,0.0,8.7,7,7,100,06:24 PM,06:40 AM,06:45 AM,05:58 PM,8,26,26,26,17,3,30,0.0,1010,26,10,319,9
2018-01-03 00:00:00,30,20,0.0,8.7,7,1,89,07:29 PM,07:43 AM,06:46 AM,05:59 PM,15,22,25,22,16,4,63,0.0,1011,22,10,111,9
2018-01-03 06:00:00,30,20,0.0,8.7,7,6,89,07:29 PM,07:43 AM,06:46 AM,05:59 PM,17,25,25,23,10,4,67,0.0,1014,23,10,106,9
2018-01-03 12:00:00,30,20,0.0,8.7,7,8,89,07:29 PM,07:43 AM,06:46 AM,05:59 PM,11,30,30,31,2,7,28,0.0,1010,30,10,13,2
2018-01-03 18:00:00,30,20,0.0,8.7,7,7,89,07:29 PM,07:43 AM,06:46 AM,05:59 PM,9,26,26,26,16,5,33,0.0,1012,26,10,335,9
2018-01-04 00:00:00,30,20,0.0,8.7,6,1,81,08:32 PM,08:41 AM,06:46 AM,05:59 PM,13,22,25,22,17,11,57,0.0,1013,22,10,116,10
2018-01-04 06:00:00,30,20,0.0,8.7,6,6,81,08:32 PM,08:41 AM,06:46 AM,05:59 PM,14,25,25,23,18,7,57,0.0,1015,23,10,102,14
2018-01-04 12:00:00,30,20,0.0,8.7,6,8,81,08:32 PM,08:41 AM,06:46 AM,05:59 PM,9,29,29,31,8,6,27,0.0,1012,30,10,17,7
