date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,22,10,0.0,8.7,5,1,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,9,18,18,18,8,0,55,0.0,1013,13,10,251,6
2018-01-01 06:00:00,22,10,0.0,8.7,5,4,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,7,15,15,15,10,7,58,0.0,1015,14,10,271,9
2018-01-01 12:00:00,22,10,0.0,8.7,5,6,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,9,25,25,25,11,2,36,0.0,1012,22,10,310,9
2018-01-01 18:00:00,22,10,0.0,8.7,5,5,97,04:30 PM,05:18 AM,06:31 AM,05:07 PM,9,18,18,18,11,0,55,0.0,1013,15,10,277,7
2018-01-02 00:00:00,23,10,0.0,8.7,5,1,100,05:35 PM,06:23 AM,06:31 AM,05:08 PM,10,16,16,16,10,0,66,0.0,1012,12,10,276,8
2018-01-02 06:00:00,23,10,0.0,8.7,5,4,100,05:35 PM,06:23 AM,06:31 AM,05:08 PM,8,16,16,16,12,0,59,0.0,1015,14,10,282,10
2018-01-02 12:00:00,23,10,0.0,8.7,5,6,100,05:35 PM,06:23 AM,06:31 AM,05:08 PM,6,24,24,24,17,0,32,0.0,1012,23,10,295,15
2018-01-02 18:00:00,23,10,0.0,8.7,5,4,100,05:35 PM,06:23 AM,06:31 AM,05:08 PM,5,16,16,16,20,0,46,0.0,1013,15,10,299,11
2018-01-03 00:00:00,20,10,0.0,8.7,4,1,89,06:40 PM,07:25 AM,06:31 AM,05:09 PM,6,16,16,16,9,0,53,0.0,1013,12,10,257,7
2018-01-03 06:00:00,20,10,0.0,8.7,4,4,89,06:40 PM,07:25 AM,06:31 AM,05:09 PM,5,13,14,13,19,0,55,0.0,1015,13,10,273,15
2018-01-03 12:00:00,20,10,0.0,8.7,4,6,89,06:40 PM,07:25 AM,06:31 AM,05:09 PM,3,20,20,20,21,0,33,0.0,1013,20,10,289,18
2018-01-03 18:00:00,20,10,0.0,8.7,4,4,89,06:40 PM,07:25 AM,06:31 AM,05:09 PM,6,16,16,16,17,0,50,0.0,1014,14,10,262,9
2018-01-04 00:00:00,22,9,0.0,8.7,4,1,81,07:47 PM,08:21 AM,06:32 AM,05:09 PM,6,14,15,14,12,0,57,0.0,1015,11,10,250,9
2018-01-04 06:00:00,22,9,0.0,8.7,4,4,81,07:47 PM,08:21 AM,06:32 AM,05:09 PM,8,17,17,17,7,0,56,0.0,1018,13,10,268,6
2018-01-04 12:00:00,22,9,0.0,8.7,4,6,81,07:47 PM,08:21 AM,06:32 AM,05:09 PM,6,25,24,25,9,0,31,0.0,1015,22,10,314,8
